"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26142	45377	"Mustjärve bog"	59.075	24.1	52.5	"AWI"	52.5	367	1757	1108.5	0	134	0	1	6	0	412	0	0	0	0	0	0	12	11	0	0	16	0	0	0	8	0	0	0	0	2	97	311	0	0	0	0	0	0	18	0	0	0	0	0	5	0	2	2	6	1	0
26142	45377	"Mustjärve bog"	59.075	24.1	55	"AWI"	55	481	1770	1163	0	190	0	0	3	0	366	0	0	0	0	0	0	17	19	0	0	0	0	1	1	13	0	3	0	0	1	121	252	0	0	0	0	0	0	22	0	0	0	0	0	4	0	1	3	6	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	57.5	"AWI"	57.5	583.5	1778	1215	0	175	0	0	8	0	381	0	0	0	0	0	0	19	18	0	0	14	0	1	0	7	0	0	0	0	3	132	327	0	0	0	0	0	0	10	0	0	0	0	0	5	0	0	3	7	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	60	"AWI"	60	680	1788	1265	0	264	1	1	7	0	276	0	0	0	0	0	0	17	18	0	0	19	0	0	0	5	1	2	0	0	0	79	323	0	0	0	0	0	0	16	0	0	0	0	0	11	0	1	3	8	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	62.5	"AWI"	62.5	779	1803	1320	0	302	0	0	7	0	281	0	0	0	0	0	0	25	12	0	0	18	0	1	0	4	2	0	0	0	3	110	243	0	0	0	0	0	0	14	0	0	0	0	0	5	0	0	5	7	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	65	"AWI"	65	858	1819	1380	0	188	1	0	2	0	388	0	0	0	0	0	0	21	30	0	0	32	0	1	0	4	0	1	0	0	0	134	274	0	0	0	0	0	0	22	0	0	0	0	0	2	0	0	5	9	3	1
26142	45377	"Mustjärve bog"	59.075	24.1	67.5	"AWI"	67.5	918	1840	1435.5	0	193	0	0	7	0	452	0	0	0	0	0	0	19	12	0	0	0	0	1	0	10	0	1	0	0	1	78	249	0	0	0	0	0	0	23	0	0	0	0	0	5	0	1	1	3	0	0
26142	45377	"Mustjärve bog"	59.075	24.1	70	"AWI"	70	976	1862	1498	0	176	1	0	4	0	380	0	0	0	0	0	0	15	21	0	0	53	0	1	0	10	0	1	0	0	4	109	262	0	0	0	0	0	0	30	0	0	0	0	0	5	0	0	5	9	2	0
26142	45377	"Mustjärve bog"	59.075	24.1	72.5	"AWI"	72.5	1024	1895.5	1561.5	0	187	0	0	5	0	370	0	0	0	0	0	0	22	16	0	0	50	0	2	0	13	0	0	0	0	0	130	229	0	0	0	0	0	0	40	0	0	0	0	0	1	0	0	6	7	4	0
26142	45377	"Mustjärve bog"	59.075	24.1	75	"AWI"	75	1063	1937	1621	1	173	0	0	4	0	286	0	0	0	0	0	0	16	7	0	0	0	0	0	0	8	0	1	0	0	0	219	263	0	0	0	1	0	0	23	0	0	0	0	0	1	0	0	5	4	1	0
