"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"
14602	22890	"Linden"	46.85083	7.68611	670	"AWI"	670	7540	8881	7947	0	14	0	0	0	4	1	1	0	0	0	3	0	0	0	285	51	0	0	0	0	12	0	0	0	0	0	0	0	31	0	0	0	86	0	0	0	0	0	0	0	80	127
14602	22890	"Linden"	46.85083	7.68611	680	"AWI"	680	7612	8998	8057	0	2	0	0	0	2	2	0	0	4	0	0	0	1	0	129	21	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	32	0	0	0	0	0	0	0	22	40
14602	22890	"Linden"	46.85083	7.68611	690	"AWI"	690	7651	9121	8174	0	10	0	0	0	1	7	2	0	11	0	1	0	0	0	425	54	0	0	0	0	8	0	0	0	0	0	0	0	40	0	0	0	107	0	0	0	0	0	3	0	81	217
14602	22890	"Linden"	46.85083	7.68611	700	"AWI"	700	7690	9267	8283	0	4	0	0	0	2	5	0	0	2	0	1	0	0	0	178	50	0	0	0	0	5	0	0	0	0	0	0	0	24	0	0	0	45	0	0	0	0	0	0	0	29	119
14602	22890	"Linden"	46.85083	7.68611	710	"AWI"	710	7718	9412	8389	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	275	30	0	0	0	0	2	0	0	0	0	0	0	0	21	0	0	0	43	0	0	0	0	0	0	0	23	82
14602	22890	"Linden"	46.85083	7.68611	720	"AWI"	720	7789	9537	8490	0	6	0	0	0	3	3	0	0	11	1	3	0	0	0	306	335	0	0	0	0	2	0	0	0	0	1	0	0	56	0	0	0	65	0	0	1	0	0	0	0	62	178
14602	22890	"Linden"	46.85083	7.68611	730	"AWI"	730	7868	9629	8589	1	5	0	0	0	1	2	1	0	4	0	2	0	1	0	282	140	0	0	0	0	1	0	0	0	0	0	0	0	33	0	0	0	53	0	0	3	0	1	0	0	41	110
14602	22890	"Linden"	46.85083	7.68611	740	"AWI"	740	7926	9722	8690	1	2	0	1	0	3	3	1	0	4	0	0	0	0	0	235	131	0	0	0	0	2	0	0	0	0	0	0	0	41	0	0	0	53	0	0	1	0	0	1	0	33	78
14602	22890	"Linden"	46.85083	7.68611	750	"AWI"	750	7973	9853	8787	1	8	0	1	0	2	5	0	0	21	0	1	0	0	0	862	68	0	0	0	0	7	0	0	0	0	0	0	0	79	0	0	1	140	0	0	0	0	0	0	0	53	195
14602	22890	"Linden"	46.85083	7.68611	760	"AWI"	760	8022	10019	8881	0	8	0	0	0	1	8	0	0	15	0	1	0	0	0	553	71	0	0	0	0	2	0	0	0	0	0	0	0	72	0	0	0	150	0	0	0	0	0	1	0	43	254
