"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3233	4197	"Le Grand Lemps"	45.47333	5.41667	780	"AWI"	780	8601	10690	9417	11	4	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	195	10	0	0	0	0	0	60	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	93	2	0	0	0	0	0	0	0	0	0	0	0	0	38	79	0	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	1	"AWI"	1	-149	28	-60	0	1	14	2	0	0	4	0	42	3	2	0	0	0	0	40	0	47	12	0	0	0	0	6	12	0	4	0	0	0	11	8	121	0	0	0	86	0	0	19	35	3	0	0	0	0	5	5	0	0	0	0	0	0	1	3	7	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	10	"AWI"	10	-119	139	24	0	0	26	1	0	0	11	0	47	2	0	0	0	0	0	47	0	38	2	0	0	0	0	7	14	0	1	0	0	0	11	1	66	0	0	0	141	0	0	46	23	1	0	0	0	0	2	5	0	0	0	0	0	2	0	1	5	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	20	"AWI"	20	-102	292	118	1	2	6	1	0	0	1	0	33	6	0	0	0	0	0	27	0	36	25	0	0	0	0	4	11	0	5	0	0	0	7	3	35	0	0	0	108	0	0	25	9	1	0	0	0	0	7	2	0	0	2	0	0	0	0	1	3	2
3233	4197	"Le Grand Lemps"	45.47333	5.41667	30	"AWI"	30	-88	454	209	0	2	15	0	0	0	4	0	25	1	0	0	0	0	0	19	0	20	12	0	0	0	0	5	11	0	0	0	0	0	8	8	42	0	0	0	92	0	0	16	18	0	0	1	0	4	7	1	0	1	1	0	0	0	0	1	3	5
3233	4197	"Le Grand Lemps"	45.47333	5.41667	40	"AWI"	40	-75	619	298	1	0	11	2	0	0	4	0	40	3	0	0	0	0	0	8	0	30	56	0	0	7	0	10	3	0	3	3	0	0	7	1	41	0	0	0	93	0	0	33	22	0	0	0	0	0	5	0	0	0	1	0	0	0	0	2	0	1
3233	4197	"Le Grand Lemps"	45.47333	5.41667	50	"AWI"	50	-65	790	389	5	0	17	3	0	0	0	0	47	6	0	0	0	0	0	16	0	30	80	0	0	9	3	2	6	0	9	3	0	0	8	1	44	0	0	0	105	0	0	27	17	1	0	0	0	0	7	5	0	0	0	1	0	0	0	1	0	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	70	"AWI"	70	-52	1134	568	1	0	7	0	0	0	2	0	4	0	0	0	4	0	0	3	0	13	16	0	0	3	0	5	0	0	35	0	0	0	1	2	23	5	0	0	47	0	0	0	38	2	0	0	0	0	5	5	0	0	0	0	0	0	0	0	2	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	100	"AWI"	100	68	1332	740	1	0	2	0	0	0	3	0	1	3	3	0	2	0	0	11	0	16	85	1	0	4	0	3	0	0	17	2	0	0	2	1	5	0	0	0	35	0	0	1	43	3	0	0	0	0	5	2	0	0	0	0	0	0	0	1	4	0
3233	4197	"Le Grand Lemps"	45.47333	5.41667	110	"AWI"	110	94	1428	805	0	0	2	0	0	0	1	0	2	3	0	0	7	0	0	6	0	11	42	0	0	0	2	3	0	0	19	7	0	0	1	0	9	0	1	0	30	0	0	2	21	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0
