"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	2.5	"AWI"	2.5	-134	41	-39	0	0	41	6	4	0	0	0	1	0	3	0	0	6	0	0	0	0	4	56	0	0	3	1	0	0	0	1	1	0	0	2	1	0	0	38	10	0	0	1	32	0	4	1	0	0	2	0	0	1	0	1	3	0	0
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	5	"AWI"	5	-122	87	-19	1	0	56	1	3	1	1	0	2	0	4	0	2	2	0	0	1	0	5	64	2	0	1	1	4	0	0	0	1	0	0	0	0	0	0	28	11	0	0	0	28	0	1	0	0	0	7	0	0	4	0	1	2	0	0
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	7.5	"AWI"	7.5	-101.5	111	2.5	3	0	61	3	3	1	0	0	1	0	1	0	0	2	0	2	0	0	4	76	0	0	5	0	1	0	0	0	0	0	0	0	0	0	2	20	4	0	0	1	30	0	3	0	0	0	3	0	0	0	0	1	2	0	1
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	10	"AWI"	10	-88	147	23	1	0	86	2	7	0	0	0	2	0	1	0	1	5	0	0	0	1	0	58	0	0	1	2	6	0	0	1	1	0	0	0	0	0	0	39	11	0	0	0	30	0	1	2	0	0	4	0	0	8	0	0	2	0	0
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	12.5	"AWI"	12.5	-68.5	168.5	46	3	0	62	2	8	0	1	7	2	0	4	0	0	4	0	0	0	0	0	46	6	0	3	1	4	0	0	0	2	0	0	0	0	0	0	34	3	0	0	0	33	1	3	1	0	0	7	0	0	1	2	1	1	0	0
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	15	"AWI"	15	-55	201	66	2	0	69	2	1	0	0	0	1	0	2	0	0	4	0	0	0	1	1	44	0	0	0	1	7	1	0	1	3	0	1	0	0	0	0	21	8	0	0	1	32	2	3	1	0	6	2	0	0	2	0	1	4	0	1
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	17.5	"AWI"	17.5	-34.5	222	89	4	0	303	3	4	1	0	6	1	0	2	0	0	0	0	0	0	1	4	29	0	2	1	2	1	0	0	1	2	0	0	1	0	0	1	35	4	0	0	0	31	1	2	0	0	0	1	0	0	2	0	1	1	0	1
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	20	"AWI"	20	-19	251	111	2	0	94	5	2	1	0	0	4	0	4	0	0	1	0	1	0	1	4	70	0	0	1	0	8	0	0	1	1	0	0	0	0	0	1	20	9	0	0	0	40	1	2	0	4	0	6	0	0	6	0	3	3	0	1
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	22.5	"AWI"	22.5	3.5	271.5	132.5	1	0	176	1	1	0	0	0	0	0	6	0	0	5	0	1	1	0	5	34	0	0	1	1	1	0	0	1	0	2	0	0	0	0	1	3	11	0	0	0	54	3	5	1	0	0	4	0	0	3	0	1	3	0	1
15919	24516	"Saint-Michel-en-Brenne"	46.80944	1.16389	25	"AWI"	25	20	303	155	0	0	54	4	5	0	0	0	1	0	3	1	0	6	1	0	0	1	4	37	0	0	0	1	22	0	0	1	0	0	0	0	0	0	1	17	15	0	0	0	37	2	3	1	0	0	5	0	0	6	0	1	1	0	0
