"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	1	"AWI"	1	-92	82	5	0	0	7	2	1	0	8	0	7	8	0	0	0	108	0	2	4	45	0	289	1	0	6	1	0	0	2	0	3	0	0	0	23	13	0	0	46	8	2	0	0	0	0	5	0	0	0	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	3	"AWI"	3	-49	191	61	0	0	11	2	0	0	4	7	12	3	0	0	0	47	0	0	9	19	0	579	0	0	10	0	0	0	1	0	5	0	0	0	30	0	111	0	46	4	0	0	0	3	2	0	0	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	5	"AWI"	5	-7	267	120	0	0	10	2	1	0	7	0	2	4	0	0	2	23	0	0	8	10	0	0	0	0	6	0	0	0	1	1	7	0	0	0	25	26	111	0	59	4	0	0	2	3	1	0	0	0	1	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	7	"AWI"	7	42	319	180	0	0	12	3	1	0	11	11	8	6	0	0	2	34	0	0	6	12	0	0	0	0	7	0	0	0	5	0	12	0	0	0	19	0	115	0	82	2	0	0	4	5	1	0	0	0	1	2	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	9	"AWI"	9	100	371	240	0	0	8	1	0	0	15	0	5	2	2	0	0	27	0	1	5	12	0	0	0	0	7	0	0	0	4	0	8	0	0	0	24	0	103	0	85	9	0	0	1	5	7	0	0	0	1	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	11	"AWI"	11	165	413	298	0	0	6	3	2	0	11	22	4	9	0	0	2	21	0	0	13	30	0	375	0	0	11	0	0	0	3	1	17	0	1	0	12	0	136	0	50	3	2	0	0	2	1	0	0	0	0	3	1
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	13	"AWI"	13	239	454	358	0	0	11	2	5	0	16	0	9	7	0	0	3	19	0	0	11	32	0	324	0	0	15	0	0	0	3	0	5	0	2	0	16	0	146	0	70	4	1	0	1	1	0	0	0	1	0	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	15	"AWI"	15	322	492	428	0	1	29	1	15	0	5	0	8	1	0	0	2	5	2	0	19	25	0	0	0	0	25	0	0	0	2	0	3	0	1	0	16	0	255	0	72	2	2	0	0	10	4	0	0	0	0	4	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	17	"AWI"	17	379	688	512	0	0	13	1	7	0	6	0	8	2	0	0	4	7	0	1	8	87	0	244	0	0	49	0	0	0	2	1	8	0	0	0	7	15	165	0	50	4	3	0	1	14	0	0	0	0	0	2	1
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	19	"AWI"	19	447	822	613	2	0	19	1	9	0	8	0	10	1	0	0	0	2	0	0	21	105	0	275	0	0	49	0	0	1	1	0	1	0	0	0	5	0	141	0	98	3	2	0	1	6	1	0	0	1	0	4	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	21	"AWI"	21	520	944	717	0	0	23	2	7	0	19	37	23	0	0	0	2	1	0	0	21	72	2	0	0	0	19	0	0	0	1	1	6	0	1	0	7	0	194	0	88	5	8	0	0	8	3	0	0	0	0	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	23	"AWI"	23	602	1056	821	0	0	26	0	8	1	13	0	16	3	0	0	2	1	0	0	17	46	0	0	0	0	36	0	0	1	1	0	1	0	3	0	20	0	294	0	89	3	2	0	0	1	1	0	0	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	25	"AWI"	25	694	1150	932	0	0	25	1	15	0	1	15	10	0	0	0	0	2	0	0	22	42	1	43	0	0	46	0	0	0	0	0	0	0	1	0	15	0	213	0	126	2	1	0	2	1	18	0	0	0	1	0	2
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	27	"AWI"	27	844	1212	1044	0	0	32	2	10	0	12	0	13	0	0	0	0	2	0	0	25	100	1	73	0	0	63	0	0	0	0	0	2	0	0	0	19	0	0	0	140	11	0	0	1	4	156	0	1	0	1	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	29	"AWI"	29	1038	1335	1208	2	0	25	4	3	0	18	0	5	0	0	0	0	0	0	0	22	210	0	104	0	0	70	1	0	0	1	0	1	0	0	0	17	0	99	0	119	1	4	0	2	11	2	0	0	0	0	1	1
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	31	"AWI"	31	1230	1727	1470	4	0	14	1	1	0	8	0	11	3	0	0	0	3	0	0	28	244	0	0	0	0	61	0	0	1	0	1	0	0	0	0	10	0	143	0	76	0	2	0	2	4	2	0	0	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	33	"AWI"	33	1524	2299	1847	6	0	11	1	2	0	5	0	28	0	0	0	2	2	0	0	17	74	1	0	0	0	33	0	0	6	0	0	1	0	0	1	8	0	224	0	68	2	0	0	0	1	3	0	0	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	35	"AWI"	35	1987	2583	2301	16	0	14	0	0	0	5	0	161	1	0	0	0	4	0	0	21	24	0	0	0	0	133	0	0	11	0	0	1	1	1	0	9	0	213	0	177	3	3	0	0	4	12	0	1	5	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	37	"AWI"	37	2339	2884	2566	23	0	13	2	2	0	3	0	202	0	0	0	0	0	0	1	37	14	0	64	0	0	221	0	1	8	0	0	3	0	0	0	13	0	0	1	174	2	4	0	1	1	3	0	2	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	39	"AWI"	39	2474	3251	2796	13	0	14	0	6	1	1	0	153	0	0	0	0	0	0	0	30	13	0	34	2	0	124	0	0	4	0	0	3	0	0	0	15	0	0	0	152	2	3	0	0	1	8	0	0	4	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	41	"AWI"	41	2599	3529	2998	6	0	13	4	1	0	4	0	181	0	0	0	0	0	0	0	31	11	0	0	0	0	124	0	0	4	0	0	0	0	0	0	9	0	0	0	155	2	3	0	0	1	2	0	1	1	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	43	"AWI"	43	2737	3799	3206	16	1	11	0	1	0	4	0	181	0	0	0	0	2	0	0	41	24	0	0	0	0	125	0	0	7	0	0	0	0	1	0	10	0	0	0	148	1	5	0	1	0	6	0	1	5	0	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	45	"AWI"	45	2881	4030	3418	14	0	17	1	3	0	2	0	209	0	0	0	0	0	0	0	44	20	0	74	1	0	194	0	0	5	0	0	0	0	0	0	11	0	0	0	138	3	6	0	0	1	3	0	0	4	1	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	47	"AWI"	47	3073	4176	3628	20	0	18	1	1	0	6	0	243	0	0	0	0	0	0	0	65	38	0	0	0	0	157	0	1	6	0	0	1	0	0	0	13	0	0	0	207	5	7	0	0	0	6	0	2	4	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	49	"AWI"	49	3269	4330	3835	7	0	17	1	2	0	4	0	215	0	0	0	0	0	0	0	46	22	0	0	0	0	113	1	0	5	0	0	1	0	0	0	11	0	0	0	175	1	8	0	1	1	7	0	0	6	1	1	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	51	"AWI"	51	3520	4470	4043	10	0	19	1	1	2	9	0	334	0	0	0	0	0	0	0	51	44	0	0	0	0	230	3	1	15	0	0	0	0	1	0	10	0	0	0	216	5	5	0	0	0	1	0	0	2	4	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	53	"AWI"	53	3774	4604	4264	3	0	24	1	1	1	1	0	125	0	0	0	0	0	0	0	47	42	0	47	0	0	65	1	2	1	0	0	0	0	0	0	11	0	0	1	210	0	11	0	0	2	4	0	1	14	1	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	55	"AWI"	55	4055	4728	4474	3	0	20	1	1	1	2	0	143	0	0	0	0	1	0	0	42	32	1	0	0	0	90	1	1	3	0	1	1	0	1	0	11	0	0	3	249	2	10	0	0	4	3	0	4	16	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	57	"AWI"	57	4543	4840	4723	1	0	22	3	6	2	6	0	131	1	0	0	0	0	0	0	95	28	0	0	0	0	37	0	1	7	0	0	0	0	1	0	14	0	0	3	255	2	21	0	0	8	1	0	0	14	2	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	59	"AWI"	59	4773	5834	5125	1	0	9	3	5	0	2	0	245	4	1	12	0	0	0	0	73	20	0	11	0	0	14	0	0	2	0	0	2	0	0	0	15	0	0	1	291	0	2	0	0	1	3	0	2	25	0	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	61	"AWI"	61	5025	6772	5654	1	0	25	0	6	0	1	0	322	1	0	0	0	0	0	0	124	20	0	0	0	0	11	0	0	0	0	0	0	0	0	0	28	0	0	2	429	1	10	0	0	1	1	0	3	50	1	0	0
16374	25468	"Tourbière de la Lande"	43.56667	2.96667	63	"AWI"	63	5283	7723	6240	1	1	9	3	1	1	2	0	225	0	0	0	0	0	0	0	79	26	1	0	0	0	11	0	0	1	0	0	0	0	0	0	13	0	0	0	280	0	3	0	0	2	4	0	0	24	2	0	0
