"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Linaceae"	"Malvaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	3	"AWI"	3	-50	877	202	0	0	0	13	0	0	15	0	0	0	0	1	0	0	0	5	16	0	0	0	5	0	2	0	0	0	6	0	0	0	0	50	0	0	50	0	0	0	53	0	0	1	0	0	0	0	0	2	2	0	1
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	6	"AWI"	6	-1	1813	470	0	1	0	13	0	0	26	0	0	2	0	0	0	0	0	1	14	0	0	0	6	0	1	0	0	0	15	0	0	0	0	63	0	0	49	0	0	0	66	0	0	2	0	0	0	0	0	1	3	0	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	9	"AWI"	9	120	2440	785	0	0	0	9	0	0	34	0	0	1	0	0	0	0	0	8	25	0	0	0	4	0	0	0	0	0	31	0	0	0	0	64	0	0	55	0	0	0	95	0	0	1	0	0	2	0	0	1	4	0	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	12	"AWI"	12	241	2888	1164	32	0	0	11	0	0	16	0	0	0	0	0	0	0	0	10	49	0	0	0	4	0	0	0	0	0	0	0	0	0	4	9	0	0	43	0	0	0	136	0	0	8	0	0	0	0	0	1	4	2	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	15	"AWI"	15	338	3606	1493	2	0	0	6	0	0	23	0	0	0	0	0	0	0	0	6	11	0	0	0	4	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	2	0	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	18	"AWI"	18	550	4074	1839	5	0	0	4	0	0	20	0	0	1	0	0	0	0	0	17	24	0	0	0	3	0	1	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0	94	0	0	4	0	0	0	0	0	1	1	3	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	21	"AWI"	21	675	4440	2206	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	12	0	0	0	3	0	1	0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	2	2	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	24	"AWI"	24	842	4884	2522	12	0	0	5	0	0	23	0	0	0	0	0	0	0	0	7	16	0	0	0	6	0	0	0	0	0	0	0	0	0	8	24	0	0	0	0	0	0	144	0	0	3	0	0	0	0	0	0	5	1	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	27	"AWI"	27	1093	5215	2854	19	0	0	3	0	0	3	0	0	0	0	0	0	0	0	1	23	0	0	0	6	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	0	105	0	0	0	0	0	2	0	0	0	1	2	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	30	"AWI"	30	1310	5624	3182	0	0	0	1	0	0	19	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	0	0	0	0	0	0	131	0	0	3	0	0	0	0	0	1	3	5	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	33	"AWI"	33	1569	5867	3527	8	1	0	0	0	0	20	0	0	0	0	0	0	0	0	20	20	0	0	0	4	0	0	0	0	0	0	0	0	0	8	42	0	0	52	0	0	0	148	0	0	3	0	0	0	0	0	1	7	1	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	36	"AWI"	36	1804	6112	3858	38	1	0	3	0	0	11	0	0	0	0	0	0	0	0	18	36	0	0	0	7	0	1	0	0	0	0	0	0	0	15	26	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	4	0	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	39	"AWI"	39	2048	6498	4190	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	13	0	0	0	2	0	1	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	42	"AWI"	42	2610	6776	4570	52	2	0	2	0	0	13	0	0	0	0	0	0	0	0	34	25	0	0	0	14	0	1	0	0	0	0	0	0	0	11	45	0	0	0	0	0	0	209	0	0	3	0	0	0	0	0	0	6	8	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	45	"AWI"	45	2889	7138	4948	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	67	21	0	0	0	30	1	0	0	0	0	0	0	0	1	0	116	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	1	13	6	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	48	"AWI"	48	3168	7490	5278	1	1	0	0	0	0	22	0	0	1	0	0	0	0	0	96	44	0	0	0	9	0	1	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	2	26	30	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	51	"AWI"	51	3452	7790	5618	24	2	0	1	0	0	9	0	0	0	0	0	0	0	0	25	5	0	0	0	2	0	0	0	0	0	0	0	0	0	4	98	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	4	10	4	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	54	"AWI"	54	3747	8120	5965	4	0	0	2	0	0	5	0	0	0	0	0	0	0	0	22	46	0	0	0	0	0	0	0	1	0	0	0	0	0	2	114	0	0	0	0	0	0	113	0	0	0	0	0	1	0	0	1	10	1	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	57	"AWI"	57	4181	8318	6272	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	22	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	106	0	0	0	0	0	2	0	0	1	17	18	1
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	60	"AWI"	60	4457	8607	6600	16	4	0	0	0	1	7	0	0	0	0	0	0	0	1	32	65	0	0	0	1	0	1	0	0	0	0	0	0	0	6	35	0	0	0	0	0	0	208	0	0	2	0	0	0	0	0	3	12	11	0
15764	24227	"Hrabanovská cernava"	50.21592	14.831158	63	"AWI"	63	4875	8806	6943	76	0	0	0	0	0	8	0	0	2	0	0	0	0	0	32	100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	34	0	0	0	0	2	0	176	0	0	3	0	0	0	0	0	2	10	10	0
