"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3121	4063	"Mire Garvan"	44.106212	26.910492	40	"AWI"	40	24	761	289	0	0	0	25	1	8	0	13	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	4	0	2	7	0	3	0	0	0	27	2	0	0	20	0	0	14	0	0	0	0	2	4	4	8	1	1
3121	4063	"Mire Garvan"	44.106212	26.910492	50	"AWI"	50	64	913	379	0	0	2	52	0	8	1	10	34	5	0	0	1	0	0	0	0	0	0	5	5	0	0	2	0	0	21	1	1	0	2	0	17	5	19	11	29	0	0	32	0	2	0	0	2	7	3	2	2	2
3121	4063	"Mire Garvan"	44.106212	26.910492	60	"AWI"	60	121	991	482	0	0	4	18	0	10	0	15	0	4	0	3	0	0	0	0	0	0	0	8	4	0	8	3	0	1	3	0	4	0	0	0	18	4	17	0	21	0	2	20	3	1	0	0	6	6	8	7	4	0
3121	4063	"Mire Garvan"	44.106212	26.910492	70	"AWI"	70	158	1117	575	0	1	0	20	0	10	0	16	0	0	0	4	0	0	5	0	0	0	0	8	8	0	0	5	0	2	2	0	5	0	0	1	24	2	15	9	23	4	1	20	0	0	0	0	6	8	7	6	1	3
3121	4063	"Mire Garvan"	44.106212	26.910492	80	"AWI"	80	245	1192	668	0	0	6	22	0	8	1	14	40	4	0	5	0	0	0	1	0	0	1	6	6	0	3	2	0	0	3	2	6	2	1	0	15	4	17	0	0	0	0	22	3	0	0	0	0	8	7	0	0	2
3121	4063	"Mire Garvan"	44.106212	26.910492	90	"AWI"	90	304	1292	767	0	2	4	24	0	16	0	19	0	5	0	5	2	0	0	2	0	0	0	13	3	0	9	4	0	0	4	1	7	0	0	0	24	2	18	15	0	0	0	21	0	0	0	0	1	8	6	11	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	100	"AWI"	100	378	1395	860	0	0	3	18	0	10	0	15	0	5	0	4	0	0	9	0	0	0	1	7	7	1	0	8	4	2	6	0	2	0	0	0	17	2	32	0	18	9	0	20	8	0	0	0	5	0	21	10	0	1
3121	4063	"Mire Garvan"	44.106212	26.910492	120	"AWI"	120	523	1583	1053	2	0	3	15	2	8	0	18	0	3	0	0	0	0	0	0	0	2	0	9	8	0	0	4	3	0	4	0	4	1	0	0	16	5	13	0	0	0	0	32	0	3	0	1	5	6	8	7	6	0
3121	4063	"Mire Garvan"	44.106212	26.910492	130	"AWI"	130	644	1630	1155	0	0	5	14	0	7	0	19	0	7	0	0	0	4	0	0	1	0	0	6	3	0	0	2	0	0	5	0	3	0	0	0	16	0	0	10	21	0	0	29	4	1	0	0	3	6	4	4	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	140	"AWI"	140	718	1720	1253	0	3	3	18	0	4	0	15	0	4	0	0	0	0	0	0	0	0	2	12	6	1	0	5	0	0	4	2	0	0	0	2	18	5	20	0	22	0	0	29	3	0	0	0	0	10	6	9	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	150	"AWI"	150	823	1790	1344	0	3	7	17	2	6	0	16	0	5	0	2	2	0	0	0	0	1	1	12	7	2	0	5	0	1	5	1	0	0	0	0	27	6	24	13	23	0	0	32	2	0	0	2	2	11	10	10	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	160	"AWI"	160	921	1856	1439	1	0	3	13	0	4	0	12	37	3	0	0	1	0	10	0	0	0	0	9	2	1	5	5	0	0	4	1	4	0	0	0	42	3	31	0	13	0	0	33	0	0	0	0	0	5	9	12	3	0
3121	4063	"Mire Garvan"	44.106212	26.910492	170	"AWI"	170	1009	1939	1530	1	0	7	22	0	8	0	14	0	5	0	3	0	0	0	0	0	0	3	11	4	0	7	9	0	1	7	0	0	0	0	0	36	7	30	0	13	0	0	27	0	0	0	0	5	8	12	8	0	1
3121	4063	"Mire Garvan"	44.106212	26.910492	180	"AWI"	180	1165	1995	1624	0	1	4	12	0	3	2	16	0	4	0	0	1	0	0	0	0	0	1	11	2	0	0	6	0	0	0	0	2	0	0	0	39	5	24	0	0	0	0	50	0	0	0	0	0	10	17	9	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	190	"AWI"	190	1260	2078	1721	0	2	3	22	0	3	1	23	21	6	0	0	0	0	0	0	0	0	0	7	1	0	0	11	0	0	0	0	2	2	2	0	44	6	32	0	0	8	0	52	0	0	0	0	1	9	7	10	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	200	"AWI"	200	1449	2145	1800	0	3	0	8	0	5	0	11	0	5	0	0	0	0	0	1	0	0	0	10	2	0	0	7	0	0	0	0	0	0	0	0	31	7	40	0	0	0	0	52	0	0	0	0	0	6	17	14	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	210	"AWI"	210	1613	2201	1883	0	1	3	7	0	4	0	13	0	4	0	1	0	0	0	2	0	0	0	9	0	0	0	5	0	1	0	0	3	0	0	0	33	7	18	0	0	0	0	42	0	0	0	0	0	8	8	7	0	0
3121	4063	"Mire Garvan"	44.106212	26.910492	220	"AWI"	220	1868	2302	2042	0	1	0	5	0	3	0	15	0	3	0	2	0	0	0	0	0	0	0	8	3	0	0	6	0	0	1	2	0	0	0	1	34	11	0	0	0	0	0	46	0	0	6	1	0	4	5	6	0	1
