"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	2.5	"AWI"	2.5	-116	39.5	-33.5	0	1.44578313253012	0.481927710843374	0.240963855421687	0	0	0	7.71084337349398	0	0	0	0	0	0	3.6144578313253	0	2.16867469879518	10.3614457831325	22.8915662650602	0	0	1.68674698795181	0	0	0	0	0	0	0	0	0	0	0.481927710843374	1.20481927710843	0	32.289156626506	0	0	0	0	14.2168674698795	0.240963855421687	0	0	0	0.481927710843374	0	0.481927710843374	0	0	0	0	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	5	"AWI"	5	-105	53	-22	0	0.940438871473354	0	0	0	0	0	2.50783699059561	0	0	0	0	0	0	10.0313479623824	0	1.25391849529781	12.2257053291536	19.1222570532915	0	0.940438871473354	2.82131661442006	0	0	0	0	0	0	0	0	0	0	0.313479623824451	2.82131661442006	0	32.6018808777429	0	0	0	0.313479623824451	12.2257053291536	0	0	0.313479623824451	0	0.313479623824451	0	0.313479623824451	0	0	0	0.626959247648903	0.313479623824451	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	9	"AWI"	9	-91	81	-3	0	1.9774011299435	0	0.282485875706215	0	0	0	9.03954802259887	0	0.564971751412429	0	0	0	0	9.03954802259887	0	2.25988700564972	5.36723163841808	18.0790960451977	1.41242937853107	0	8.19209039548022	0	0	0.282485875706215	0	0.282485875706215	0	0	0	0	0	0	1.41242937853107	0	20.6214689265537	0	0	0	0.282485875706215	19.2090395480226	0.564971751412429	0	0	0	0	0	0.564971751412429	0	0	0	0.564971751412429	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	11.5	"AWI"	11.5	-84.5	102.5	8.5	0	3.27380952380952	0.297619047619048	0	0	0	0	5.65476190476191	0	0.892857142857143	0	0	0	0	14.5833333333333	0	1.48809523809524	9.52380952380952	16.3690476190476	0	0.297619047619048	3.57142857142857	0	0	0	0	0	0	0	0	0	0	0	2.08333333333333	0	17.5595238095238	0	0	0	0	23.2142857142857	0.595238095238095	0	0	0	0	0	0	0	0	0	0.297619047619048	0.297619047619048	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	16.5	"AWI"	16.5	-74	151	31	0	1.53846153846154	0.13986013986014	0	0.13986013986014	0	0	17.2027972027972	0	0.41958041958042	0	0	0	0	9.93006993006993	0	1.11888111888112	2.7972027972028	48.2517482517483	0	0.27972027972028	0.839160839160839	0.13986013986014	0	0	0	0.41958041958042	0	0	0	0	0	0.13986013986014	0.13986013986014	0	10.3496503496504	0	0	0	0	5.45454545454545	0.13986013986014	0	0	0	0	0	0	0	0	0	0.13986013986014	0.41958041958042	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	19	"AWI"	19	-70	176	42	0	1.82481751824817	0	0.547445255474453	0	0	0	2.73722627737226	0	0.364963503649635	0	0	0	0	10.2189781021898	0	0.547445255474453	8.75912408759124	47.8102189781022	0	0	2.00729927007299	0	0	0	0	0.364963503649635	0	0	0.182481751824818	0	0	0	0	0	10.2189781021898	0	0	0	0	13.8686131386861	0.364963503649635	0	0	0	0	0	0	0	0	0	0.182481751824818	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	22.5	"AWI"	22.5	-64.5	213	57.5	0.271739130434783	1.6304347826087	0.271739130434783	0	0.271739130434783	0.271739130434783	0	0.815217391304348	0	0.543478260869565	0	0	0	0	19.2934782608696	0	0.543478260869565	6.52173913043478	27.1739130434783	0	0	2.44565217391304	0	0	0.271739130434783	0	0	0	0	0.271739130434783	0	0	0	0	0	23.3695652173913	0	0	0	0.271739130434783	13.3152173913043	0.271739130434783	0	0	0	0	0	0	0	0	0	0	2.17391304347826	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	30	"AWI"	30	-55	294	88	0	3.41614906832298	0	0	0	0.31055900621118	0	1.86335403726708	0	0	0	0	0	0	4.34782608695652	0	2.48447204968944	7.14285714285714	25.1552795031056	0	0	3.72670807453416	0	0	0	0	0.62111801242236	0	0	0	0	0	0	0.31055900621118	0	23.9130434782609	0	0	0	0	23.9130434782609	0.93167701863354	0	0	1.24223602484472	0	0	0	0	0	0	0.62111801242236	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	32.5	"AWI"	32.5	-37.5	300	101.5	0.444444444444444	4	0	0.444444444444444	0	0	0	0	0	0.444444444444444	0	0	0	0	10.6666666666667	0	0	14.6666666666667	24.8888888888889	0	1.77777777777778	1.77777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2222222222222	0	0	0	0.444444444444444	13.3333333333333	0.888888888888889	0	0	0	0	0	0	0	0	0	0	0	0
15917	24513	"Tourbière de Landemarais"	48.44167	-1.18167	37.5	"AWI"	37.5	-11	315	128	0	11.9402985074627	0	0	0	1.49253731343284	0	8.2089552238806	0	0.746268656716418	0	0	0	0	19.4029850746269	0	3.73134328358209	19.4029850746269	0	0	0.746268656716418	6.71641791044776	0.746268656716418	0	0	0	0	0	0	0	0	2.98507462686567	0	0.746268656716418	0	0	0	0	0	0	21.6417910447761	0.746268656716418	0	0	0	0	0	0	0	0	0	0.746268656716418	0	0
