"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26216	45716	"Holebudalen"	59.841922	6.992512	794	"AWI"	794	-122	36	-45	1	6	0	0	0	2	0	80	0	0	0	1	0	0	4	0	97	0	0	0	0	0	0	0	1	19	0	7	0	0	0	1	0	9	91	0	109	0	0	0	0	1	0	0	0	0	43	0	0	0	1	0	6	0
26216	45716	"Holebudalen"	59.841922	6.992512	796	"AWI"	796	-70	311	57	0	9	0	0	0	0	0	75	0	0	0	0	0	0	4	0	121	0	0	2	0	0	0	0	0	41	1	9	0	0	0	3	0	6	110	0	117	0	0	0	0	2	0	0	0	0	53	0	0	0	0	2	8	0
26216	45716	"Holebudalen"	59.841922	6.992512	798	"AWI"	798	-48	653	153	0	8	0	0	0	0	0	50	0	0	0	0	0	0	9	0	79	0	0	1	0	0	0	0	0	17	0	23	0	0	1	1	0	6	77	0	106	0	0	0	0	3	0	0	0	0	43	0	1	1	0	2	5	0
26216	45716	"Holebudalen"	59.841922	6.992512	800	"AWI"	800	6	893	262	0	14	2	0	0	2	0	41	0	0	0	0	0	0	8	0	88	0	0	0	0	0	0	0	1	22	0	9	0	0	2	0	0	3	83	0	174	0	0	0	0	1	0	0	0	17	0	0	0	0	0	1	6	0
26216	45716	"Holebudalen"	59.841922	6.992512	802	"AWI"	802	61	1041	390	0	11	0	0	0	1	0	41	0	0	0	0	0	0	5	0	72	0	0	0	0	0	0	0	1	24	2	10	0	0	0	0	0	1	79	0	110	0	1	0	0	0	0	0	0	0	22	0	0	0	1	1	5	0
26216	45716	"Holebudalen"	59.841922	6.992512	804	"AWI"	804	99	1267	498	0	14	0	0	0	1	0	0	0	0	0	0	0	0	11	0	79	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	3	69	0	104	0	0	1	0	1	0	0	0	0	24	0	0	0	0	0	1	0
26216	45716	"Holebudalen"	59.841922	6.992512	806	"AWI"	806	214	1338	636	0	15	2	0	0	0	0	0	0	0	0	0	0	0	2	0	63	0	0	0	0	0	0	0	0	28	0	7	0	0	0	1	0	6	60	0	81	0	0	0	0	4	0	0	0	0	22	0	1	0	1	2	7	0
26216	45716	"Holebudalen"	59.841922	6.992512	808	"AWI"	808	271	1443	766	0	9	0	0	0	2	0	0	0	0	0	0	0	0	5	1	64	0	0	0	0	0	0	0	1	8	0	6	0	0	1	0	0	1	71	0	86	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	5	0
26216	45716	"Holebudalen"	59.841922	6.992512	810	"AWI"	810	375	1558	887	0	7	1	0	0	0	0	73	0	0	0	0	0	0	4	0	64	0	0	2	0	0	0	0	1	16	0	5	0	0	0	0	0	3	67	0	91	0	1	0	0	0	0	0	0	0	24	0	0	0	0	2	5	0
26216	45716	"Holebudalen"	59.841922	6.992512	812	"AWI"	812	491	1646	1011	0	16	0	0	0	1	0	92	0	0	0	0	0	0	4	0	69	0	0	0	0	0	0	0	0	11	1	12	0	0	0	1	0	1	82	0	75	0	0	0	0	2	0	0	0	0	21	0	0	0	0	1	4	0
