"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"
26124	45331	"Storsandvatnet"	63.4575	8.45444	71	"AWI"	71	-127	45	-45	0	15	0	0	0	0	0	72	0	0	0	0	0	0	1	0	13	0	0	33	0	0	0	0	1	0	0	13	0	28	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	74	"AWI"	74	-46	584	149	0	14	0	0	0	0	0	117	0	0	0	0	0	0	7	0	24	0	0	64	0	0	2	0	0	0	0	27	0	50	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	77	"AWI"	77	2	1140	341	0	30	0	0	0	0	0	106	0	0	1	0	0	0	11	0	27	0	0	55	0	0	0	0	0	0	0	38	0	18	0	0	0	0	0	7	203	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	81	"AWI"	81	140	1560	626	0	27	0	0	0	0	0	90	0	0	0	0	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	45	0	29	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	85	"AWI"	85	322	1901	921	0	23	1	0	0	0	0	0	0	0	0	0	0	0	19	0	23	0	0	0	0	0	0	0	0	0	0	44	0	14	4	0	0	0	0	4	169	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	89	"AWI"	89	512	2191	1228	1	39	0	0	0	0	0	0	0	0	0	0	0	0	16	0	45	0	0	104	0	0	0	0	0	0	0	27	0	10	4	0	0	0	0	7	279	0	0	33	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	93	"AWI"	93	692	2416	1578	0	28	0	0	0	0	0	0	0	0	1	0	0	0	8	0	32	0	0	55	0	0	0	0	0	0	0	30	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	97	"AWI"	97	1004	2636	1864	0	27	0	0	0	0	0	0	0	0	0	0	0	0	5	0	27	0	0	42	0	0	0	0	0	0	0	10	0	0	1	0	0	1	0	2	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
26124	45331	"Storsandvatnet"	63.4575	8.45444	101	"AWI"	101	1279	2880	2159	0	43	0	0	0	0	0	118	0	0	0	0	0	0	20	0	16	0	0	0	0	0	1	0	0	0	0	13	0	4	0	0	0	0	0	1	257	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	105	"AWI"	105	1598	3124	2479	0	41	0	0	0	0	0	112	0	0	0	0	0	0	17	0	33	0	0	0	0	0	0	0	0	0	0	9	0	1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	109	"AWI"	109	1865	3254	2733	0	33	0	0	1	0	0	128	0	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	0	0	9	0	4	3	0	0	0	0	1	256	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	113	"AWI"	113	2385	3396	3009	0	35	0	0	0	0	0	0	0	0	0	0	0	0	18	0	19	0	0	48	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2
26124	45331	"Storsandvatnet"	63.4575	8.45444	117	"AWI"	117	2845	3552	3316	0	49	0	0	0	0	0	0	0	0	0	0	0	0	19	0	18	0	0	0	0	0	0	0	0	0	0	14	0	0	2	0	0	0	0	0	362	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	2	3	1
26124	45331	"Storsandvatnet"	63.4575	8.45444	121	"AWI"	121	3422	3823	3590	0	30	0	0	0	0	0	126	0	0	0	0	0	0	7	0	11	0	0	29	0	0	0	0	0	0	0	10	1	4	0	0	0	0	0	0	322	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	125	"AWI"	125	3561	4309	3874	0	31	0	0	0	0	0	0	0	0	0	0	0	0	20	0	21	0	0	0	0	0	1	0	0	0	0	9	0	3	0	1	0	0	0	1	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	129	"AWI"	129	3709	4748	4122	0	44	0	0	0	0	0	121	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	1	267	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0	1	0	2	0
26124	45331	"Storsandvatnet"	63.4575	8.45444	133	"AWI"	133	3822	5057	4374	0	32	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	2	0	0	0	0	7	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
