"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Tilia"	"Ulmus"	"Urticaceae"
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	798	"AWI"	798	7006	8959	7967	64	0	1	0	0	0	0	0	10	72	0	0	0	0	0	0	241	48	0	0	1	0	1	7	0	0	2	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	810	"AWI"	810	7479	9398	8510	51	0	0	0	0	0	0	0	4	83	0	0	1	0	0	2	276	35	0	0	0	2	0	5	0	0	1	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	822	"AWI"	822	8068	9759	9043	53	0	0	0	0	0	0	0	2	54	0	0	2	0	0	1	260	31	0	0	0	1	0	1	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	830	"AWI"	830	8500	10001	9413	45	0	0	0	0	0	0	0	1	59	0	0	0	0	0	2	219	37	0	0	1	1	1	2	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	842	"AWI"	842	9424	10279	9886	28	0	0	0	0	0	0	0	4	68	0	0	2	0	0	1	159	31	0	0	0	0	0	0	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	850	"AWI"	850	9686	10602	10142	37	2	0	0	0	0	0	0	0	39	0	0	0	0	0	3	138	18	0	0	0	0	0	2	0	0	2	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	858	"AWI"	858	9842	10852	10326	48	0	0	0	0	0	0	0	2	52	0	0	0	0	0	0	72	39	0	0	1	0	0	0	0	0	2	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	866	"AWI"	866	9993	11057	10515	11	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	130	33	0	1	1	0	1	0	0	0	1	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	870	"AWI"	870	10043	11199	10611	8	0	0	0	0	258	0	0	3	35	1	0	1	3	0	17	43	29	0	1	0	1	0	0	0	2	2	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	878	"AWI"	878	10237	11380	10804	15	0	0	0	0	280	0	0	5	31	1	0	0	1	0	7	42	20	0	1	2	1	1	0	0	1	3	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	886	"AWI"	886	10432	11549	11015	2	26	1	0	0	0	0	0	1	58	0	0	1	0	0	23	258	19	0	0	0	1	1	0	0	1	2	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	890	"AWI"	890	10496	11671	11112	7	28	0	0	0	294	0	0	1	49	0	0	0	0	0	29	210	23	0	0	0	1	0	0	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	894	"AWI"	894	10633	11733	11208	5	19	0	0	1	0	0	0	1	23	0	0	0	0	0	29	220	30	0	0	0	1	0	0	0	1	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	902	"AWI"	902	10828	11908	11395	1	12	0	72	1	280	0	0	0	88	0	0	0	0	0	46	85	53	0	0	0	1	0	2	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	910	"AWI"	910	11044	12046	11598	2	32	1	118	0	241	0	1	0	84	0	0	1	0	0	26	76	59	0	1	0	0	2	4	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	920	"AWI"	920	11357	12201	11821	2	50	0	179	1	166	0	1	0	68	0	0	0	0	0	8	67	12	0	2	0	2	1	1	0	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	934	"AWI"	934	11630	12361	12032	3	48	1	157	0	130	0	3	0	69	0	1	0	0	0	6	60	31	0	1	0	0	1	12	2	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	938	"AWI"	938	11701	12411	12095	1	60	0	119	0	90	0	1	0	39	0	0	0	0	0	3	48	58	0	0	0	0	0	14	7	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	942	"AWI"	942	11780	12463	12165	1	41	1	206	0	0	2	3	1	38	0	0	0	0	0	21	28	36	0	9	0	1	2	18	5	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	946	"AWI"	946	11859	12525	12244	2	74	0	171	0	0	0	2	0	62	0	0	0	0	1	23	43	40	0	1	0	2	0	11	2	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	948	"AWI"	948	11882	12567	12285	1	66	2	149	0	0	3	0	2	44	0	0	0	0	1	37	39	40	0	3	0	4	0	18	3	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	952	"AWI"	952	11972	12638	12365	0	53	1	208	0	111	1	1	0	19	0	0	0	0	0	43	46	48	0	4	0	3	2	5	3	0	0	0
26569	46464	"Lake Pastorskoye"	60.22891	30.04151	956	"AWI"	956	12065	12696	12448	0	62	2	213	0	0	1	1	1	38	0	1	0	0	0	24	35	26	0	6	0	2	1	6	0	0	0	0
