"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	2.5	"AWI"	2.5	-41.5	231	68	1	0	64	0	3	8	0	2	0	8	3	0	0	11	0	0	5	664	0	0	0	0	2	2	3	2	0	0	23	0	5	0	0	0	1	57	226	1	0	0	2	1	0	0	1	0	1	2	2	0	0	2	0	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	5	"AWI"	5	-21	441	142	1	0	49	0	8	5	0	3	0	2	2	0	0	6	0	0	2	641	0	0	0	0	2	2	3	0	0	1	10	0	2	0	0	0	0	90	251	2	0	0	0	2	0	0	0	0	1	3	5	0	0	0	0	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	7.5	"AWI"	7.5	-8	656.5	215.5	0	3	41	0	1	5	0	7	0	2	3	0	0	7	0	0	3	680	0	0	0	0	8	4	0	0	0	1	20	0	1	0	0	0	0	57	225	1	0	0	1	0	0	0	0	0	0	4	5	0	0	2	0	1	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	10	"AWI"	10	5	874	289	8	0	67	0	5	7	0	4	0	2	0	0	0	3	0	0	3	653	0	0	7	0	5	1	1	1	0	2	10	0	0	0	0	0	0	111	209	1	0	0	0	7	0	0	0	0	2	1	2	0	0	0	0	2	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	12.5	"AWI"	12.5	74.5	939.5	390.5	6	0	64	0	4	4	0	9	1	0	0	0	0	3	0	0	5	539	0	0	0	0	14	1	0	0	0	0	2	0	0	0	0	0	1	164	210	0	0	0	0	4	0	0	1	0	0	1	3	0	0	2	2	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	15	"AWI"	15	119	1021	494	7	0	133	0	28	6	0	10	0	2	0	0	0	3	0	0	2	529	0	0	0	0	4	0	1	0	0	1	2	0	0	0	0	0	0	126	228	2	0	0	0	3	0	1	0	0	0	1	6	0	0	5	0	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	17.5	"AWI"	17.5	151	1137.5	591	0	2	140	0	9	2	0	9	0	4	0	0	0	1	0	0	3	544	0	0	0	1	17	0	0	0	0	1	12	0	2	0	0	0	0	130	263	1	0	0	1	10	0	0	0	0	0	4	1	0	0	0	0	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	20	"AWI"	20	179	1293	683	2	0	56	0	3	0	0	9	0	0	0	0	0	1	0	0	1	973	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	25	71	1	0	0	0	3	0	0	0	0	2	1	3	0	0	1	0	1	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	22.5	"AWI"	22.5	290	1341	768.5	0	0	48	0	0	5	0	14	0	0	0	0	0	0	0	0	3	885	0	0	0	0	1	1	1	0	0	0	4	0	0	0	0	0	0	18	56	0	0	0	0	2	0	0	0	0	0	0	7	0	0	1	0	0	0
16519	25845	"Rotmoos Obergurgl"	46.84735	11.014232	25	"AWI"	25	356	1404	856	4	1	38	0	1	0	0	7	0	0	0	0	0	1	0	0	4	711	0	0	0	0	5	0	0	0	0	1	7	0	1	0	0	0	0	129	142	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0
