"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Thalictrum"	"Ulmus"	"Vitaceae"
15932	24547	"Pezou"	47.87083	1.15083	3	"AWI"	3	-53	-23	-38	1	6	26	1	0	69	2	1	1	0	0	2	0	90	0	0	1	0	0	1	1	1	14	3	70	0	0	2	82	0	1	0	2	0	1	0
15932	24547	"Pezou"	47.87083	1.15083	7	"AWI"	7	-41	41	-12	0	0	6	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	12	"AWI"	12	-26	76	16	0	8	18	1	0	0	0	1	0	0	0	2	0	147	0	0	1	0	0	1	0	0	46	1	65	3	0	8	0	0	0	0	1	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	17	"AWI"	17	-13	113	42	0	1	12	5	0	57	1	0	3	0	0	1	0	143	0	0	1	0	0	6	0	0	6	3	0	0	0	1	0	0	0	0	2	1	0	0
15932	24547	"Pezou"	47.87083	1.15083	22	"AWI"	22	2	145	70	1	0	39	1	0	0	0	2	0	0	0	4	0	94	0	0	1	0	0	0	0	0	22	0	0	0	0	4	0	0	0	1	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	27	"AWI"	27	19	171	94	0	2	22	2	2	0	0	4	2	0	0	3	0	151	0	0	1	0	0	5	0	0	21	9	0	0	0	3	1	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	31	"AWI"	31	29	189	114	0	2	5	3	0	0	1	0	1	0	0	0	0	152	0	0	0	0	1	3	0	0	15	5	0	0	0	5	0	0	0	0	2	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	35	"AWI"	35	57	201	136	0	1	6	1	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	40	"AWI"	40	78	223	165	0	0	1	0	0	0	0	0	0	0	0	1	0	182	0	0	0	0	0	2	0	0	3	5	0	0	0	1	6	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	48	"AWI"	48	130	243	208	0	2	15	2	0	0	0	0	0	0	0	0	0	67	0	0	0	1	0	0	0	0	15	2	0	4	0	3	0	0	0	0	2	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	51	"AWI"	51	176	248	226	0	2	10	0	0	0	0	0	0	0	0	1	0	68	0	0	0	0	0	2	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0
15932	24547	"Pezou"	47.87083	1.15083	55	"AWI"	55	216	294	256	0	4	21	0	1	0	1	1	0	0	0	2	0	110	0	0	3	0	0	1	0	0	15	7	82	0	0	3	1	0	0	0	1	0	1	0
15932	24547	"Pezou"	47.87083	1.15083	155	"AWI"	155	4706	7317	6070	0	1	0	0	15	0	2	0	1	0	0	0	0	22	0	0	1	0	0	1	0	0	82	0	0	0	0	1	0	0	0	0	0	0	0	0
