"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	2.5	"AWI"	2.5	808	1028	955	1	567	13	6	0	36	0	0	2	0	0	1	0	207	34	0	0	0	0	52	1	0	0	325	1	0	0	0	2	238	1036	7	852	0	0	0	155	2	1	0	0	44	41	0	0	0	0	16	17	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	7.5	"AWI"	7.5	832.5	1056.5	974	0	585	10	3	1	31	0	0	1	0	0	0	0	166	27	0	0	0	0	75	3	0	1	330	0	0	0	0	3	194	852	6	884	0	0	0	190	1	1	0	1	68	24	1	0	0	0	13	18	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	12.5	"AWI"	12.5	863	1080	993	0	580	17	2	0	27	0	0	0	0	0	0	0	171	27	0	0	0	0	46	1	0	0	489	2	0	0	1	2	125	759	6	1005	0	0	0	150	3	3	0	0	88	26	0	0	0	0	23	19	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	17.5	"AWI"	17.5	896.5	1105	1012	0	764	13	8	0	40	0	0	0	0	0	0	0	237	31	0	0	0	0	69	0	0	0	595	0	0	0	0	0	95	796	13	1307	0	0	0	156	3	2	0	0	82	19	0	0	0	0	33	10	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	22.5	"AWI"	22.5	932.5	1123	1032	0	782	14	14	0	41	0	0	0	0	0	0	0	261	18	0	0	0	0	73	0	0	0	728	0	0	0	0	1	81	730	10	1477	0	0	0	157	1	1	0	2	117	28	0	0	0	0	38	6	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	27.5	"AWI"	27.5	962.5	1150.5	1053	0	767	11	10	0	23	0	0	2	0	0	0	0	295	36	0	188	0	0	80	0	0	0	620	0	0	0	0	1	56	679	6	872	0	0	0	183	0	3	0	0	89	14	0	0	0	0	44	5	1
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	32.5	"AWI"	32.5	982.5	1170.5	1075	0	787	20	8	0	38	0	0	1	0	0	0	0	237	22	0	0	0	0	164	1	0	0	646	0	0	0	0	3	49	622	5	955	0	0	0	193	0	3	0	0	71	17	1	0	0	0	32	7	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	37.5	"AWI"	37.5	997	1196.5	1097.5	0	564	15	3	0	39	0	0	1	0	0	0	0	248	47	0	0	0	0	171	0	0	2	669	0	0	0	0	5	56	732	7	870	0	0	0	246	1	2	0	0	72	19	0	0	0	0	24	2	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	42.5	"AWI"	42.5	1018.5	1212	1120.5	0	555	15	6	0	46	0	0	0	0	0	0	0	300	45	0	0	0	0	269	0	0	1	611	0	0	0	0	5	42	506	4	683	0	0	0	442	3	2	0	0	62	24	0	0	0	0	15	3	0
3398	4403	"Lake Sämbosjön"	57.16313	12.41426	47.5	"AWI"	47.5	1036	1235	1143	0	433	13	6	0	47	0	0	0	0	0	0	0	200	42	0	0	0	0	279	0	0	0	288	0	0	0	0	8	68	566	5	573	0	0	0	591	0	2	0	0	44	23	1	0	0	0	11	8	0
