"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Tamarix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
26044	45168	"Lake Manyas"	40.16667	28	27	"AWI"	27	-26	179	65	0	5	14	4	0	8	0	1	0	11	0	1	1	0	0	6	6	0	0	1	0	0	1	7	0	1	2	0	1	0	0	0	0	51	0	0	9	49	0	1	0	26	4	1	1	0	1	0	0	1	0	0	0	0	0	0	4	0
26044	45168	"Lake Manyas"	40.16667	28	207	"AWI"	207	622	945	782	0	6	9	9	0	5	0	0	1	2	0	2	2	2	0	7	36	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	69	0	0	16	70	0	0	0	32	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0
26044	45168	"Lake Manyas"	40.16667	28	347	"AWI"	347	1193	1478	1341	0	16	7	5	0	5	0	4	0	7	0	0	2	1	1	11	20	1	0	1	0	5	2	0	1	0	0	1	1	0	4	0	0	58	0	0	1	81	0	0	0	136	4	1	0	0	2	0	0	13	0	1	0	0	0	2	0	0
26044	45168	"Lake Manyas"	40.16667	28	529	"AWI"	529	1872	2200	2036	0	3	9	3	0	7	0	3	0	9	0	3	0	0	2	3	10	0	0	1	0	4	3	14	4	0	0	0	14	0	0	0	1	16	0	0	5	0	0	1	0	61	2	0	0	0	1	0	0	3	0	0	0	0	0	3	5	0
26044	45168	"Lake Manyas"	40.16667	28	669	"AWI"	669	2368	2753	2561	1	7	6	2	1	10	0	3	0	2	2	2	0	0	2	3	12	0	0	1	0	6	0	5	0	0	0	0	3	2	0	0	0	15	0	4	1	87	0	0	0	77	4	0	0	0	2	0	0	8	0	0	0	0	0	5	1	2
26044	45168	"Lake Manyas"	40.16667	28	807	"AWI"	807	2875	3281	3079	1	3	5	4	0	2	0	2	0	1	0	0	1	0	2	3	18	0	0	0	0	4	3	4	0	0	0	0	2	0	0	1	0	31	1	3	2	0	0	0	0	69	19	0	0	0	4	0	0	8	0	0	0	0	1	1	1	2
26044	45168	"Lake Manyas"	40.16667	28	947	"AWI"	947	3416	3794	3603	0	8	5	4	1	10	30	0	0	2	1	1	1	2	4	4	12	0	0	0	0	7	0	17	0	0	0	1	0	0	0	0	0	27	0	0	1	38	4	0	0	125	1	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0
26044	45168	"Lake Manyas"	40.16667	28	982	"AWI"	982	3551	3921	3733	0	2	14	2	0	3	0	0	0	0	0	0	0	0	4	1	11	0	0	0	0	2	0	10	0	0	0	0	0	0	3	0	1	12	0	0	0	0	0	0	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
26044	45168	"Lake Manyas"	40.16667	28	1026	"AWI"	1026	3725	4076	3897	0	2	10	0	0	4	0	3	0	2	0	1	0	1	6	0	20	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	36	0	0	0	122	0	1	0	78	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
26044	45168	"Lake Manyas"	40.16667	28	1066	"AWI"	1066	3888	4212	4048	0	2	11	2	0	4	0	1	0	1	0	1	0	0	4	1	8	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	1	47	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0
