"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Tilia"	"Ulmus"	"Urticaceae"
16267	25213	"Peyre peat-bog"	44.96028	2.71889	0	"AWI"	0	225	396	306	1.4018691588785	0	3.27102803738318	0.467289719626168	2.80373831775701	0	1.86915887850467	4.67289719626168	0.934579439252336	0	1.4018691588785	4.67289719626168	33.1775700934579	3.73831775700935	0	7.00934579439252	1.86915887850467	0	18.6915887850467	0	0	0	4.67289719626168	2.80373831775701	4.67289719626168	0	1.86915887850467	0	0	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	5	"AWI"	5	346	913	591	3.32326283987915	0	2.11480362537764	0	0.302114803625378	0.302114803625378	0.906344410876133	5.13595166163142	0.604229607250755	0.302114803625378	0.604229607250755	1.81268882175227	29.0030211480363	2.41691842900302	0	4.83383685800604	1.81268882175227	0.302114803625378	12.9909365558912	0	21.7522658610272	0	8.1570996978852	0.906344410876133	0.906344410876133	0	1.51057401812689	0	0	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	10	"AWI"	10	413	1509	866	3.46820809248555	0	6.9364161849711	0	0.578034682080925	0.578034682080925	0	2.3121387283237	1.15606936416185	0	2.3121387283237	5.20231213872832	42.7745664739884	6.9364161849711	0	4.04624277456647	0	1.15606936416185	13.8728323699422	0	0	0	3.46820809248555	1.15606936416185	1.73410404624277	0	2.3121387283237	0	0	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	15	"AWI"	15	582	1941	1131	3.36538461538462	0	5.76923076923077	0.480769230769231	0.961538461538462	0.480769230769231	1.92307692307692	0.961538461538462	0.480769230769231	0.480769230769231	3.84615384615385	2.88461538461538	12.0192307692308	19.2307692307692	0.961538461538462	4.32692307692308	0	0.961538461538462	1.92307692307692	0	27.4038461538462	0.480769230769231	6.25	0.961538461538462	1.92307692307692	0	1.44230769230769	0	0.480769230769231	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	20	"AWI"	20	872	2088	1417	0.308641975308642	0	2.77777777777778	0	1.23456790123457	0.617283950617284	0.925925925925926	1.23456790123457	0	0.308641975308642	0	1.54320987654321	0.617283950617284	46.9135802469136	0	6.79012345679012	0	0.617283950617284	0.308641975308642	0	27.7777777777778	0	3.39506172839506	0.617283950617284	0.925925925925926	0	3.08641975308642	0	0	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	25	"AWI"	25	1004	2301	1693	9.12408759124088	0	9.48905109489051	0	0.364963503649635	0.72992700729927	1.09489051094891	2.91970802919708	0	0.364963503649635	0	7.66423357664234	1.45985401459854	17.5182481751825	0	40.1459854014599	0.364963503649635	0	0.72992700729927	0	0	0	7.2992700729927	0	0	0	0	0.364963503649635	0.364963503649635	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	30	"AWI"	30	1390	2440	1954	3.94736842105263	0	3.28947368421053	0	0	0	0	3.28947368421053	0	0.328947368421053	0	2.30263157894737	1.31578947368421	2.30263157894737	0	65.1315789473684	0.986842105263158	0	0.986842105263158	0	0	0	13.1578947368421	0	1.31578947368421	0	0.328947368421053	0.328947368421053	0.986842105263158	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	35	"AWI"	35	1894	2480	2205	55.1928783382789	0	3.85756676557863	0.29673590504451	0	0	0	1.18694362017804	0	0	0	2.37388724035608	0	0	0	26.4094955489614	0.593471810089021	0	1.18694362017804	0	0	0	8.30860534124629	0	0	0	0	0.29673590504451	0.29673590504451	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	40	"AWI"	40	2346	2589	2429	43.0555555555556	0	5.20833333333333	0	0	0.347222222222222	0	1.38888888888889	0	0	0	1.38888888888889	1.38888888888889	0	0	41.6666666666667	0	0	0.347222222222222	0	0	0	4.16666666666667	0	0.347222222222222	0	0	0	0.694444444444444	0
16267	25213	"Peyre peat-bog"	44.96028	2.71889	45	"AWI"	45	2368	2618	2461	48.8054607508532	0	4.43686006825939	0	0.341296928327645	0	0	1.70648464163823	0	0	0	4.09556313993174	0	0	0	35.1535836177474	0.341296928327645	0	1.02389078498294	0	0	0	3.07167235494881	0	0.68259385665529	0	0	0	0.341296928327645	0
