"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
26028	45115	"Clonearl Bog"	53.31667	-7.3	0.5	"AWI"	0.5	1828	2041.5	1947	9.14127423822715	0	0	0.554016620498615	0	0	0.277008310249307	0	0	0	82.2714681440443	1.66204986149584	0	0	0	1.93905817174515	0	0	0	0	0	0	0	0	0	3.04709141274238	0	0	0	0	0.554016620498615	0	0	0	0.554016620498615	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	2.5	"AWI"	2.5	1850.5	2052	1959.5	11.4369501466276	0	0	0	0	0	3.51906158357771	0.293255131964809	0	0	70.9677419354839	3.51906158357771	0	0	0	2.93255131964809	0	0	0	0	0	0	0	0	0	5.86510263929619	0	0	0	0	0	0	0	0	0.879765395894428	0.586510263929619
26028	45115	"Clonearl Bog"	53.31667	-7.3	4.5	"AWI"	4.5	1870.5	2067	1975.5	8.78048780487805	0	0	1.21951219512195	0	0	1.95121951219512	0	0	0	79.2682926829268	1.21951219512195	0	0	0	1.21951219512195	0	0	0	0	0	0	0	0	0	4.14634146341463	0.24390243902439	0	0	0	0.975609756097561	0	0	0	0.975609756097561	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	6.5	"AWI"	6.5	1888.5	2078.5	1990	5.52763819095477	0	0	0.251256281407035	0	0	2.01005025125628	0	0	0	57.286432160804	25.6281407035176	0	0	0	1.25628140703518	0	0	0	0	0	0	0	0	0	5.52763819095477	0	0.50251256281407	0	0	1.25628140703518	0	0	0	0.251256281407035	0.50251256281407
26028	45115	"Clonearl Bog"	53.31667	-7.3	8.5	"AWI"	8.5	1904	2090.5	2003.5	12.56038647343	0	0	0	0	0	1.20772946859903	0	0	0	74.3961352657005	3.6231884057971	0	0	0	1.20772946859903	0	0	0	0	0	0	0	0	0	6.28019323671498	0	0	0	0	0.241545893719807	0	0	0	0.483091787439614	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	10.5	"AWI"	10.5	1917	2103	2016	11.1688311688312	0	0	0.25974025974026	0	0	3.11688311688312	0	0	0	71.6883116883117	7.79220779220779	0	0	0	1.03896103896104	0	0	0	0	0.25974025974026	0	0	0	0	3.11688311688312	0	0	0	0	0.519480519480519	0	0	0	0.779220779220779	0.25974025974026
26028	45115	"Clonearl Bog"	53.31667	-7.3	12.5	"AWI"	12.5	1934.5	2112	2028	9.68992248062016	0.387596899224806	1.16279069767442	0	0	0	3.10077519379845	0	0	0	75.968992248062	1.55038759689922	0	0	0	1.16279069767442	0	0	0	0	0	0	0	0.387596899224806	0	5.03875968992248	0	0	0	0	0.387596899224806	0	0	0	0.775193798449612	0.387596899224806
26028	45115	"Clonearl Bog"	53.31667	-7.3	14.5	"AWI"	14.5	1949	2122	2041	11.875	0	0	0.3125	0	0	1.875	0	0	0	53.75	21.875	0	0	0	1.875	0	0	0	0	0.3125	0	0	0	0	5.625	0	0	0	0	1.25	0	0	0.3125	0.3125	0.625
26028	45115	"Clonearl Bog"	53.31667	-7.3	16.5	"AWI"	16.5	1966	2131.5	2054.5	8.7719298245614	0	0	0	0	0	2.45614035087719	0	0	0	76.4912280701754	2.45614035087719	0	0	0	0.701754385964912	0	0	0	0	1.05263157894737	0	0	0	0	5.96491228070175	0.350877192982456	0	0	0	1.75438596491228	0	0	0	0	0
26028	45115	"Clonearl Bog"	53.31667	-7.3	18.5	"AWI"	18.5	1981.5	2141	2068.5	14.0540540540541	0	0	0.540540540540541	0	0	1.62162162162162	0	0	0	71.3513513513514	4.86486486486486	0	0	0	0.540540540540541	0	0	0	0	0	0	0	0	0	5.94594594594595	0.540540540540541	0	0	0	0	0	0	0	0.540540540540541	0
