"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Lamiaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"
23796	41228	"Comerslade"	51.12028	-3.80472	8.5	"AWI"	8.5	53.5	1273.5	628	19	0	2	0	0	2	0	0	0	0	0	90	0	0	14	0	0	0	0	0	1	0	2	0	111	0	40	0	0	0	0	0	0	0	1	0
23796	41228	"Comerslade"	51.12028	-3.80472	16.5	"AWI"	16.5	1061	1611	1313	8	1	1	0	0	3	0	0	0	0	0	36	0	0	35	0	0	2	0	0	0	0	1	0	149	0	20	1	0	3	0	0	0	0	0	0
23796	41228	"Comerslade"	51.12028	-3.80472	24.5	"AWI"	24.5	1668.5	2357.5	1972.5	10	1	2	0	0	2	0	0	0	0	0	43	0	0	11	0	1	0	0	0	0	0	0	0	145	0	27	0	0	0	1	0	0	0	0	0
23796	41228	"Comerslade"	51.12028	-3.80472	32.5	"AWI"	32.5	2017.5	3352	2608.5	22	0	2	0	0	1	1	0	0	0	0	93	0	1	5	0	0	2	0	0	0	0	2	0	113	0	36	2	0	1	3	1	0	2	1	2
23796	41228	"Comerslade"	51.12028	-3.80472	37.5	"AWI"	37.5	2350	3587.5	3053	22	0	0	0	0	3	0	0	0	0	0	79	0	0	11	0	2	3	0	0	0	0	0	0	134	0	31	3	0	0	3	1	0	0	0	1
23796	41228	"Comerslade"	51.12028	-3.80472	38.5	"AWI"	38.5	2403	3652.5	3151	14	0	2	0	0	10	0	0	0	0	0	63	0	0	7	0	1	4	0	0	0	0	1	0	154	0	36	0	0	0	3	4	0	0	0	0
23796	41228	"Comerslade"	51.12028	-3.80472	39.5	"AWI"	39.5	2451.5	3734.5	3235	21	0	1	0	0	1	0	0	0	0	0	82	0	0	14	0	0	4	0	0	0	0	0	0	134	0	30	3	0	0	4	2	0	0	0	2
23796	41228	"Comerslade"	51.12028	-3.80472	40.5	"AWI"	40.5	2544.5	3787.5	3301.5	16	0	1	0	0	3	2	0	0	0	0	68	1	0	12	0	0	1	0	0	0	0	1	0	117	0	33	2	0	0	5	6	0	0	2	0
23796	41228	"Comerslade"	51.12028	-3.80472	41.5	"AWI"	41.5	2686	3800.5	3361.5	21	0	0	0	0	3	0	0	0	0	1	68	0	0	9	0	0	0	0	0	0	0	0	0	116	0	48	0	0	0	3	0	0	1	0	4
23796	41228	"Comerslade"	51.12028	-3.80472	42.5	"AWI"	42.5	2823.5	3812.5	3421.5	29	0	0	0	0	4	0	0	0	0	0	80	0	0	5	0	1	3	0	0	0	0	2	6	120	0	41	0	0	0	0	2	0	1	0	2
23796	41228	"Comerslade"	51.12028	-3.80472	43.5	"AWI"	43.5	2959	3827	3482	32	0	1	0	0	8	0	0	0	0	0	116	0	0	13	0	0	0	0	0	0	0	0	0	102	0	47	1	0	0	0	4	0	0	0	2
23796	41228	"Comerslade"	51.12028	-3.80472	44.5	"AWI"	44.5	3095	3845.5	3540.5	29	0	4	0	0	5	0	0	0	0	0	124	0	0	14	0	1	0	0	0	0	0	1	0	53	0	44	1	0	0	0	8	0	0	3	1
23796	41228	"Comerslade"	51.12028	-3.80472	45.5	"AWI"	45.5	3230.5	3862.5	3597.5	28	0	11	0	0	11	0	0	0	0	0	124	0	0	9	0	2	4	0	0	1	0	0	0	54	0	60	0	0	0	0	18	0	1	0	1
23796	41228	"Comerslade"	51.12028	-3.80472	46.5	"AWI"	46.5	3357.5	3883.5	3653.5	12	0	26	1	0	2	0	0	0	0	0	110	0	0	18	0	3	0	0	0	0	0	0	3	32	6	48	0	0	0	0	18	0	6	0	1
23796	41228	"Comerslade"	51.12028	-3.80472	47.5	"AWI"	47.5	3471	3915	3708	28	0	7	0	0	10	0	0	0	0	0	105	0	0	26	0	0	0	0	0	0	0	1	0	34	0	63	0	0	0	2	20	0	14	1	1
23796	41228	"Comerslade"	51.12028	-3.80472	48.5	"AWI"	48.5	3578.5	3949	3766	32	0	5	0	0	16	1	0	0	0	0	93	0	0	18	0	0	0	0	0	1	0	0	0	61	0	64	0	0	0	0	7	0	1	1	2
23796	41228	"Comerslade"	51.12028	-3.80472	49.5	"AWI"	49.5	3666	3997	3828.5	29	0	4	0	0	7	0	0	0	0	0	110	0	0	25	0	1	1	0	0	0	0	0	0	46	0	63	0	0	0	0	11	0	2	2	3
23796	41228	"Comerslade"	51.12028	-3.80472	50.5	"AWI"	50.5	3746.5	4076.5	3914	28	0	2	0	0	6	0	0	0	0	0	98	0	0	25	0	0	0	0	0	0	0	0	0	99	0	59	1	0	0	1	7	1	0	0	1
23796	41228	"Comerslade"	51.12028	-3.80472	51.5	"AWI"	51.5	3835.5	4214	4020	32	0	10	0	0	5	0	0	0	0	0	69	0	0	38	0	0	0	0	0	1	0	4	3	63	0	59	0	0	0	1	48	0	0	0	0
23796	41228	"Comerslade"	51.12028	-3.80472	52.5	"AWI"	52.5	3895	4405	4126	24	1	5	0	0	1	0	0	0	0	0	75	0	0	49	0	4	1	0	0	0	0	1	0	67	1	51	1	0	0	0	36	0	0	0	0
23796	41228	"Comerslade"	51.12028	-3.80472	53.5	"AWI"	53.5	3927	4613.5	4230	14	0	3	0	0	2	0	0	0	0	0	64	0	0	53	0	3	2	0	0	0	0	3	0	79	0	46	1	0	0	1	25	0	0	1	3
23796	41228	"Comerslade"	51.12028	-3.80472	54.5	"AWI"	54.5	3950.5	4828	4330	9	0	1	0	0	7	0	0	0	0	1	127	0	0	28	0	1	1	0	0	1	0	3	0	52	0	38	2	0	0	3	10	0	0	2	1
23796	41228	"Comerslade"	51.12028	-3.80472	55.5	"AWI"	55.5	3969.5	5042	4433.5	12	0	3	0	0	7	0	0	0	0	0	141	0	0	15	0	0	1	0	0	1	0	3	0	79	0	31	2	0	0	2	4	0	0	1	4
23796	41228	"Comerslade"	51.12028	-3.80472	56.5	"AWI"	56.5	3987.5	5257.5	4539	12	0	6	0	0	7	2	0	0	0	1	127	0	0	31	0	0	1	0	0	0	0	0	0	50	0	29	2	7	0	0	10	1	0	1	9
23796	41228	"Comerslade"	51.12028	-3.80472	57.5	"AWI"	57.5	4004.5	5478.5	4645	13	0	1	0	0	9	0	0	0	0	0	89	0	0	17	0	0	3	0	0	0	0	1	0	102	0	41	2	0	0	3	4	0	0	0	2
