"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16651	26425	"Lutzenberg"	47.46266	12.359188	0.1	"AWI"	0.1	7689.7	10296.4	9119.7	2	118	0	0	2	0	37	0	0	0	0	0	0	153	6	0	0	2	0	2	27	0	0	0	0	0	0	0	0	0	345	27	0	0	19	0	24	0	0	0	0	1	0	0	1	0	0	0	27	83	1
16651	26425	"Lutzenberg"	47.46266	12.359188	5	"AWI"	5	7887	10384	9257	4	70	0	0	0	0	19	0	0	0	0	0	0	40	6	0	0	2	0	1	28	0	0	0	0	0	0	0	0	0	565	24	0	0	5	0	40	0	0	0	0	2	0	0	0	0	1	0	11	57	0
16651	26425	"Lutzenberg"	47.46266	12.359188	10	"AWI"	10	8015	10500	9392	2	49	0	0	1	0	25	0	0	0	0	0	0	78	4	0	0	2	0	0	25	0	0	0	0	0	0	0	0	1	408	12	0	0	8	0	13	0	0	0	0	0	0	0	0	0	0	0	10	52	0
16651	26425	"Lutzenberg"	47.46266	12.359188	15	"AWI"	15	8215	10583	9531	3	53	0	0	0	0	29	0	0	0	0	0	0	50	47	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	458	22	0	0	15	0	28	0	0	0	2	0	0	0	0	0	0	1	8	70	2
16651	26425	"Lutzenberg"	47.46266	12.359188	20	"AWI"	20	8380	10690	9668	2	59	0	0	1	0	19	0	0	0	0	0	0	44	6	0	0	1	1	0	21	0	0	0	0	0	0	0	0	0	595	23	0	0	12	0	35	2	0	0	0	0	1	0	0	0	0	0	5	54	0
16651	26425	"Lutzenberg"	47.46266	12.359188	25	"AWI"	25	8584	10775	9790	3	71	0	0	0	0	28	0	0	0	0	0	0	150	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	540	36	0	0	10	0	20	0	0	0	0	0	2	0	0	0	0	1	18	120	0
16651	26425	"Lutzenberg"	47.46266	12.359188	30	"AWI"	30	8720	10891	9933	0	57	0	0	2	0	28	0	0	0	0	0	0	78	27	0	0	2	0	0	33	0	0	0	0	0	0	0	0	0	367	39	0	0	12	0	21	0	0	0	0	2	2	0	0	0	0	0	14	70	1
16651	26425	"Lutzenberg"	47.46266	12.359188	35	"AWI"	35	8928	10980	10058	1	55	0	0	1	0	35	0	0	0	0	1	0	159	12	0	0	1	1	0	34	0	0	0	0	0	0	0	0	0	224	35	0	0	5	0	19	0	0	0	0	1	2	0	0	0	0	1	16	84	3
16651	26425	"Lutzenberg"	47.46266	12.359188	40	"AWI"	40	9083	11108	10189	1	69	0	0	4	0	27	0	0	0	0	0	0	133	10	0	0	4	0	1	33	0	0	0	0	0	0	0	0	0	357	34	0	0	24	0	31	0	0	0	0	0	2	0	0	0	1	0	27	92	1
16651	26425	"Lutzenberg"	47.46266	12.359188	45	"AWI"	45	9306	11179	10323	2	40	0	0	0	0	46	0	0	0	0	1	0	159	46	0	0	1	0	1	25	0	0	0	0	0	0	0	0	0	233	38	0	0	60	0	39	0	0	0	0	0	1	1	0	0	0	2	21	60	2
