"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	0	"AWI"	0	-75	95	2	0	0	0	0	9	0	3	0	4	3	0	0	0	0	4	0	3	0	303	0	0	0	0	0	12	0	2	0	0	2	0	0	0	0	59	0	0	0	0	1	0	6	0	0	0	12	1	0	0	0	3	0	0	1	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	20	"AWI"	20	77	1989	755	5	0	18	0	5	0	25	13	7	1	0	1	0	0	8	0	1	0	176	0	0	0	3	0	1	0	7	7	0	4	0	0	0	0	64	104	0	0	1	0	0	8	0	0	2	24	0	0	0	0	0	0	0	3	1
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	40	"AWI"	40	563	3059	1563	2	2	167	4	2	0	25	0	26	0	0	0	0	0	1	0	33	0	169	0	0	0	3	1	0	1	0	0	0	7	0	0	0	0	196	138	0	0	0	0	1	22	0	0	0	7	2	0	0	0	1	0	5	1	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	50	"AWI"	50	784	3272	2049	5	0	43	0	7	0	4	0	21	0	0	1	0	0	0	0	7	0	110	0	0	0	2	0	0	0	0	15	0	4	0	0	0	0	69	83	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	60	"AWI"	60	1035	3573	2485	10	0	37	1	3	0	14	0	12	0	0	0	0	0	0	0	3	0	122	1	0	0	2	2	0	0	0	0	0	7	0	1	0	0	122	155	0	0	0	0	0	15	0	0	0	12	2	0	0	0	0	0	0	2	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	70	"AWI"	70	1938	3646	2899	9	0	27	0	2	0	1	0	14	0	0	1	0	0	0	0	5	0	234	0	0	0	2	0	0	0	1	5	0	7	0	0	0	0	57	91	0	0	0	0	0	7	0	0	0	5	0	18	0	0	0	0	1	1	4
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	80	"AWI"	80	2778	3762	3325	9	1	24	0	2	0	0	0	9	0	0	0	0	0	2	0	3	0	163	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	185	210	0	0	0	0	0	10	0	0	0	4	1	0	0	0	1	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	90	"AWI"	90	3323	3973	3695	10	1	60	1	1	0	3	0	14	1	0	0	0	0	0	0	11	0	236	0	0	0	3	0	0	0	0	5	0	8	0	0	0	0	79	151	0	0	0	0	0	11	0	0	0	1	3	0	0	0	0	0	4	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	100	"AWI"	100	3429	4053	3785	21	2	53	0	0	0	1	0	16	0	3	0	0	0	1	0	3	0	139	0	0	0	2	0	0	0	0	1	0	10	0	0	0	0	151	235	0	0	0	0	0	11	0	0	0	4	1	0	0	0	1	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	110	"AWI"	110	3507	4187	3873	10	3	98	0	10	0	3	0	39	3	0	1	0	0	0	0	11	0	136	0	0	0	1	0	0	0	0	5	0	10	0	0	0	1	50	171	0	0	0	0	0	4	0	0	0	8	8	0	0	0	3	0	1	0	1
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	120	"AWI"	120	3582	4339	3954	16	0	31	0	0	0	1	0	7	0	0	0	0	0	0	0	3	0	30	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	46	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	130	"AWI"	130	3678	4391	4037	8	1	23	0	0	0	1	0	20	0	0	1	0	0	0	0	1	0	140	0	0	0	1	0	0	0	0	4	0	4	0	0	0	0	38	0	0	0	0	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	140	"AWI"	140	3752	4476	4122	37	2	29	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	74	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	48	114	0	0	0	0	0	4	0	0	0	23	1	0	0	0	1	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	150	"AWI"	150	3843	4575	4201	15	2	109	0	7	0	1	0	19	0	0	0	0	0	0	0	8	1	76	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	17	225	0	0	0	0	0	9	0	0	1	4	2	0	0	0	1	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	160	"AWI"	160	3978	4632	4273	41	0	41	0	11	0	3	0	22	0	0	0	0	0	1	0	4	0	229	0	0	0	1	0	1	0	0	0	0	8	0	0	0	0	40	262	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	2	0	0
15805	24300	"Greicheralp Riederalp"	46.37972	8.03028	170	"AWI"	170	4070	4703	4353	14	0	22	0	0	0	2	0	11	1	0	1	0	0	0	0	6	2	166	0	0	0	2	0	1	0	0	3	0	3	0	0	0	0	25	121	0	0	0	0	0	2	0	0	0	4	1	2	0	0	0	0	0	0	1
