"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Nyssa"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14634	22953	"Ispani 2"	41.860556	41.79985	10	"AWI"	10	-131	39	-39	4	0	496	11	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	27	0	0	0	0	0	53	0	1	0	0	1	1	1	0	0	0	0	0	0	85	15.5	104	0	5	0	0	0	0	1	17	0	0	2	0	1	0	0	0	1	0	10	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	20	"AWI"	20	-115	97	-17	7.5	0	1223	14	0	28	0	0	0	1	0	0	0	0	0	5	0	0	0	54	3	1	0	0	0	109	0	8	1	0	0	1	0	0	0	0	0	0	0	102	13.5	97.5	0	4	0	0	3	0	1	30	0	0	0	0	0	0	0	0	1	0	12	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	31	"AWI"	31	-103	167	8	9.5	0	1245	22	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	34	2	0	1	0	0	87	0	4	0	0	0	1	1	0	0	0	0	0	0	123	21	70	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	16	1	0	1
14634	22953	"Ispani 2"	41.860556	41.79985	40	"AWI"	40	-82	182	33	0.5	0	1138	7	0	11	0	0	0	0	0	0	0	0	0	1	0	0	0	46	2	1	0	0	0	134	0	24	0	0	0	0	1	0	0	0	0	0	0	120	15.5	0	0	0	0	0	0	0	1	36	0	0	1	0	0	0	0	0	0	0	18	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	51	"AWI"	51	-64	214	62	1	0	585	4	0	3	0	0	0	2	0	0	0	0	0	2	0	0	0	37	0	0	0	0	0	118	0	3	0	0	0	3	0	0	0	0	0	0	0	0	6.5	0	0	2	0	0	0	0	1	23	0	0	2	0	0	0	0	0	0	0	9	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	60	"AWI"	60	-52	257	83	0	0	1043	5	0	5	0	0	0	0	0	0	0	0	0	2	1	0	0	52	2	1	0	0	0	151	0	4	0	0	2	4	1	0	0	0	0	0	0	124	0	33.5	0	0	0	0	0	0	0	46	0	0	1	0	1	0	0	1	0	0	16	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	73	"AWI"	73	-18	279	116	1	0	936	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	47	2	0	0	0	0	84	0	7	0	0	1	3	3	0	0	0	0	0	0	70	1	0	0	0	0	0	0	0	0	36	0	0	1	0	1	0	0	0	0	0	12	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	80	"AWI"	80	-7	294	134	1	0	1130	8	0	9	0	0	0	1	0	0	0	0	0	1	0	0	0	60	0	1	0	0	0	103	0	20	0	0	2	2	0	0	0	0	0	0	0	76	4	24.5	0	1	0	0	0	0	1	42	0	0	0	0	1	0	0	1	1	1	13	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	90	"AWI"	90	8	330	159	0	0	1039	6	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	64	1	0	0	0	0	180	0	14	0	0	0	1	1	0	0	0	0	0	0	167	4.5	48.5	0	0	0	0	0	0	0	47	0	0	1	0	1	0	0	0	0	0	20	0	0	0
14634	22953	"Ispani 2"	41.860556	41.79985	98	"AWI"	98	38	343	181	1	0	828	5	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	42	0	0	0	0	0	100	0	9	1	0	0	2	0	0	0	0	0	0	0	151	2	0	0	1	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	14	0	0	0
