"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Colchicaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Melanthiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	871	"AWI"	871	6273	6691	6507	20	0	0	11	0	0	0	34	0	0	98	0	0	0	0	3	0	0	0	4	1	0	29	0	0	6	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	43	0	0	0	0	0	1	0	0	0	1	0	0	6	2	2	9	1	1	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	872	"AWI"	872	6280	6697	6513	23	1	0	12	1	0	0	30	0	0	65	0	0	0	0	1	0	0	0	0	0	0	38	0	1	6	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	47	0	0	0	0	1	28	0	0	0	3	0	2	0	0	0	2	0	0	2	0	4	12	0	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	873	"AWI"	873	6289	6702	6519	41	0	77	12	0	0	0	55	0	0	109	0	0	0	0	1	0	0	0	0	0	0	43	1	0	25	0	0	0	0	0	0	24	0	0	0	0	2	0	0	0	14	0	1	0	0	0	0	0	0	0	1	0	0	0	0	75	0	0	1	0	0	44	0	0	0	0	0	2	0	0	0	3	0	0	15	1	3	14	0	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	874	"AWI"	874	6295	6707	6525	22	1	0	6	0	0	0	46	0	0	54	0	0	0	0	2	0	0	0	1	0	0	47	0	0	13	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	3	0	0	0	0	52	0	0	0	0	0	30	0	0	0	1	0	1	1	0	0	0	0	0	5	1	3	10	1	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	875	"AWI"	875	6305	6713	6532	51	1	0	8	0	0	0	39	0	0	107	0	0	0	0	0	0	0	0	0	0	0	49	0	0	8	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	33	0	0	0	3	0	5	0	0	0	2	0	0	5	0	1	16	0	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	876	"AWI"	876	6311	6718	6538	48	0	93	11	0	0	0	51	0	0	115	0	0	0	0	1	0	0	0	1	0	0	64	0	1	4	0	0	0	0	0	0	14	0	0	0	0	5	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	55	0	1	0	0	0	4	0	0	0	1	0	0	10	1	1	24	2	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	877	"AWI"	877	6325	6720	6546	38	0	0	11	0	0	0	41	0	0	109	0	0	0	0	1	0	0	0	0	0	0	63	1	0	5	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	45	0	0	0	0	0	1	0	0	0	0	0	0	7	3	3	24	0	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	878	"AWI"	878	6341	6722	6553	51	0	0	9	0	0	1	27	0	0	70	0	0	0	0	0	0	0	0	0	0	0	36	0	0	4	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	3	0	0	7	0	7	17	1	2	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	879	"AWI"	879	6357	6726	6559	38	0	0	6	0	0	0	26	0	0	91	0	1	0	0	1	0	0	0	0	0	0	59	0	1	7	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	12	0	0	1	0	0	0	0	50	0	0	0	0	0	31	0	0	0	0	0	1	0	0	0	1	0	0	5	1	2	21	0	0	0	0
23402	46653	"Lac du Mont d'Orge Sion"	46.23376	7.33926	880	"AWI"	880	6373	6730	6566	38	3	0	18	0	0	1	40	0	0	78	0	3	0	0	1	0	0	0	0	0	0	77	1	0	4	2	0	0	0	0	0	9	0	0	0	0	6	0	0	0	8	0	2	0	0	0	0	0	0	0	1	0	0	0	0	83	0	0	0	0	0	47	0	0	0	4	0	1	1	0	0	0	0	0	12	1	3	14	2	1	0	0
