"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16167	25400	"Lake of Annecy"	45.85667	6.17222	45	"AWI"	45	-59	280	74	1	0	64	2	2	0	1	0	22	0	0	4	17	0	33	1	2	2	1	1	12	0	7	2	0	27	1	2	0	11	2	2	4	12	27	1	0	33	3	0	2	7	1	0	0	2	2	4	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	48	"AWI"	48	-55	297	84	0	0	27	0	4	0	1	0	8	0	1	2	44	0	15	0	4	0	0	2	7	0	8	2	1	26	9	0	0	6	0	0	8	9	49	1	0	30	1	0	2	12	6	0	0	0	5	7	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	70	"AWI"	70	-7	400	159	0	1	56	0	0	0	0	0	6	0	0	3	42	0	38	0	6	2	0	0	4	1	6	0	0	20	10	0	0	2	0	0	2	10	27	0	0	72	6	0	2	0	0	0	0	2	0	10	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	97	"AWI"	97	53	517	249	0	0	14	0	2	0	0	0	7	0	0	3	5	0	18	1	0	0	0	0	5	0	6	0	0	41	42	0	0	0	1	3	12	7	66	0	2	28	0	0	0	7	6	0	0	0	4	14	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	122	"AWI"	122	116	609	331	2	0	15	1	4	0	2	0	5	0	2	0	8	0	24	1	2	0	0	0	1	1	1	0	0	41	41	1	0	2	1	5	15	7	55	1	0	25	4	0	2	4	7	0	0	1	0	25	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	145	"AWI"	145	170	697	410	2	0	7	0	2	0	0	0	2	0	0	0	1	0	27	0	2	0	0	0	3	0	0	0	0	136	3	0	0	0	0	6	42	3	21	0	0	1	4	0	1	1	0	0	0	1	1	22	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	170	"AWI"	170	232	787	497	0	0	30	2	1	0	0	0	7	0	0	2	0	0	101	0	2	0	0	1	4	0	5	0	0	76	4	0	0	2	1	3	10	4	26	0	0	6	1	0	0	5	0	0	0	0	0	19	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	195	"AWI"	195	311	866	583	1	0	26	0	0	0	0	0	9	0	1	1	0	0	76	0	6	0	0	0	2	0	21	0	0	99	0	0	0	0	0	7	16	5	25	0	0	19	2	0	1	6	0	0	0	1	0	12	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	220	"AWI"	220	388	944	665	1	0	26	1	4	0	0	0	24	0	0	0	0	1	124	0	10	0	0	3	3	0	5	2	0	53	1	1	0	0	0	2	28	2	21	0	0	11	0	0	3	0	0	0	0	0	2	7	0
16167	25400	"Lake of Annecy"	45.85667	6.17222	245	"AWI"	245	467	1018	749	0	1	24	1	2	0	2	0	11	0	0	0	1	0	129	0	3	1	0	2	4	0	8	0	0	52	3	0	0	0	0	0	16	7	0	0	0	4	1	0	2	4	0	0	0	0	0	11	0
