"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	0	"AWI"	0	-121	41	-40	1	0	48	2	0	0	0	1	0	0	0	0	1	0	1	18	0	0	7	0	0	0	8	5	1	1	0	0	65	35	0	0	2	0	8	0	1	0	0	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	10	"AWI"	10	77	546	347	0	0	98	3	0	0	0	1	0	0	0	0	0	0	1	11	0	0	10	0	3	0	4	6	0	2	0	0	55	44	0	0	0	2	4	0	0	0	0	0	1
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	20	"AWI"	20	207	1107	734	0	0	101	3	0	1	1	0	0	0	1	0	1	0	0	11	0	0	14	0	1	0	0	22	0	0	0	0	67	52	0	0	1	0	2	0	0	0	1	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	30	"AWI"	30	331	1675	1120	1	0	157	0	0	0	1	1	0	0	0	0	0	0	0	18	0	0	40	0	2	0	0	25	0	1	1	0	21	80	0	1	0	1	0	0	0	0	2	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	50	"AWI"	50	580	2819	1889	0	1	93	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	20	0	3	1	2	28	0	0	0	0	0	94	0	0	0	0	1	0	0	0	5	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	70	"AWI"	70	825	3961	2656	0	0	36	0	0	0	0	0	0	0	4	3	0	0	5	3	0	0	47	0	1	1	0	32	0	0	0	2	0	108	0	0	0	0	0	0	0	0	1	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	100	"AWI"	100	1984	4945	3673	4	0	45	1	0	1	1	2	0	0	0	0	1	0	24	3	0	0	17	4	3	0	0	55	0	3	0	0	0	41	0	0	1	1	0	0	0	0	1	0	0
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	110	"AWI"	110	2591	5031	3962	23	1	34	1	0	1	1	1	0	0	2	0	0	0	44	2	0	0	20	0	1	0	0	50	0	2	0	0	0	34	1	0	0	2	0	0	0	0	3	0	1
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	130	"AWI"	130	3765	5267	4529	31	0	32	2	0	0	0	0	0	1	0	0	0	1	21	1	0	0	15	7	1	0	2	68	0	1	0	0	31	53	0	0	0	0	0	3	0	1	2	0	1
3295	4275	"Lago Grande di Monticchio"	40.93049	15.604298	150	"AWI"	150	4444	5790	5137	39	3	64	0	0	1	4	0	0	1	0	0	0	0	8	1	0	0	6	7	6	0	0	38	0	1	0	0	0	68	0	0	1	0	0	5	0	2	4	1	2
