"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3513	4539	"Ylimysneva"	62.13333	22.86667	0.5	"AWI"	0.5	-137.5	31.5	-45	0	46	4	0	5	0	0	278	0	0	0	0	1	0	0	0	0	47	0	10	0	0	1	0	0	0	0	0	14	222	0	25	1	0	0	0	0	1	10	4	0	0	0	0	1
3513	4539	"Ylimysneva"	62.13333	22.86667	5	"AWI"	5	-109	92	-6	0	12	0	0	0	0	0	94	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	2	0	0	0	0	74	393	0	25	0	0	1	4	0	0	4	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	10	"AWI"	10	-84	185	34	0	21	0	0	4	0	1	318	0	0	0	0	0	0	0	0	0	13	0	11	0	0	0	0	0	1	0	0	17	171	0	37	1	0	0	1	0	0	23	0	0	0	0	0	3
3513	4539	"Ylimysneva"	62.13333	22.86667	15	"AWI"	15	-67	294	71	0	49	3	0	1	0	0	155	1	0	0	0	1	0	0	0	0	23	0	13	0	0	0	1	0	0	0	0	61	318	0	32	0	1	0	0	0	0	16	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	20	"AWI"	20	-31	349	117	0	59	1	0	0	0	0	176	1	0	1	0	0	0	0	0	0	7	0	34	0	0	0	2	0	0	0	0	27	270	0	20	0	0	0	4	0	0	12	4	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	25	"AWI"	25	-4	383	167	0	26	2	0	1	0	1	162	4	0	1	0	1	0	0	0	0	17	0	20	0	0	0	1	0	0	0	0	31	300	0	35	0	0	0	0	0	0	9	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	30	"AWI"	30	15	443	216	0	37	3	1	6	0	0	210	0	0	2	0	0	0	0	0	0	13	0	13	0	0	0	3	0	0	0	0	9	298	0	28	0	0	0	1	0	1	16	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	35	"AWI"	35	55	503	267	0	29	1	0	5	0	0	159	2	0	0	0	0	0	0	0	2	19	0	26	0	0	0	3	0	0	0	0	28	315	0	18	0	0	0	2	0	0	8	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	40	"AWI"	40	120	550	335	0	16	0	0	1	0	0	129	0	0	1	0	0	0	0	0	0	34	0	8	0	0	0	2	0	0	0	0	12	379	0	28	0	0	0	1	0	0	6	1	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	45	"AWI"	45	161	620	401	0	14	0	0	1	0	0	329	2	0	0	0	0	0	0	0	0	46	0	5	0	1	0	0	0	0	0	0	17	233	0	11	0	2	0	0	0	0	1	0	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	50	"AWI"	50	188	716	455	0	61	0	0	4	0	0	275	0	0	0	0	0	0	0	0	2	16	0	11	0	0	0	2	0	0	0	0	7	278	0	15	0	1	0	1	0	0	0	3	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	55	"AWI"	55	333	1113	675	0	25	0	0	2	0	0	184	0	0	0	0	0	0	0	0	2	9	0	8	0	0	1	0	0	0	0	0	16	373	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0
3513	4539	"Ylimysneva"	62.13333	22.86667	60	"AWI"	60	401	1669	892	0	26	0	0	0	0	0	233	0	0	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	0	1	11	251	0	7	0	0	1	0	0	0	1	2	0	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	65	"AWI"	65	446	2231	1108	0	30	0	0	0	0	0	227	1	0	0	0	0	0	0	0	1	46	0	0	0	0	3	1	0	2	0	0	35	257	0	0	0	0	1	1	0	0	0	4	0	0	1	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	70	"AWI"	70	625	2515	1355	0	17	0	0	1	0	0	149	0	0	0	1	0	0	0	0	4	19	0	4	0	0	0	0	0	0	1	0	10	370	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0
3513	4539	"Ylimysneva"	62.13333	22.86667	75	"AWI"	75	754	2690	1634	0	29	0	0	0	0	0	195	0	0	0	1	0	0	0	0	6	11	0	0	0	0	2	2	0	0	0	0	30	285	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0
3513	4539	"Ylimysneva"	62.13333	22.86667	80	"AWI"	80	851	2962	1902	0	56	0	0	1	0	0	175	0	0	0	0	2	0	0	0	3	14	0	8	0	0	1	2	0	0	0	0	25	263	0	0	0	0	6	5	0	1	0	2	0	0	0	4	0
3513	4539	"Ylimysneva"	62.13333	22.86667	85	"AWI"	85	1062	3273	2148	0	45	0	0	0	0	0	270	1	0	0	0	0	0	0	0	1	18	0	0	0	0	3	0	0	2	0	0	32	335	0	0	0	0	4	2	0	1	0	2	1	0	0	0	0
3513	4539	"Ylimysneva"	62.13333	22.86667	90	"AWI"	90	1397	3371	2407	0	49	0	0	3	0	1	171	0	0	0	0	0	0	0	0	1	2	0	6	0	0	0	0	0	0	0	0	13	307	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0
3513	4539	"Ylimysneva"	62.13333	22.86667	95	"AWI"	95	1600	3502	2693	0	37	0	0	1	0	0	182	0	0	0	0	0	0	0	0	2	7	0	18	0	0	0	0	0	0	0	1	35	299	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0
3513	4539	"Ylimysneva"	62.13333	22.86667	100	"AWI"	100	1758	3732	2964	0	54	0	0	2	0	0	229	0	0	0	0	0	0	0	0	1	4	0	8	0	0	0	0	0	0	0	0	27	266	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
