"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	5	"AWI"	5	-105	115	2	73	2	0	3	1	0	0	0	0	10	0	0	0	2	0	0	5	0	0	0	11	0	75	0	0	1	0	0	39	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	7	67	0	0	0	27	1	4	0	0	2	9	3	0	0	0	0	4	0	13	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	10	"AWI"	10	-80	251	48	105	2	0	0	5	0	1	11	0	8	0	2	3	0	0	2	5	0	0	0	16	0	70	0	0	0	1	0	55	0	0	0	0	0	0	0	11	2	1	0	2	0	1	0	0	0	19	61	0	0	0	21	0	13	0	0	1	11	2	0	0	1	1	1	0	29	0	1
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	15	"AWI"	15	-31	297	109	119	0	0	0	3	0	3	0	0	5	0	2	2	1	0	3	2	0	0	0	33	0	85	1	0	3	0	0	59	0	0	1	0	0	0	0	21	2	1	0	0	0	0	3	0	0	19	63	0	0	0	29	0	8	0	0	1	11	2	0	0	0	0	2	2	24	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	20	"AWI"	20	-6	378	166	48	5	0	1	5	0	2	30	0	8	0	1	1	1	0	1	1	0	0	0	27	0	139	1	0	1	0	0	56	0	0	0	3	0	0	0	31	1	1	0	2	0	1	1	26	0	25	153	0	0	0	36	1	12	0	0	6	7	0	0	0	0	0	2	0	2	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	25	"AWI"	25	56	417	231	63	1	0	1	1	0	1	4	0	5	0	4	1	0	0	0	3	0	0	1	37	0	122	0	0	1	0	0	54	0	0	0	0	0	0	0	24	2	0	0	3	0	0	1	0	0	13	67	0	0	0	35	1	8	0	0	1	2	0	0	0	0	0	2	7	2	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	30	"AWI"	30	86	482	292	115	0	0	2	0	0	7	0	0	8	0	0	2	0	0	3	2	0	0	0	48	1	103	0	0	6	0	0	75	0	1	0	0	0	0	0	25	6	0	0	0	0	0	0	0	0	16	66	0	0	0	36	1	11	0	0	5	6	3	0	0	0	0	0	1	1	0	2
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	35	"AWI"	35	164	515	352	130	4	0	1	4	0	3	0	0	12	0	0	3	1	0	1	3	0	0	0	36	1	109	0	0	2	0	0	72	1	0	0	0	0	0	0	27	1	1	0	0	0	0	1	0	0	16	68	0	0	0	54	0	14	0	0	5	2	3	0	0	0	0	1	1	6	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	40	"AWI"	40	205	580	414	89	2	0	0	1	0	0	0	0	12	0	1	0	0	0	2	0	0	0	0	24	0	43	1	0	1	0	0	78	0	0	0	0	0	0	0	9	1	0	0	0	0	0	1	0	0	4	26	0	0	0	12	1	2	0	0	1	1	1	0	0	0	0	1	3	1	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	45	"AWI"	45	326	609	476	97	2	0	0	2	0	2	7	0	8	0	0	0	0	0	5	0	0	0	0	36	0	76	0	0	5	0	0	64	0	1	0	1	0	0	0	19	1	2	0	0	0	0	0	0	0	11	70	0	0	0	40	0	2	0	0	1	5	0	0	0	0	0	2	1	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	50	"AWI"	50	379	691	541	80	3	0	0	2	0	2	0	1	8	0	1	0	1	0	0	0	0	0	0	7	0	19	0	0	0	0	0	74	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	20	1	2	0	0	1	1	1	0	0	0	0	2	2	2	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	55	"AWI"	55	492	938	677	59	6	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	13	0	0	0	0	0	76	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	60	"AWI"	60	531	1285	801	97	1	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	13	0	0	1	0	0	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	6	0	0	0	0	2	3	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	70	"AWI"	70	701	1579	1127	253	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	23	0	16	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	1
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	75	"AWI"	75	885	1646	1278	160	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	9	0	0	2	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	80	"AWI"	80	980	1776	1436	119	6	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	34	0	4	0	0	1	0	0	101	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	1	0	0	0	0	0	0	0	0	0	2	3	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	85	"AWI"	85	1290	1827	1566	101	3	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	29	0	12	0	0	1	0	0	41	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	0	0	0	0	2	6	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	90	"AWI"	90	1494	1938	1713	143	1	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	13	0	6	0	0	1	0	0	21	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1	1	0	0	0	0	3	0	0	0	0	1	9	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	95	"AWI"	95	1648	2249	1893	128	3	0	0	0	1	4	0	0	12	0	1	0	1	0	0	0	0	0	0	21	0	10	0	0	1	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6	2	0	0	0	1	0	0	0	0	0	8	15	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	100	"AWI"	100	1697	2795	2048	157	1	0	0	7	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	21	0	19	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	2	0	0	0	0	5	11	0	0	1
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	105	"AWI"	105	1815	3057	2260	249	1	0	1	3	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	0	58	0	0	0	0	0	8	1	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	110	"AWI"	110	1886	3462	2451	284	2	0	0	1	0	1	0	0	65	0	0	0	1	0	0	0	0	0	0	44	0	12	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	8	21	0	0	1
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	115	"AWI"	115	2037	3744	2684	462	1	0	0	8	2	3	0	0	14	0	0	0	1	0	0	0	0	0	0	54	0	49	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	1	0	0	0	0	0	2	0	0	0	0	10	20	0	2	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	120	"AWI"	120	2131	4168	2894	277	1	0	0	5	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	30	0	34	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	32	1	1	0	0	0	0	0	0	0	0	0	8	26	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	125	"AWI"	125	2218	4694	3096	368	0	0	0	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	0	31	0	0	1	0	0	2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	130	"AWI"	130	6629	8201	7639	294	0	0	1	8	2	2	0	0	13	0	0	0	0	0	0	0	0	0	0	66	0	28	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	37	0	0	0	0	1	0	1	0	0	0	0	15	33	0	0	0
16376	25472	"Tourbière de Mont Sec"	45.06889	5.80667	140	"AWI"	140	7396	8387	8036	292	2	0	0	3	3	0	0	0	48	0	0	0	0	0	1	0	0	0	0	73	0	24	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	33	0	0	1	0	0	2	1	1	0	1	0	12	41	0	0	0
