"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	2.5	"AWI"	2.5	-88	206.5	30	3.93258426966292	0	3.74531835205993	0.936329588014981	0	1.68539325842697	0	10.1123595505618	0	0	0	0	0	0	5.2434456928839	2.80898876404494	0	0	0	3.74531835205993	0	0.187265917602996	0	0	0	0	0	0	0	7.11610486891386	55.8052434456929	0	0	0	2.43445692883895	0	0	0	0	0	0.187265917602996	0	0	0	0	1.49812734082397	0.561797752808989	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	5	"AWI"	5	-61	439	114	0	0	1.70454545454545	0.340909090909091	0	0.568181818181818	0	11.8181818181818	0	0.568181818181818	0	1.36363636363636	0	0	1.59090909090909	25.2272727272727	0	0	0	2.04545454545455	0	0.113636363636364	0	0	0	0	0	0	0.227272727272727	2.27272727272727	46.9318181818182	0	0	0	3.75	0	0	0	0	0	0.568181818181818	0	0	0	0	0.227272727272727	0.113636363636364	0.568181818181818	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	7.5	"AWI"	7.5	-45.5	684	197	2.99065420560748	0	2.61682242990654	0.373831775700935	0	0.560747663551402	0	14.5794392523364	0	0	0	1.1214953271028	0	0	4.48598130841121	2.99065420560748	0	0	0	3.73831775700935	0	0.186915887850467	0	0	0	0.186915887850467	0	0	0.186915887850467	8.97196261682243	51.9626168224299	0	0	0	1.30841121495327	0	0	0.186915887850467	0	0	0	0.186915887850467	0	0	0.186915887850467	1.86915887850467	0.747663551401869	0.560747663551402	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	10	"AWI"	10	-32	927	281	0.725952813067151	0.181488203266788	3.62976406533575	1.4519056261343	0	0.362976406533575	0	12.7041742286751	0	0.181488203266788	0	1.08892921960073	0	0	1.08892921960073	0.544464609800363	0	0	0	0.181488203266788	0	0	0.181488203266788	0.181488203266788	0	0	0	0	0.362976406533575	1.81488203266788	71.3248638838475	0	0	0	2.54083484573503	0	0	0	0	0	0.362976406533575	0	0	0	0	0.362976406533575	0.544464609800363	0.181488203266788	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	12.5	"AWI"	12.5	49	980.5	391.5	0.986193293885602	0.19723865877712	1.77514792899408	0.394477317554241	0	0	0	5.71992110453649	0.19723865877712	0	0	0.19723865877712	0.19723865877712	0	0.19723865877712	3.55029585798817	8.48126232741617	0	0	1.18343195266272	0.19723865877712	0	0	0	0	0	0	0	0.591715976331361	5.52268244575937	67.6528599605523	0	0	0	1.18343195266272	0	0	0.19723865877712	0	0	0	0	0	0.19723865877712	0	0.394477317554241	0.986193293885602	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	15	"AWI"	15	105	1034	511	1.8957345971564	0.157977883096367	3.00157977883096	0.947867298578199	0	0	0	8.68878357030016	0	10.2685624012638	0	0.157977883096367	0.315955766192733	0	0.789889415481832	8.84676145339652	0	0	0	2.3696682464455	0	0.315955766192733	0	0.4739336492891	0	0	0	0	0.157977883096367	9.00473933649289	43.9178515007899	0	0	0	4.10742496050553	0	0	0.157977883096367	0	0	2.3696682464455	0	0	0	0	0.947867298578199	0.947867298578199	0.157977883096367	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	17.5	"AWI"	17.5	145.5	1118	618	1.4792899408284	0.14792899408284	1.92307692307692	0.29585798816568	0	0	0	5.62130177514793	0	0.591715976331361	0	0	0.14792899408284	0	1.03550295857988	31.9526627218935	0	0	0	1.4792899408284	0.14792899408284	0.29585798816568	0	0	0.14792899408284	0	0	0	0	10.5029585798817	40.8284023668639	0	0	0	1.18343195266272	0	0	0.14792899408284	0	0	0.591715976331361	0	0	0	0.14792899408284	0.29585798816568	0.887573964497041	0.14792899408284	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	20	"AWI"	20	189	1255	723	7.77934936350778	0.141442715700141	7.63790664780764	0.424328147100424	0.565770862800566	0.141442715700141	0	22.7722772277228	0	0.565770862800566	0	0.141442715700141	0	0.141442715700141	10.1838755304102	2.26308345120226	8.48656294200849	0	0	16.2659123055163	0	0.424328147100424	0	0	0	0	0	0	1.13154172560113	1.83875530410184	10.6082036775106	0	0	0	5.23338048090523	0	0	0.141442715700141	0	0	0.282885431400283	0.141442715700141	0	0.141442715700141	0	1.98019801980198	0.565770862800566	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	22.5	"AWI"	22.5	313	1287.5	826.5	7.9136690647482	0.179856115107914	6.83453237410072	0	0	0.359712230215827	0	13.8489208633094	0	0.179856115107914	0	0	0	0	4.85611510791367	2.87769784172662	5.93525179856115	0	0	8.81294964028777	0	0.539568345323741	0	0	0	0	0	0	1.61870503597122	7.19424460431655	34.1726618705036	0	0	0	2.69784172661871	0	0	0	0	0	0.179856115107914	0	0	0	0	0.719424460431655	0.719424460431655	0.359712230215827	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	25	"AWI"	25	399	1330	936	6.80173661360347	0.144717800289436	5.78871201157742	0.434153400868307	0	0.868306801736614	0	21.7076700434153	0	0.434153400868307	0.289435600578871	0.434153400868307	0.144717800289436	0	5.35455861070912	2.17076700434153	9.26193921852388	0	0	7.81476121562952	0	0.144717800289436	0	0	0	0.144717800289436	0	0	1.59189580318379	2.60492040520984	28.5094066570188	0	0	0	3.61794500723589	0	0	0	0	0	0	0	0	0	0	1.44717800289436	0.289435600578871	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	27.5	"AWI"	27.5	470.5	1388	1047	13.2404181184669	0.174216027874564	4.18118466898955	0	0	0.522648083623693	0	16.5505226480836	0	0	0	0.348432055749129	0	0	6.09756097560976	0.871080139372822	10.6271777003484	0	0	11.3240418118467	0	0.522648083623693	0	0	0	0	0	0	0.871080139372822	5.05226480836237	25.0871080139373	0	0	0	2.78745644599303	0	0	0	0	0	0.522648083623693	0	0	0	0	0.871080139372822	0.348432055749129	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	30	"AWI"	30	531	1480	1161	3.58514724711908	0	7.81049935979513	0.640204865556978	0	0.768245838668374	0	26.2483994878361	0	0.89628681177977	0	0	0.512163892445583	0	5.12163892445583	1.40845070422535	12.1638924455826	0	0	16.7733674775928	0	0.384122919334187	0.384122919334187	0	0	0	0	0	5.24967989756722	0	8.19462227912932	0	0	0	7.29833546734955	0	0	0	0	0.128040973111396	0	0	0	0.128040973111396	0	1.92061459667093	0.384122919334187	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	32.5	"AWI"	32.5	887	1520.5	1279.5	28.5714285714286	0	3.31010452961672	0	0	0.348432055749129	0	13.0662020905923	0	0	0	0	0	0	4.18118466898955	0.871080139372822	7.14285714285714	0	0	8.71080139372822	0	0.174216027874564	0	0	0	0	0	0	1.04529616724739	5.57491289198606	21.7770034843206	0	0	0	2.4390243902439	0	0	0	0	0	0.174216027874564	0	0	0	0	1.74216027874564	0.871080139372822	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	35	"AWI"	35	1156	1589	1401	5.96546310832025	0.156985871271586	5.33751962323391	0.313971742543171	0	0.784929356357928	0	26.6875981161695	0	0	0	0	0.156985871271586	0	5.49450549450549	3.61067503924647	4.23861852433281	0	0	12.7158555729984	0	0.313971742543171	0.313971742543171	0	0	0	0	0.313971742543171	2.1978021978022	2.98273155416013	19.7802197802198	0	0	0	6.90737833594976	0	0	0	0	0	0	0	0	0	0	0.627943485086342	1.0989010989011	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	37.5	"AWI"	37.5	1276.5	1770	1536.5	8.99280575539568	0	7.9136690647482	0.179856115107914	0	0.179856115107914	0	12.2302158273381	0	0	0	0.179856115107914	0	0	7.9136690647482	0.179856115107914	8.45323741007194	0	0	7.9136690647482	0	0.359712230215827	0	0	0	0	0	0	1.61870503597122	5.2158273381295	32.7338129496403	0	0	0	4.49640287769784	0	0	0	0	0	0.179856115107914	0	0	0	0	0.539568345323741	0.719424460431655	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	40	"AWI"	40	1343	2097	1647	1.80288461538462	0.120192307692308	6.85096153846154	0.240384615384615	0	0.480769230769231	0	34.1346153846154	0	0.480769230769231	0.360576923076923	0	0.120192307692308	0	4.56730769230769	0.841346153846154	8.53365384615385	0	0	21.875	0	0.240384615384615	0	0	0	0	0	0.120192307692308	3.00480769230769	0.120192307692308	4.08653846153846	0	0	0	8.77403846153846	0	0	0	0	0	0.120192307692308	0	0	0	0	2.04326923076923	0.841346153846154	0.240384615384615	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	42.5	"AWI"	42.5	1692	2913	2255	2.29276895943563	0	7.05467372134039	0	0	0	0	11.9929453262787	0	0	0	0	0	0	6.17283950617284	0.529100529100529	6.34920634920635	0	0	17.989417989418	0	0	0	0	0	0	0	0	0.352733686067019	13.5802469135802	24.6913580246914	0	0	0	5.11463844797178	0	0	0	0	0	0.17636684303351	0	0	0	0	1.94003527336861	1.7636684303351	0	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	45	"AWI"	45	1806	4045	2835	0	0	4.41176470588235	2.94117647058824	0	1.47058823529412	0	16.1764705882353	0	0	0	0	0	0	4.41176470588235	1.47058823529412	0	0	0	38.2352941176471	0	0	0	0	0	0	0	0	0	0	5.88235294117647	0	0	0	8.82352941176471	0	0	0	0	0	0	0	0	0	0	1.47058823529412	1.47058823529412	13.2352941176471	0
14527	22761	"Nad Dolským mlýnem"	50.85178	14.33726	47.5	"AWI"	47.5	1905.5	5226.5	3399	3.30275229357798	0	5.5045871559633	0	0	0.18348623853211	0	6.23853211009174	0	0	0	0	0	0	8.62385321100918	0.18348623853211	5.68807339449541	0	0	17.6146788990826	0	0.18348623853211	0	0	0	0	0	0	0.18348623853211	20.1834862385321	24.4036697247706	0	0	0	4.22018348623853	0	0	0	0	0	0.18348623853211	0	0	0	0	2.56880733944954	0.73394495412844	0	0
