"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15748	24190	"Hopschensee"	46.2525	8.02306	0	"AWI"	0	-103	56	-19	0.835073068893528	0	0	0.626304801670146	0	0	0	0	0.208768267223382	0	0	1.25260960334029	0.417536534446764	1.25260960334029	0	0	0	0	0.835073068893528	0	52.6096033402923	0	0	3.13152400835073	0	0	0	0	0	0	0.208768267223382	0	0	1.04384133611691	0	0	0.208768267223382	0	0.417536534446764	7.30688935281837	21.0855949895616	0	0	0	0	0.208768267223382	0	2.50521920668058	0	0.417536534446764	5.42797494780793	0	0	0	0	0	0	0	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	20	"AWI"	20	-43	358	103	0.602409638554217	0	0	0.301204819277108	0	0	0	0	0.903614457831325	0	0	0.602409638554217	0	0	0.301204819277108	0	0	0.301204819277108	0.602409638554217	0	54.5180722891566	0	0	0	0	0.602409638554217	0	0	0	0	0	1.20481927710843	0.602409638554217	1.50602409638554	0	0	0	0	0	6.62650602409639	21.6867469879518	0	0	0.903614457831325	0	0.602409638554217	0	2.10843373493976	0	0	5.12048192771084	0	0	0	0	0	0	0.301204819277108	0.602409638554217	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	40	"AWI"	40	44	556	256	0.833333333333333	0.277777777777778	0	0	0	0	0	0	0	0	0	3.05555555555556	0.277777777777778	1.94444444444444	0.555555555555556	0	0	0.277777777777778	1.11111111111111	0	46.6666666666667	0	0	0	0	0.833333333333333	0	0	0.555555555555556	0	0.555555555555556	1.94444444444444	0	1.38888888888889	0	0	0	0	0	4.44444444444444	26.3888888888889	0	0	0.277777777777778	0	1.66666666666667	0	1.66666666666667	0	0.277777777777778	3.88888888888889	0	0	0	0	0	0	0	1.11111111111111	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	60	"AWI"	60	160	742	410	0.796812749003984	0	0	0.398406374501992	0	0	0	0	0	0	0	0.398406374501992	0	2.78884462151394	1.19521912350598	0	0	0.796812749003984	1.99203187250996	0	34.6613545816733	0	0	4.38247011952191	0	0.398406374501992	0	0	0	0	0.796812749003984	1.19521912350598	0	0.398406374501992	0	0	0	0	0	8.76494023904383	25.4980079681275	0	0	0	0	1.19521912350598	0	2.39043824701195	0	1.59362549800797	9.16334661354582	0	0.796812749003984	0	0	0	0	0	0.398406374501992	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	80	"AWI"	80	306	889	555	1.11940298507463	0	0	0	0	0	0	0.373134328358209	0.746268656716418	0	0	1.86567164179104	0.373134328358209	8.2089552238806	0.746268656716418	0	0	3.73134328358209	1.11940298507463	0	27.9850746268657	0	0	0	1.11940298507463	1.11940298507463	0	0	0.373134328358209	0	0	0	0.373134328358209	0.746268656716418	0	0.373134328358209	0	0	0	7.08955223880597	23.8805970149254	0	0	0	0	1.49253731343284	0	3.73134328358209	0	1.11940298507463	10.4477611940298	0	0.373134328358209	0	0	0.746268656716418	0	0.373134328358209	0.373134328358209	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	100	"AWI"	100	561	1072	696	1.24223602484472	0.62111801242236	0	0	0	0	0	0	0.93167701863354	0	0	3.72670807453416	0.62111801242236	1.5527950310559	0.31055900621118	0	0	0	2.17391304347826	0	26.3975155279503	0	0	1.5527950310559	0	0.31055900621118	0	0	0.31055900621118	0	0.31055900621118	0.93167701863354	0	2.48447204968944	0	0	0	0	0	13.3540372670807	32.6086956521739	0	0	0	0	1.5527950310559	0	3.41614906832298	0	0.62111801242236	4.6583850931677	0	0	0	0	0.31055900621118	0	0	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	120	"AWI"	120	799	1999	1438	1.02040816326531	0	0	0	0	0	0	0	0.76530612244898	0	0	2.80612244897959	0	0.510204081632653	0.510204081632653	0	0	0	4.08163265306122	0	9.18367346938776	0	0	0	0	5.61224489795918	0	0	0	0	0.510204081632653	1.53061224489796	0.255102040816327	10.969387755102	0	0	0	0	0	13.265306122449	42.3469387755102	0	0	0	0	2.80612244897959	0	0.76530612244898	0	0	1.53061224489796	0.255102040816327	0	0	0	0.255102040816327	0	0.255102040816327	0.510204081632653	0	0.255102040816327
15748	24190	"Hopschensee"	46.2525	8.02306	140	"AWI"	140	1799	2380	2058	3.81861575178998	0.477326968973747	0	0	0	0	0	0	1.19331742243437	0	0	2.86396181384248	0	0.238663484486874	0	0	0	0	2.14797136038186	0	11.9331742243437	0	0	0	0	4.5346062052506	0	0	0	0	0	2.14797136038186	0	5.01193317422434	0	0	0	0	0.238663484486874	11.2171837708831	45.5847255369928	0	0	0	0	3.5799522673031	0	0.238663484486874	0	0	3.5799522673031	0	0	0	0	0.238663484486874	0	0	0.715990453460621	0	0.238663484486874
15748	24190	"Hopschensee"	46.2525	8.02306	160	"AWI"	160	2011	3162	2499	2.77136258660508	0.23094688221709	0	0	0	0	0	0	0.46189376443418	0	0	6.69745958429561	0	0.23094688221709	0	0	0	0.69284064665127	2.77136258660508	0	7.62124711316397	0	0	0	0	1.61662817551963	0.23094688221709	0	0	0	0.23094688221709	0	0.23094688221709	9.69976905311778	0	0.46189376443418	0	0	0.46189376443418	8.31408775981524	48.2678983833718	0	0	0	0	3.69515011547344	0	0.69284064665127	0	0	2.77136258660508	0.46189376443418	0.23094688221709	0	0	0.69284064665127	0	0.46189376443418	0	0	0
15748	24190	"Hopschensee"	46.2525	8.02306	180	"AWI"	180	2351	3536	3009	2.47933884297521	0	0	0	0	0	0	0	0.550964187327824	0.275482093663912	0	8.26446280991736	0.550964187327824	1.10192837465565	0	0	0	0.275482093663912	4.13223140495868	0.550964187327824	8.81542699724518	0	0	0	0	1.65289256198347	0	0	0	0	0	0.275482093663912	0	6.06060606060606	0	0	0	0	0.275482093663912	9.64187327823691	50.1377410468319	0	0	0	0	1.92837465564738	0	0.275482093663912	0	0	1.37741046831956	0.275482093663912	0.275482093663912	0	0	0.275482093663912	0	0.550964187327824	0	0	0
