"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lythraceae"	"Nyssa"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Sequoia"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14475	22664	"Lake Mikolajki"	53.77171	21.60414	0	"AWI"	0	-137	32	-51	2	1	93	7	0	0	0	13	0	0	0	141	0	0	0	3	0	0	0	0	0	19	25	0	0	0	0	4	0	6	0	0	0	1	3	0	0	0	0	0	6	63	0	25	0	0	0	66	0	19	0	90	2	0	0	0	0	30	14	0	4	0	0	0	0	2	5	4	17	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	5	"AWI"	5	-84	240	30	1	1	76	3	0	0	0	12	0	0	0	146	0	2	0	6	0	0	0	0	0	16	15	0	0	0	0	9	0	7	1	0	0	0	3	0	0	0	0	0	0	56	0	41	0	0	0	65	0	2	0	86	2	0	0	0	2	32	11	1	1	0	0	0	0	0	7	5	3	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	10	"AWI"	10	-63	509	105	1	1	76	1	0	0	0	13	0	0	0	173	0	0	0	1	0	0	0	0	0	18	14	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0	0	68	0	27	0	0	0	0	0	1	0	69	2	0	0	0	1	14	5	2	0	0	0	0	0	0	7	8	0	1	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	15	"AWI"	15	-47	785	182	0	1	41	2	0	0	0	6	0	0	0	143	0	2	0	6	0	0	0	0	0	10	24	0	0	0	0	12	0	10	0	0	0	0	11	0	0	0	0	0	0	62	0	16	0	0	0	0	0	18	0	53	2	0	0	0	1	18	9	17	0	0	0	0	0	1	4	5	7	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	20	"AWI"	20	-32	1057	260	2	2	79	1	0	0	0	10	0	0	0	159	0	1	0	2	0	0	0	0	0	14	21	1	0	0	0	9	0	7	0	0	0	0	6	0	1	0	0	0	0	61	0	28	0	0	0	0	0	16	0	59	0	0	1	0	1	8	9	0	0	0	0	0	0	1	6	7	7	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	25	"AWI"	25	25	1132	355	2	0	81	2	0	0	0	15	0	0	0	130	0	1	0	5	0	0	0	0	0	14	7	0	0	0	0	15	0	1	0	0	0	0	5	0	0	0	0	0	0	48	0	43	0	0	0	0	0	10	0	63	1	0	0	0	1	9	3	0	1	0	0	0	0	1	7	4	2	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	30	"AWI"	30	59	1227	444	0	1	80	3	0	0	0	7	0	0	0	185	0	1	0	6	0	0	0	0	0	12	15	0	0	0	0	14	0	6	0	0	0	0	1	0	0	1	0	0	0	60	0	45	0	0	0	0	0	14	0	74	0	0	0	0	1	18	9	0	1	0	0	0	0	2	2	7	4	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	35	"AWI"	35	80	1341	531	0	0	93	0	0	0	0	6	0	0	0	164	0	0	0	5	0	0	0	0	0	11	23	0	0	0	0	12	0	6	0	0	0	0	2	0	0	0	0	0	4	57	0	30	0	0	0	0	0	11	0	72	1	0	0	0	3	11	13	0	0	0	0	0	0	0	3	5	3	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	40	"AWI"	40	106	1494	611	0	1	61	1	0	0	0	7	0	0	0	130	0	2	0	11	0	0	0	0	0	21	13	0	0	0	0	10	0	9	0	0	0	0	7	0	0	0	0	0	0	49	0	42	0	0	0	102	0	10	0	47	1	0	0	0	0	23	6	0	0	0	0	0	0	0	8	8	5	0	0
14475	22664	"Lake Mikolajki"	53.77171	21.60414	45	"AWI"	45	180	1575	699	2	1	71	6	0	0	0	12	1	0	0	119	0	2	0	12	0	0	0	0	0	12	15	0	0	0	0	12	0	5	0	0	0	0	10	0	0	0	0	0	0	36	0	40	0	0	0	77	0	15	0	43	2	0	0	0	0	24	9	0	0	0	0	0	0	0	3	6	8	0	0
