"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"
3138	4082	"Håkulls Mosse"	56.28818	12.519322	655	"AWI"	655	10036	10612	10336	1	20	52	57	7	18	82	1	55	6	16	82	15	9	39	0	8	1	1292	41	3	1	8	2	686	120	139	1	53	6	48	3	3	17	6	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	658	"AWI"	658	10125	10641	10386	1	17	37	16	2	16	57	0	49	3	14	6	114	34	25	0	7	31	1310	26	1	4	5	2	832	57	79	37	47	4	27	3	8	79	4	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	662	"AWI"	662	10204	10703	10461	1	17	52	18	2	16	71	1	55	20	13	3	102	2	27	0	7	7	1156	58	8	15	8	2	568	68	115	16	53	4	37	3	8	11	56	9
3138	4082	"Håkulls Mosse"	56.28818	12.519322	666	"AWI"	666	10261	10785	10523	2	20	55	29	5	18	94	0	66	5	16	58	19	10	50	0	8	0	1793	81	6	1	3	2	538	104	0	1	61	6	59	3	3	25	0	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	670	"AWI"	670	10307	10830	10582	1	18	47	17	4	17	71	1	51	2	15	74	13	6	36	0	8	2	936	34	1	2	7	2	566	67	79	43	48	6	37	3	3	7	32	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	674	"AWI"	674	10351	10895	10636	28	18	53	17	2	17	131	0	61	73	13	1	10	11	37	0	6	30	1111	7	1	1	9	2	535	92	86	43	54	4	49	3	3	25	2	8
3138	4082	"Håkulls Mosse"	56.28818	12.519322	678	"AWI"	678	10406	10944	10691	17	20	48	66	6	19	114	1	54	5	17	76	11	7	29	0	8	49	1157	5	5	18	5	2	536	62	89	1	52	6	26	3	2	34	1	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	682	"AWI"	682	10449	10995	10750	36	23	53	47	2	18	189	0	61	3	16	2	81	8	39	0	7	2	1205	16	3	2	9	2	451	104	96	6	54	5	50	3	5	30	70	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	686	"AWI"	686	10500	11050	10803	44	24	54	47	3	23	70	0	64	7	17	28	17	2	53	0	8	0	760	0	1	22	2	2	354	74	0	1	55	6	73	3	4	13	0	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	690	"AWI"	690	10574	11080	10863	1	24	52	54	2	20	92	0	55	5	17	43	18	4	38	0	8	62	836	6	1	17	8	2	182	67	104	3	53	6	47	3	5	13	79	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	694	"AWI"	694	10619	11119	10921	15	23	53	45	2	22	114	5	56	2	17	5	84	10	39	0	7	3	712	45	1	31	9	2	217	65	96	5	54	4	49	3	4	27	7	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	698	"AWI"	698	10710	11161	10989	39	25	53	29	4	24	103	5	56	19	18	64	49	45	38	0	8	1	559	50	7	46	8	2	173	63	118	1	54	6	39	3	7	12	3	5
3138	4082	"Håkulls Mosse"	56.28818	12.519322	702	"AWI"	702	10775	11241	11062	31	26	55	21	3	23	218	0	66	15	18	79	38	38	54	0	8	0	810	542	8	75	3	2	192	0	0	1	61	6	89	3	5	11	0	5
3138	4082	"Håkulls Mosse"	56.28818	12.519322	706	"AWI"	706	10846	11378	11136	56	24	54	95	3	23	170	7	59	47	17	111	51	6	40	0	8	2	881	188	2	78	9	2	193	74	0	2	55	6	51	3	5	18	1	5
3138	4082	"Håkulls Mosse"	56.28818	12.519322	710	"AWI"	710	10947	11481	11236	48	23	48	52	3	18	99	1	54	1	16	77	19	13	37	0	8	1	827	62	1	2	0	2	107	131	159	8	49	6	41	3	5	1	1	0
3138	4082	"Håkulls Mosse"	56.28818	12.519322	714	"AWI"	714	11010	11642	11332	2	23	40	183	5	20	114	1	52	76	17	104	31	8	36	0	8	43	1041	36	2	92	6	2	151	57	0	11	48	6	36	3	4	21	5	3
3138	4082	"Håkulls Mosse"	56.28818	12.519322	718	"AWI"	718	11121	11726	11432	1	25	52	20	2	23	138	2	55	9	18	67	37	138	38	0	8	1	963	26	2	129	8	2	120	77	120	7	53	6	45	3	5	19	78	5
