"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Liliaceae"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
16356	25404	"Anneray"	49.15944	-0.05944	275	"AWI"	275	809	1870	1380	1	1	1	3	0	2	19	0	12	0	23	22	2	0	1	2	5	52	0	9	0	6	2	2	0	0	0
16356	25404	"Anneray"	49.15944	-0.05944	300	"AWI"	300	1178	2197	1716	0	4	4	1	0	5	9	1	7	0	11	46	3	1	0	1	0	30	0	13	0	11	4	1	0	1	0
16356	25404	"Anneray"	49.15944	-0.05944	325	"AWI"	325	1541	2492	2049	0	11	4	1	0	2	6	2	6	1	19	36	2	0	0	0	12	24	3	11	0	1	2	4	1	1	0
16356	25404	"Anneray"	49.15944	-0.05944	400	"AWI"	400	2650	3427	3060	0	18	3	0	0	2	0	2	3	0	23	18	1	6	0	0	5	23	0	2	0	1	1	0	0	0	0
16356	25404	"Anneray"	49.15944	-0.05944	430	"AWI"	430	3106	3783	3467	0	17	4	0	0	2	4	0	5	0	15	22	0	3	0	0	4	25	0	10	0	2	2	1	0	1	0
16356	25404	"Anneray"	49.15944	-0.05944	455	"AWI"	455	3493	4077	3803	0	47	1	0	1	3	10	4	1	1	13	24	1	0	1	0	9	28	0	13	0	1	2	5	0	4	0
16356	25404	"Anneray"	49.15944	-0.05944	475	"AWI"	475	3817	4303	4072	0	61	0	0	0	0	0	0	0	0	11	21	0	1	0	0	9	17	0	4	0	0	0	1	3	3	1
16356	25404	"Anneray"	49.15944	-0.05944	490	"AWI"	490	4056	4465	4277	0	130	0	0	3	0	0	2	0	0	23	0	0	0	0	0	9	7	0	26	0	0	0	0	9	2	0
16356	25404	"Anneray"	49.15944	-0.05944	530	"AWI"	530	4579	5074	4816	0	3	0	0	0	0	4	1	0	0	28	4	0	0	0	0	52	20	0	2	0	1	0	1	0	1	0
16356	25404	"Anneray"	49.15944	-0.05944	550	"AWI"	550	4822	5375	5085	0	11	0	0	0	0	0	1	0	0	44	11	0	1	0	0	16	12	0	10	0	0	0	3	2	1	0
16356	25404	"Anneray"	49.15944	-0.05944	572	"AWI"	572	5094	5704	5385	0	17	2	0	0	0	0	1	1	0	41	5	0	0	0	0	21	15	0	6	0	0	0	1	3	3	0
16356	25404	"Anneray"	49.15944	-0.05944	600	"AWI"	600	5448	6106	5763	0	16	3	0	0	1	0	0	0	0	56	4	0	0	0	0	21	9	0	5	0	1	0	0	2	4	0
16356	25404	"Anneray"	49.15944	-0.05944	625	"AWI"	625	5774	6451	6105	0	12	1	0	0	0	0	0	0	0	43	10	0	0	0	0	10	13	0	8	0	0	0	0	3	1	0
16356	25404	"Anneray"	49.15944	-0.05944	652	"AWI"	652	6128	6827	6471	0	9	1	0	0	1	0	0	1	0	60	10	0	0	0	0	22	10	0	20	0	1	1	3	3	0	0
16356	25404	"Anneray"	49.15944	-0.05944	680	"AWI"	680	6504	7201	6850	0	7	0	0	0	0	0	0	0	0	31	18	0	0	0	0	32	19	0	11	0	0	0	0	5	2	0
16356	25404	"Anneray"	49.15944	-0.05944	730	"AWI"	730	7188	7873	7532	0	15	0	0	0	1	3	2	0	0	30	6	0	0	0	0	16	13	0	17	0	2	0	0	4	5	0
16356	25404	"Anneray"	49.15944	-0.05944	770	"AWI"	770	7758	8384	8075	0	3	0	0	0	1	0	0	0	0	24	7	0	0	0	0	16	10	0	12	0	0	0	1	2	0	0
16356	25404	"Anneray"	49.15944	-0.05944	840	"AWI"	840	8822	9256	9026	0	6	2	0	0	0	0	3	0	0	64	24	2	0	0	0	25	16	0	7	2	0	1	0	2	1	0
