"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Syringa"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26147	45391	"Lake Verijärv"	57.80833	27.05833	1934	"AWI"	1934	-133	37	-42	0	0	186	1	0	0	8	0	0	0	14	0	0	0	0	0	1	12	0	8	0	0	0	0	1	1	0	1	4	0	0	0	0	0	0	45	219	0	0	0	0	0	0	4	0	0	0	0	3	7	2	0	0	0	1	0	2	1	16	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1937	"AWI"	1937	-122	47	-32	0	0	131	4	3	0	7	4	0	0	39	0	0	0	0	0	0	8	0	15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	32	236	6	0	0	0	7	0	5	0	1	0	1	17	0	1	0	3	0	0	0	0	5	13	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1939	"AWI"	1939	-116	56	-25	0	0	108	4	4	0	13	0	0	0	19	0	3	0	0	1	0	8	0	10	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	29	241	0	0	0	0	1	0	9	0	0	0	0	7	4	1	0	0	0	0	0	0	2	11	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1942	"AWI"	1942	-110	69	-14	1	0	145	1	1	0	12	0	357	0	11	0	0	0	0	0	0	13	0	17	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	21	257	0	0	0	0	4	0	11	0	1	0	0	9	8	3	0	0	2	0	0	0	1	5	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1944	"AWI"	1944	-107	77	-8	0	0	91	2	2	0	9	0	0	0	9	0	0	0	0	1	0	4	0	11	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	28	239	4	0	86	0	2	0	5	0	1	0	0	15	3	0	0	0	1	0	0	0	1	5	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1946	"AWI"	1946	-102	88	-1	0	1	106	3	1	0	20	0	400	0	10	0	0	0	0	0	0	4	0	13	0	0	0	0	0	4	0	0	5	0	0	0	0	1	0	36	245	0	0	106	0	9	0	5	0	0	0	1	7	7	0	0	0	0	0	1	0	1	6	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1949	"AWI"	1949	-96	106	8	0	0	102	6	4	0	9	0	0	0	21	0	3	0	0	0	0	5	0	10	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	31	207	5	0	0	0	1	0	4	0	0	0	0	10	8	0	0	0	1	0	1	0	1	5	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1951	"AWI"	1951	-92	117	15	0	0	92	6	5	0	13	0	276	0	12	0	0	0	0	0	0	8	0	27	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	33	227	0	0	82	0	7	0	9	0	0	0	0	15	8	0	0	0	0	0	0	1	2	10	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1954	"AWI"	1954	-87	135	24	0	0	84	3	2	0	10	0	0	0	11	0	0	0	2	0	0	4	0	12	2	0	0	0	0	0	0	1	4	0	0	0	0	2	0	17	273	0	0	0	0	0	0	5	0	0	0	2	22	5	1	0	0	0	0	0	1	1	6	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1957	"AWI"	1957	-83	153	34	0	0	75	7	2	0	6	6	312	0	11	0	0	0	0	0	0	4	0	34	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15	262	9	0	0	0	3	0	7	0	0	0	0	27	1	1	0	2	0	0	0	0	1	3	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1960	"AWI"	1960	-77	173	44	0	0	77	5	0	0	11	0	0	0	9	0	6	0	0	1	0	4	0	18	0	0	0	0	1	1	0	1	3	0	0	0	0	1	0	15	267	0	0	102	0	1	0	12	0	0	0	0	38	4	1	0	0	0	0	0	1	1	2	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1962	"AWI"	1962	-74	187	50	0	0	101	7	0	0	7	0	310	0	13	0	0	0	0	0	0	1	0	25	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	9	255	13	0	0	0	12	0	5	0	0	0	1	37	0	0	0	0	0	0	0	0	3	15	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1964	"AWI"	1964	-72	202	56	0	0	60	1	0	0	11	0	0	0	5	0	12	0	4	2	0	8	0	21	0	0	0	1	0	1	0	0	4	0	0	0	0	1	0	16	313	0	0	108	0	2	0	5	0	0	0	0	25	7	0	0	0	0	0	0	0	2	3	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1965	"AWI"	1965	-70	208	59	0	0	27	1	0	0	8	0	200	0	6	0	0	0	0	0	0	5	0	47	0	0	0	0	0	4	0	0	4	0	0	0	0	1	0	16	287	5	0	0	0	11	0	2	0	0	0	1	20	1	2	0	0	0	0	0	1	2	9	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1967	"AWI"	1967	-66	222	67	0	0	67	7	2	1	12	0	316	1	6	0	0	0	0	0	0	7	0	40	0	0	0	0	1	7	0	1	1	0	0	0	0	4	0	13	238	0	0	0	0	16	0	1	0	0	0	0	39	14	3	0	0	1	0	2	0	6	4	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1969	"AWI"	1969	-64	235	73	0	0	73	0	1	0	4	0	0	0	8	0	0	0	0	0	0	5	0	23	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	17	236	0	0	93	0	2	0	1	0	0	0	1	40	6	0	0	0	0	0	0	3	2	9	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	1970	"AWI"	1970	-62	242	76	0	0	67	3	1	0	5	0	235	0	7	0	0	0	0	0	0	0	0	47	0	0	0	0	0	4	0	0	9	0	0	0	0	1	0	36	360	6	0	0	0	17	0	4	0	0	0	0	25	1	1	0	0	0	0	0	1	2	13	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1974	"AWI"	1974	-58	269	88	0	0	93	5	2	0	11	0	290	0	10	0	0	0	0	0	0	3	0	46	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	25	243	7	0	0	0	7	0	3	0	0	0	0	17	2	2	0	1	0	0	0	0	0	4	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1975	"AWI"	1975	-57	275	90	0	0	32	0	0	0	11	0	0	0	12	0	4	0	0	0	0	3	0	1	3	0	0	0	0	0	0	0	3	0	0	0	0	1	0	16	201	0	1	134	0	1	0	3	0	0	0	0	44	3	1	0	0	0	0	0	1	1	19	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1978	"AWI"	1978	-54	297	100	0	0	43	4	0	0	10	0	280	0	8	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	195	4	0	0	0	10	0	5	0	0	0	0	33	0	4	0	0	0	0	0	0	3	13	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1980	"AWI"	1980	-51	311	106	0	0	56	6	2	0	8	12	0	0	11	0	0	0	0	0	0	2	0	51	4	0	0	0	0	5	0	0	7	0	0	0	0	4	0	28	206	7	0	0	0	12	0	7	0	0	0	1	37	2	2	0	0	0	0	0	1	0	9	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1982	"AWI"	1982	-49	327	112	0	0	57	4	0	0	7	0	0	0	4	0	0	0	0	0	0	5	0	40	0	0	0	1	0	4	0	0	4	0	0	0	0	1	0	20	203	0	0	171	0	3	0	4	0	0	0	0	41	1	0	0	0	0	0	0	1	0	16	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1983	"AWI"	1983	-48	334	115	0	0	56	1	2	0	4	9	0	0	8	0	0	0	0	0	0	5	0	90	0	0	0	0	0	1	0	0	14	0	1	0	0	1	0	14	207	0	0	119	0	12	0	5	0	0	0	1	49	2	0	0	2	0	0	0	1	0	19	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1984	"AWI"	1984	-47	341	118	0	0	64	5	2	0	2	0	0	0	6	0	26	0	0	0	0	7	0	20	0	0	0	0	0	2	1	0	2	0	0	0	0	3	0	11	193	0	0	127	0	0	0	5	0	0	0	0	29	3	0	0	0	0	0	0	0	0	5	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1986	"AWI"	1986	-46	357	124	0	0	94	1	0	0	4	0	273	0	7	0	0	0	0	0	0	7	0	54	0	0	0	0	0	4	0	0	3	0	0	0	0	1	0	15	319	5	0	0	0	10	0	5	0	0	0	0	50	3	2	0	0	0	0	0	0	1	9	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1988	"AWI"	1988	-45	371	131	0	0	77	1	5	0	12	0	0	0	10	0	25	0	0	0	0	3	0	37	0	0	0	0	0	1	0	0	6	0	0	0	0	1	0	31	238	0	0	0	0	0	0	9	0	0	0	0	46	4	4	0	0	0	0	0	0	0	14	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1990	"AWI"	1990	-42	386	138	0	0	50	1	0	0	6	0	0	0	3	0	0	0	0	0	0	2	0	49	6	0	0	0	0	1	0	0	4	0	0	0	0	0	0	14	243	0	0	0	0	2	0	7	0	0	0	0	14	8	10	0	0	0	0	2	0	1	1	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1993	"AWI"	1993	-40	407	147	0	0	98	2	0	0	6	0	272	0	8	0	0	0	0	0	0	5	0	69	5	0	0	0	0	4	0	0	6	0	0	0	0	2	0	10	181	0	0	0	0	9	0	5	0	0	0	0	27	0	0	0	0	0	0	0	1	2	10	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	1997	"AWI"	1997	-29	431	162	0	0	81	1	1	0	10	6	235	0	11	0	0	0	0	0	0	3	0	102	0	0	0	0	0	5	0	0	5	0	0	0	0	4	0	17	228	0	0	0	0	11	0	7	0	0	0	0	33	6	0	0	0	0	0	0	2	0	25	1
26147	45391	"Lake Verijärv"	57.80833	27.05833	2002	"AWI"	2002	16	436	192	0	0	108	2	1	0	16	0	227	0	7	0	0	0	0	0	0	13	0	82	5	0	0	1	0	2	0	2	5	0	0	0	0	2	0	25	323	0	0	0	0	3	0	10	0	0	0	0	29	10	0	0	0	0	0	1	0	2	5	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2003	"AWI"	2003	25	437	198	0	0	59	1	1	0	14	9	280	0	10	0	0	0	0	0	0	3	0	66	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	39	194	3	0	0	0	15	0	1	0	0	0	0	28	6	2	0	2	2	0	0	2	0	6	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2008	"AWI"	2008	71	444	227	0	0	90	0	3	0	14	11	289	0	10	0	0	0	0	0	0	2	0	144	9	0	0	0	0	5	0	0	14	0	0	0	0	3	0	61	249	13	0	0	0	24	0	7	0	0	0	0	25	12	1	0	4	0	0	0	4	0	32	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2014	"AWI"	2014	126	451	262	0	0	100	3	2	0	33	11	164	1	10	0	0	0	0	0	0	0	0	90	9	0	0	0	0	3	0	3	15	0	0	0	0	1	0	30	300	0	0	0	0	15	0	10	0	0	0	0	55	9	0	0	1	0	0	0	1	0	15	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2016	"AWI"	2016	143	453	274	0	0	102	5	2	0	26	0	178	0	5	0	0	0	0	0	0	9	0	115	8	0	0	0	1	2	0	0	30	0	0	0	0	0	0	31	227	5	0	0	0	20	0	8	0	0	0	3	31	5	0	0	0	0	0	0	0	0	21	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2018	"AWI"	2018	161	455	285	0	0	86	4	1	0	18	10	215	0	12	0	0	0	0	0	0	0	0	89	10	0	0	0	0	7	0	0	6	0	0	1	0	0	0	24	185	9	0	0	0	22	0	11	0	0	0	0	40	11	3	0	0	0	0	0	0	0	9	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2020	"AWI"	2020	178	458	297	0	0	100	2	1	0	18	6	339	0	0	0	0	0	0	0	0	6	0	62	0	0	0	0	0	7	0	0	6	0	0	0	0	3	0	19	240	0	0	0	0	6	0	8	0	0	0	0	19	5	3	0	0	0	0	3	2	4	20	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2023	"AWI"	2023	204	461	315	1	0	92	2	1	0	18	12	335	0	10	0	0	0	0	0	0	1	0	33	2	0	0	0	1	1	0	0	6	0	0	0	0	1	0	17	200	0	0	225	0	9	0	4	0	0	0	1	28	12	0	0	0	0	0	1	2	0	6	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2027	"AWI"	2027	239	467	338	1	0	104	3	1	0	11	6	254	0	6	0	0	0	0	0	0	6	0	110	5	0	0	0	0	3	0	0	8	0	0	0	0	2	0	34	223	0	0	0	0	26	0	15	0	0	0	0	33	3	1	0	0	0	0	0	1	0	24	0
26147	45391	"Lake Verijärv"	57.80833	27.05833	2029	"AWI"	2029	256	469	350	0	0	105	6	1	0	16	8	399	0	6	0	0	0	0	0	0	7	0	52	8	0	0	0	0	0	0	0	2	0	0	0	0	1	0	33	173	0	0	0	0	15	0	9	0	0	0	0	27	19	0	0	0	0	0	0	1	1	7	0
