"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Ulmus"	"Urticaceae"
14497	22706	"Loch Laxford"	58.367324	-5.048628	0.5	"AWI"	0.5	-94.5	84.5	-14	1.66666666666667	0	6.66666666666667	0	1.66666666666667	0	1.66666666666667	0	1.66666666666667	0	0	0	0	0	1.66666666666667	18.3333333333333	0	0	0	0	0	0	0	0	3.33333333333333	63.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	2.5	"AWI"	2.5	-60	138.5	46.5	0	0	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	1.01010101010101	14.1414141414141	74.7474747474748	0	1.01010101010101	0	0	0	3.03030303030303	0	0	5.05050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	4.5	"AWI"	4.5	-47.5	211.5	110	0	0	0.581395348837209	0	0	0	0	0	2.90697674418605	0	0	0	0	0	3.48837209302326	3.48837209302326	68.0232558139535	0	0	0	0	0	1.74418604651163	0.581395348837209	0	18.6046511627907	0	0	0	0	0	0	0	0	0	0	0.581395348837209	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	6.5	"AWI"	6.5	-38	297	172.5	0	0	0	0	0	0	0	0	3.88349514563107	0	0	0	0	0	2.9126213592233	7.76699029126214	78.6407766990291	0	0	0	0	0	2.9126213592233	0	0	3.88349514563107	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	8.5	"AWI"	8.5	-31	390	233	0	0	1.19047619047619	0	0	0	0	0	2.38095238095238	0	0	0	0	0	1.19047619047619	0	89.2857142857143	0	0	1.19047619047619	0	0	3.57142857142857	0	0	1.19047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	10.5	"AWI"	10.5	-18	463	286	0	0	0.8	0	0	0	0	0	8	0.8	0	0	0	0	0.8	8.8	76.8	0	0.8	0	0	0	0.8	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	12.5	"AWI"	12.5	16	475	318	0	0	0	0	0	0	0.561797752808989	0	8.42696629213483	0	0	0	0	0	2.24719101123596	5.61797752808989	78.0898876404494	0	0	0	0	0	0.561797752808989	0.561797752808989	0	3.37078651685393	0	0	0	0.561797752808989	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	14.5	"AWI"	14.5	46	491.5	350.5	0	0	0.469483568075117	0	0	0	0	0	2.34741784037559	0	0	0	0	0	1.40845070422535	4.22535211267606	88.7323943661972	0	0	0	0	0	0.469483568075117	0	0	1.40845070422535	0	0	0	0	0.469483568075117	0	0	0	0	0	0	0	0.469483568075117
14497	22706	"Loch Laxford"	58.367324	-5.048628	16.5	"AWI"	16.5	74	514	381	0	0	1.67597765363128	0	0	0	0	0.558659217877095	2.23463687150838	0	0	0	0	0	0.558659217877095	3.35195530726257	90.5027932960894	0	0	0	0	0	0	0	0	1.11731843575419	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	18.5	"AWI"	18.5	96.5	549	410.5	0	0	0	0	0	0	0	0	2.04081632653061	0	0	0	0	0	1.36054421768707	5.4421768707483	89.7959183673469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.680272108843537	0.680272108843537
14497	22706	"Loch Laxford"	58.367324	-5.048628	20.5	"AWI"	20.5	131	583.5	439	0	0	0.584795321637427	0	0	0	0	0	0.584795321637427	0	0	0	0	0	0.584795321637427	5.26315789473684	91.812865497076	0	0	0	0	0	0.584795321637427	0	0	0.584795321637427	0	0	0	0	0	0	0	0	0	0	0	0	0
