"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
26578	46481	"Staroselsky Moch"	56.28528	32.0275	1	"AWI"	1	-127	42	-42	0	42	2	0	9	0	0	0	0	6	3	0	5	0	0	72	230	0	7	0	4	0	2	0	1	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	10	"AWI"	10	-74	336	75	0	70	4	0	6	0	0	1	0	3	9	0	17	0	0	25	121	0	8	0	2	0	1	0	1	0	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	20	"AWI"	20	-46	716	200	0	41	3	0	5	0	0	0	0	3	1	0	1	0	0	30	46	0	6	1	2	0	0	0	0	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	30	"AWI"	30	51	861	360	0	43	1	0	7	4	0	0	0	2	1	0	55	0	0	74	92	0	12	0	4	0	1	0	0	1	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	40	"AWI"	40	109	1045	519	0	92	4	0	5	0	0	0	0	3	2	0	21	0	0	121	132	0	13	0	1	0	2	0	0	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	50	"AWI"	50	243	1176	683	0	71	5	1	5	0	0	0	0	2	5	0	5	0	0	58	132	0	16	0	3	2	0	0	0	0	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	60	"AWI"	60	340	1286	851	0	42	1	0	13	3	0	0	0	2	2	0	3	0	1	103	129	0	29	0	6	2	0	0	2	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	70	"AWI"	70	535	1391	1003	0	40	4	0	6	0	0	1	0	1	0	0	3	2	1	190	55	0	18	0	9	0	2	0	4	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	80	"AWI"	80	712	1467	1164	0	47	1	1	5	0	0	0	1	6	1	0	1	0	2	154	129	1	13	0	10	1	1	0	4	3	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	90	"AWI"	90	860	1566	1299	0	96	4	0	9	3	0	3	0	5	7	0	8	0	0	84	103	0	22	0	7	3	6	0	5	0	5
26578	46481	"Staroselsky Moch"	56.28528	32.0275	100	"AWI"	100	991	1635	1388	0	47	1	0	3	0	0	0	0	8	10	0	4	0	0	156	85	1	12	1	6	0	1	0	1	1	6
26578	46481	"Staroselsky Moch"	56.28528	32.0275	110	"AWI"	110	1075	1749	1467	1	55	1	0	2	0	0	0	0	7	2	0	1	2	1	134	93	0	14	0	13	1	1	0	0	1	3
26578	46481	"Staroselsky Moch"	56.28528	32.0275	120	"AWI"	120	1160	1807	1527	0	63	1	1	5	0	0	0	1	13	7	0	28	1	1	104	58	1	4	0	38	1	1	0	2	6	10
26578	46481	"Staroselsky Moch"	56.28528	32.0275	130	"AWI"	130	1226	1894	1585	1	89	1	0	4	0	0	0	0	2	3	0	7	4	2	122	40	0	8	1	31	0	0	0	1	5	8
26578	46481	"Staroselsky Moch"	56.28528	32.0275	140	"AWI"	140	1337	1952	1645	2	58	1	1	2	0	0	0	0	29	1	0	5	5	3	194	38	1	3	0	25	0	0	0	1	9	13
26578	46481	"Staroselsky Moch"	56.28528	32.0275	150	"AWI"	150	1408	2044	1711	0	50	1	0	5	0	0	0	0	16	5	0	11	1	2	185	61	0	6	0	23	0	1	0	2	2	7
26578	46481	"Staroselsky Moch"	56.28528	32.0275	160	"AWI"	160	1550	2137	1773	0	13	0	1	8	0	0	0	1	17	0	0	2	3	0	162	64	0	1	0	28	0	1	0	1	8	15
26578	46481	"Staroselsky Moch"	56.28528	32.0275	170	"AWI"	170	1636	2256	1844	0	42	1	0	5	0	0	0	0	6	1	0	0	1	2	245	65	0	1	0	24	0	0	0	2	11	13
26578	46481	"Staroselsky Moch"	56.28528	32.0275	180	"AWI"	180	1737	2420	2004	0	59	0	0	3	0	0	0	0	17	2	0	3	1	1	225	76	0	1	0	34	0	1	0	0	9	20
26578	46481	"Staroselsky Moch"	56.28528	32.0275	190	"AWI"	190	1794	2833	2165	0	73	1	0	3	0	0	0	0	23	1	0	6	3	1	162	72	0	3	0	32	0	1	0	0	10	9
26578	46481	"Staroselsky Moch"	56.28528	32.0275	200	"AWI"	200	1908	3088	2347	0	75	0	0	1	0	0	0	0	29	1	0	0	3	2	237	36	0	4	0	37	0	1	0	0	10	28
26578	46481	"Staroselsky Moch"	56.28528	32.0275	210	"AWI"	210	1995	3305	2541	0	55	0	1	3	0	0	0	0	28	2	0	4	2	1	231	49	0	7	0	23	0	0	0	1	5	11
26578	46481	"Staroselsky Moch"	56.28528	32.0275	220	"AWI"	220	2146	3511	2731	1	69	3	0	3	0	0	0	0	22	2	0	5	4	3	191	60	0	1	0	30	0	1	0	1	6	20
26578	46481	"Staroselsky Moch"	56.28528	32.0275	230	"AWI"	230	2284	3675	2942	0	63	0	1	4	0	0	0	0	35	3	0	13	4	1	244	81	0	2	0	26	0	2	0	0	7	13
26578	46481	"Staroselsky Moch"	56.28528	32.0275	240	"AWI"	240	2439	3872	3138	0	85	1	0	3	0	0	0	0	32	2	0	10	3	1	63	45	0	3	0	26	0	0	0	0	12	25
26578	46481	"Staroselsky Moch"	56.28528	32.0275	250	"AWI"	250	2604	4015	3342	0	0	1	0	4	0	0	0	0	59	3	0	9	2	1	175	57	0	1	0	49	0	2	0	2	11	22
26578	46481	"Staroselsky Moch"	56.28528	32.0275	260	"AWI"	260	2762	4231	3525	0	85	0	0	1	0	0	0	0	30	1	0	11	1	0	208	58	0	0	0	40	0	1	0	1	10	21
26578	46481	"Staroselsky Moch"	56.28528	32.0275	270	"AWI"	270	3008	4327	3714	0	114	1	2	1	0	0	0	0	77	1	0	47	2	1	136	60	0	1	0	24	0	0	0	0	22	46
26578	46481	"Staroselsky Moch"	56.28528	32.0275	280	"AWI"	280	3193	4501	3905	0	64	2	0	5	0	0	0	0	88	1	0	0	1	0	222	29	0	1	0	28	0	1	0	0	21	21
26578	46481	"Staroselsky Moch"	56.28528	32.0275	290	"AWI"	290	3536	4600	4076	0	82	0	0	1	0	0	0	0	19	1	0	3	1	0	213	39	0	0	0	22	0	1	1	2	13	29
26578	46481	"Staroselsky Moch"	56.28528	32.0275	300	"AWI"	300	3720	4790	4260	0	93	2	1	3	0	0	0	0	73	1	0	6	1	0	152	36	0	2	0	35	0	0	0	1	10	18
26578	46481	"Staroselsky Moch"	56.28528	32.0275	310	"AWI"	310	3888	4933	4422	0	61	2	0	3	0	0	0	0	24	5	0	12	1	0	142	95	0	4	0	14	0	4	0	1	9	17
26578	46481	"Staroselsky Moch"	56.28528	32.0275	320	"AWI"	320	3985	5158	4567	0	72	5	0	1	0	0	0	0	41	1	0	7	2	0	233	33	0	0	0	42	0	0	0	0	13	32
26578	46481	"Staroselsky Moch"	56.28528	32.0275	330	"AWI"	330	4155	5311	4722	0	124	1	0	1	0	0	0	0	98	2	0	2	7	0	126	34	0	3	0	24	0	0	0	0	13	67
26578	46481	"Staroselsky Moch"	56.28528	32.0275	340	"AWI"	340	4267	5459	4886	0	82	1	0	4	0	0	0	0	73	4	0	3	3	0	178	36	0	2	0	35	0	0	0	0	24	42
26578	46481	"Staroselsky Moch"	56.28528	32.0275	350	"AWI"	350	4436	5588	5042	0	79	1	0	0	0	0	0	0	42	1	0	2	3	0	182	46	0	1	0	20	0	1	0	2	5	25
26578	46481	"Staroselsky Moch"	56.28528	32.0275	360	"AWI"	360	4564	5708	5205	0	82	0	0	3	0	0	0	0	32	1	0	2	2	0	136	40	0	4	0	26	0	3	0	1	17	41
26578	46481	"Staroselsky Moch"	56.28528	32.0275	370	"AWI"	370	4768	5858	5354	0	91	1	0	3	0	0	0	0	56	5	0	3	2	0	97	48	0	0	0	36	0	3	0	2	17	47
26578	46481	"Staroselsky Moch"	56.28528	32.0275	380	"AWI"	380	5019	5962	5507	0	95	0	1	3	0	0	0	0	62	1	0	11	11	0	116	41	0	1	0	37	1	2	1	0	12	41
26578	46481	"Staroselsky Moch"	56.28528	32.0275	390	"AWI"	390	5251	6103	5664	0	113	0	1	3	0	0	0	0	99	2	0	1	4	0	41	68	0	0	0	42	0	1	0	0	18	43
26578	46481	"Staroselsky Moch"	56.28528	32.0275	400	"AWI"	400	5511	6264	5852	0	85	1	0	8	0	0	0	0	90	3	0	2	5	1	69	74	0	0	0	53	0	0	0	0	21	48
26578	46481	"Staroselsky Moch"	56.28528	32.0275	410	"AWI"	410	5631	6591	6031	0	75	0	6	6	0	0	0	4	39	1	0	1	1	0	35	68	0	1	0	28	0	6	0	1	18	71
26578	46481	"Staroselsky Moch"	56.28528	32.0275	420	"AWI"	420	5783	6865	6266	0	73	1	0	1	0	0	0	0	31	23	0	0	1	0	44	85	0	4	0	24	0	4	0	1	12	49
26578	46481	"Staroselsky Moch"	56.28528	32.0275	430	"AWI"	430	5865	7303	6473	0	50	1	1	1	0	0	0	0	30	29	0	3	3	0	42	120	0	5	0	13	0	1	0	0	11	35
26578	46481	"Staroselsky Moch"	56.28528	32.0275	440	"AWI"	440	6087	7441	6717	0	35	3	1	5	0	0	0	0	26	23	0	1	1	0	23	183	1	5	1	7	0	5	0	3	3	52
26578	46481	"Staroselsky Moch"	56.28528	32.0275	450	"AWI"	450	6207	7680	6964	0	49	0	3	1	0	0	0	0	23	9	0	0	0	0	23	70	0	2	0	20	0	7	0	2	14	35
26578	46481	"Staroselsky Moch"	56.28528	32.0275	460	"AWI"	460	6493	7823	7201	0	13	2	0	8	0	0	0	0	18	59	0	1	0	0	11	124	0	14	1	17	1	11	2	6	4	38
26578	46481	"Staroselsky Moch"	56.28528	32.0275	470	"AWI"	470	6658	7981	7448	0	52	1	1	7	0	0	0	1	30	25	0	2	0	0	86	96	0	2	0	13	1	3	0	5	9	25
26578	46481	"Staroselsky Moch"	56.28528	32.0275	480	"AWI"	480	7066	8111	7649	0	70	0	0	3	3	0	0	0	40	21	1	4	0	0	101	66	0	0	0	21	0	3	0	3	2	32
26578	46481	"Staroselsky Moch"	56.28528	32.0275	490	"AWI"	490	7471	8229	7853	0	36	0	0	9	0	0	1	0	32	63	0	0	3	0	81	97	0	2	0	11	1	2	0	2	9	21
26578	46481	"Staroselsky Moch"	56.28528	32.0275	500	"AWI"	500	7804	8460	8128	0	11	1	2	6	0	0	0	0	10	28	0	0	1	0	40	147	1	6	0	4	0	3	0	4	2	8
26578	46481	"Staroselsky Moch"	56.28528	32.0275	510	"AWI"	510	7960	9039	8437	0	2	6	1	14	0	414	0	0	2	18	0	0	0	0	4	88	2	2	0	1	0	5	3	2	0	4
26578	46481	"Staroselsky Moch"	56.28528	32.0275	520	"AWI"	520	8181	9536	8747	0	0	0	0	14	0	444	0	0	3	12	1	0	0	0	2	39	0	4	1	1	1	1	0	0	0	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	530	"AWI"	530	8447	9751	9116	0	0	4	1	13	0	434	0	0	1	29	0	1	0	0	10	38	1	8	0	0	0	9	0	0	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	540	"AWI"	540	8773	10102	9463	0	0	3	2	24	0	398	0	0	0	19	1	0	0	0	20	65	0	13	0	0	0	14	0	8	0	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	550	"AWI"	550	9230	10466	9844	0	9	6	1	32	0	293	0	0	5	58	0	1	0	0	24	74	1	10	0	5	0	7	0	11	3	6
26578	46481	"Staroselsky Moch"	56.28528	32.0275	560	"AWI"	560	9444	11305	10205	0	7	25	1	127	0	197	0	0	0	30	0	0	0	0	24	47	1	30	0	1	0	2	0	15	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	570	"AWI"	570	9704	11951	10579	0	8	38	2	128	4	143	0	2	3	42	0	1	0	0	27	44	1	21	0	2	1	1	0	12	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	580	"AWI"	580	9840	12963	10909	0	2	18	2	133	0	128	0	0	0	14	0	0	0	0	22	43	0	26	0	0	4	1	0	10	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	590	"AWI"	590	10088	13468	11306	0	10	34	0	125	0	153	0	0	0	24	1	1	0	0	35	54	0	26	0	0	4	3	0	14	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	600	"AWI"	600	10244	14187	11678	0	5	28	2	141	0	158	0	0	2	20	0	0	0	0	62	46	0	41	0	0	6	1	0	22	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	610	"AWI"	610	10465	14717	12064	0	8	18	1	129	0	159	0	1	3	21	0	0	0	3	72	42	0	44	1	0	0	1	0	15	0	1
26578	46481	"Staroselsky Moch"	56.28528	32.0275	620	"AWI"	620	10647	15393	12451	0	8	17	0	121	3	167	0	0	5	28	0	2	0	0	70	72	0	35	0	0	6	3	0	8	0	0
26578	46481	"Staroselsky Moch"	56.28528	32.0275	625	"AWI"	625	10770	15774	12631	1	14	15	0	115	0	172	0	0	5	48	0	1	0	4	54	68	2	44	0	1	3	5	0	11	0	2
26578	46481	"Staroselsky Moch"	56.28528	32.0275	645	"AWI"	645	11279	16887	13424	0	33	10	0	68	0	131	0	0	0	133	0	0	0	0	27	46	0	37	0	0	10	8	0	15	0	0
