"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cupressus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxodium"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3257	4225	"Lutinière"	46.44444	-0.86222	10	"AWI"	10	-19	254	134	0	0	2	5	81	1	1	0	0	0	24	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	20	0	0	1	0	11	0	0	0	0	1	0	2	0	2	0	1	17	0	0	0	0	0	0	0	0	0
3257	4225	"Lutinière"	46.44444	-0.86222	20	"AWI"	20	27	520	309	0	1	8	11	111	0	1	20	2	0	30	0	0	0	0	0	2	0	0	0	0	0	0	96	0	0	2	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	3	0	0	55	0	0	0	0	9	0	0	0	0	2	0	12	0	0	4	0	0	0	0	0	1	0	0	0	0	0
3257	4225	"Lutinière"	46.44444	-0.86222	30	"AWI"	30	67	800	483	0	0	6	10	182	0	0	22	1	1	70	0	0	0	0	0	1	0	0	0	0	0	0	122	2	0	6	2	1	1	0	0	0	0	5	5	0	0	0	0	0	0	0	0	3	6	0	0	35	2	0	0	0	19	0	0	0	0	5	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3257	4225	"Lutinière"	46.44444	-0.86222	48	"AWI"	48	441	876	681	0	0	4	7	97	0	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0	0	0	66	2	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	34	0	0	0	0	5	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
3257	4225	"Lutinière"	46.44444	-0.86222	52	"AWI"	52	485	914	729	0	0	6	1	68	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	1	0	0	149	0	0	0	10	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	12	0	0	37	0	0	0	0	30	0	5	0	0	2	0	8	0	0	0	0	0	0	0	0	1	5	0	0	0	1
3257	4225	"Lutinière"	46.44444	-0.86222	55	"AWI"	55	515	953	765	0	0	2	1	148	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1	0	0	133	0	0	7	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	6	0	0	13	0	0	0	0	4	0	1	0	0	0	0	3	0	0	1	62	0	0	0	0	1	0	0	0	0	1
3257	4225	"Lutinière"	46.44444	-0.86222	65	"AWI"	65	585	1065	845	0	0	15	5	131	0	0	0	0	0	92	0	0	7	0	0	3	0	0	0	1	0	0	140	0	0	6	7	0	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	1	9	0	0	22	0	0	0	0	7	0	6	0	0	1	0	13	0	0	4	0	0	0	0	0	0	4	0	0	0	1
3257	4225	"Lutinière"	46.44444	-0.86222	75	"AWI"	75	633	1105	897	0	0	19	3	221	0	0	0	1	0	98	0	0	1	0	0	3	0	0	0	0	0	0	134	0	0	5	3	0	0	0	0	0	0	4	2	0	0	2	1	0	0	0	0	1	3	0	0	32	0	0	0	0	15	1	1	0	0	3	0	8	2	0	0	0	0	0	0	0	1	3	0	0	0	0
3257	4225	"Lutinière"	46.44444	-0.86222	80	"AWI"	80	656	1134	922	0	0	48	2	258	1	1	0	1	0	80	0	0	6	0	0	4	0	0	0	7	0	0	80	0	1	2	2	1	0	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	11	1	0	53	0	0	0	0	12	0	2	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	1
3257	4225	"Lutinière"	46.44444	-0.86222	82	"AWI"	82	664	1148	932	0	0	20	3	233	0	0	0	1	0	83	0	0	1	0	0	0	0	0	0	0	0	0	148	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	32	0	0	0	0	5	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	4	3	0	0	0	0
