"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Vitaceae"
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	0	"AWI"	0	-134	27	-50	2	0	4	4	3	6	2	2	4	150	5	2	37	0	11	0	246	20	218	31	22	7	11	16	7	2
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	10	"AWI"	10	-49	237	72	5	0	3	5	4	10	1	4	3	223	4	2	41	5	8	18	198	41	287	59	30	5	10	16	7	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	20	"AWI"	20	49	380	202	2	0	2	7	21	22	1	15	5	243	3	9	37	7	7	43	144	96	267	110	49	5	6	10	13	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	30	"AWI"	30	159	508	329	2	2	2	14	27	122	0	62	2	680	4	19	45	2	10	51	126	360	143	108	39	6	17	21	15	2
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	40	"AWI"	40	287	612	457	2	0	2	0	1	5	0	2	2	38	0	0	7	0	0	0	272	5	102	46	1	0	3	0	1	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	50	"AWI"	50	451	720	590	5	1	5	6	4	21	0	7	3	229	1	3	38	0	0	29	143	10	293	121	10	19	8	6	6	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	60	"AWI"	60	570	1001	749	62	0	1	5	3	3	3	3	3	103	0	1	38	0	0	14	143	1	19	58	1	0	0	3	3	0
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	70	"AWI"	70	701	1225	931	103	0	3	0	6	0	0	2	4	29	0	4	14	0	0	9	161	1	35	40	3	3	6	1	1	0
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	80	"AWI"	80	850	1426	1115	82	0	3	0	1	0	0	1	1	28	0	1	13	0	1	8	207	0	77	37	0	0	0	2	1	0
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	90	"AWI"	90	1007	1607	1301	36	0	12	1	4	13	0	3	6	320	2	3	71	0	8	24	131	10	336	88	3	13	3	3	2	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	100	"AWI"	100	1185	1781	1480	26	0	6	1	3	7	2	0	3	68	1	3	51	0	14	0	198	2	162	54	0	2	1	2	0	3
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	110	"AWI"	110	1373	1941	1661	80	0	1	2	2	0	2	5	32	55	1	0	25	0	4	0	160	1	38	51	1	6	1	2	1	2
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	120	"AWI"	120	1604	2100	1840	61	0	3	0	3	2	5	1	82	90	1	2	18	0	8	0	145	4	31	55	1	3	2	11	8	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	130	"AWI"	130	1755	2341	2018	98	0	4	0	4	7	3	2	112	38	1	2	4	0	0	8	124	2	14	70	0	6	1	4	7	0
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	140	"AWI"	140	1891	2596	2199	59	0	4	2	1	17	1	4	139	43	0	4	6	0	8	11	151	5	14	84	1	6	2	1	6	1
15824	24343	"Flambouro-Pieria mountains"	40.25944	22.17083	150	"AWI"	150	2026	2838	2381	87	1	3	4	6	20	1	7	103	68	0	3	16	6	5	0	127	1	21	64	0	1	3	3	10	0
