"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23867	41399	"Lüderholz"	51.674454	10.31037	0	"AWI"	0	-130	38	-49	3	1	101	4	0	0	2	0	51	0	0	2	0	1	1	0	3	35	0	0	2	3	25	9	0	0	1	0	2	0	3	171	70	8	225	0	0	15	56	0	0	0	99	18	3	0	1	0	0	3	2
23867	41399	"Lüderholz"	51.674454	10.31037	5	"AWI"	5	-44	610	192	0	1	58	0	1	0	0	0	21	5	0	1	0	4	1	0	16	71	0	0	8	4	56	0	0	0	0	0	0	0	20	61	14	17	151	0	0	0	265	6	0	0	5	14	0	0	0	0	0	2	0
23867	41399	"Lüderholz"	51.674454	10.31037	10	"AWI"	10	-12	1265	431	3	0	15	3	0	0	2	0	10	5	0	0	0	1	1	0	3	108	0	0	0	1	93	1	0	0	0	0	0	0	1	274	51	10	177	0	0	1	46	0	0	0	11	10	0	0	0	0	0	5	0
23867	41399	"Lüderholz"	51.674454	10.31037	20	"AWI"	20	42	2587	904	2	2	70	0	2	0	0	0	26	2	0	0	0	6	1	0	16	77	0	0	0	0	27	0	0	0	0	0	0	0	26	34	15	9	0	0	0	0	294	3	0	0	4	7	2	0	1	0	0	1	0
23867	41399	"Lüderholz"	51.674454	10.31037	29	"AWI"	29	192	3594	1346	0	0	17	0	0	0	6	0	63	6	0	0	0	1	1	0	21	62	0	0	0	0	55	1	0	0	1	0	0	0	50	3	11	14	0	0	0	0	294	3	0	0	0	1	2	0	1	0	0	1	0
23867	41399	"Lüderholz"	51.674454	10.31037	40	"AWI"	40	572	3953	2069	0	1	23	0	1	0	2	0	45	3	0	1	0	0	0	0	27	108	0	0	0	1	46	0	0	0	1	0	0	0	20	9	18	6	0	0	0	0	333	2	0	0	2	0	20	0	0	0	0	3	0
23867	41399	"Lüderholz"	51.674454	10.31037	50	"AWI"	50	796	4539	2689	3	6	73	1	0	0	4	0	35	0	0	0	0	1	1	0	77	93	0	0	0	0	164	1	0	0	0	0	0	2	68	10	32	4	0	0	0	0	78	0	1	0	0	3	12	0	0	0	0	11	0
23867	41399	"Lüderholz"	51.674454	10.31037	60	"AWI"	60	1331	5050	3236	1	5	51	1	0	0	1	3	58	0	0	0	0	0	0	0	41	84	0	0	0	0	172	1	0	0	1	0	0	0	48	14	37	0	0	0	0	0	86	0	0	0	4	2	0	0	0	0	0	4	0
23867	41399	"Lüderholz"	51.674454	10.31037	64	"AWI"	64	1634	5126	3469	0	11	65	1	0	1	4	0	1	0	0	0	0	1	0	0	147	74	0	0	0	0	18	4	0	0	0	0	0	0	3	14	40	2	0	0	0	0	92	0	0	0	3	0	3	0	0	0	0	12	0
23867	41399	"Lüderholz"	51.674454	10.31037	70	"AWI"	70	1982	5278	3846	1	9	58	0	1	2	2	0	6	0	0	0	0	0	0	0	50	65	0	0	0	0	4	5	0	0	1	0	0	0	1	19	48	2	0	0	0	0	126	0	0	0	2	0	1	0	0	1	0	17	0
23867	41399	"Lüderholz"	51.674454	10.31037	75	"AWI"	75	2212	5404	4183	1	4	55	0	1	0	3	0	14	0	0	0	0	2	0	0	161	81	0	0	0	0	8	9	0	0	0	0	0	0	0	20	40	4	0	0	0	0	110	4	0	0	1	0	0	0	0	0	0	11	0
23867	41399	"Lüderholz"	51.674454	10.31037	90	"AWI"	90	3487	5838	4972	0	1	60	0	0	2	1	0	4	0	1	0	0	0	0	0	151	1	0	0	0	0	3	10	0	0	0	0	0	0	1	22	38	0	0	0	0	0	244	0	0	0	1	0	0	0	0	0	0	17	0
23867	41399	"Lüderholz"	51.674454	10.31037	100	"AWI"	100	4668	5993	5431	0	3	37	1	0	1	1	0	12	0	0	0	0	1	0	0	177	24	0	0	0	0	2	14	0	0	0	0	0	0	0	23	47	0	0	0	0	0	207	0	0	0	1	0	0	1	0	1	0	16	1
23867	41399	"Lüderholz"	51.674454	10.31037	110	"AWI"	110	5233	6486	5929	0	9	21	1	0	2	1	0	8	0	1	0	0	1	0	0	110	24	0	0	0	0	0	13	0	0	0	0	0	0	0	10	44	0	0	0	0	0	141	0	0	0	4	0	0	0	0	0	0	57	0
23867	41399	"Lüderholz"	51.674454	10.31037	120	"AWI"	120	5482	6892	6192	0	3	27	0	0	7	2	0	8	0	0	0	0	0	0	0	105	56	0	0	0	0	0	22	0	0	0	0	0	0	0	10	77	0	0	0	0	0	90	0	0	0	3	0	0	2	0	0	0	72	0
23867	41399	"Lüderholz"	51.674454	10.31037	140	"AWI"	140	5795	8067	6678	0	0	5	0	0	2	1	0	1	0	0	0	0	0	0	0	75	7	2	0	0	0	0	11	0	0	0	0	0	0	0	2	71	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	37	0
23867	41399	"Lüderholz"	51.674454	10.31037	160	"AWI"	160	6140	8758	7280	1	3	12	1	0	3	3	0	6	0	0	0	0	0	0	0	123	1	0	0	0	2	0	18	0	0	0	0	0	0	0	2	40	0	0	0	0	0	97	0	0	0	0	0	0	2	0	0	0	53	0
23867	41399	"Lüderholz"	51.674454	10.31037	180	"AWI"	180	6603	9356	7871	0	0	6	0	0	1	2	0	10	0	0	0	0	0	0	0	45	1	0	0	0	0	0	3	0	0	0	0	0	0	0	3	89	0	0	0	0	0	133	0	0	0	1	0	3	0	0	0	0	55	0
23867	41399	"Lüderholz"	51.674454	10.31037	190	"AWI"	190	6751	9721	8169	0	1	10	0	0	3	1	0	1	0	0	0	0	0	0	0	135	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	77	0	0	0	0	0	133	0	0	0	1	0	1	5	0	0	0	66	0
23867	41399	"Lüderholz"	51.674454	10.31037	200	"AWI"	200	7094	9941	8455	0	0	5	0	0	12	1	0	3	0	0	1	0	0	0	0	157	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	38	0	0	0	0	0	0	3	0	0	0	52	0
23867	41399	"Lüderholz"	51.674454	10.31037	220	"AWI"	220	7552	10507	9039	0	0	14	0	0	8	2	0	11	0	0	2	0	0	0	0	182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	130	0	0	0	0	1	4	4	0	0	0	97	0
23867	41399	"Lüderholz"	51.674454	10.31037	240	"AWI"	240	8139	10908	9553	0	0	12	0	0	3	1	0	38	0	0	0	0	0	0	0	500	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	201	0	0	0	0	0	1	2	0	0	0	91	0
23867	41399	"Lüderholz"	51.674454	10.31037	265	"AWI"	265	8844	11420	10154	0	0	0	0	0	2	3	0	14	0	0	0	0	0	0	0	640	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	122	0	0	0	0	0	150	0	0	0	0	0	4	1	0	1	0	92	1
23867	41399	"Lüderholz"	51.674454	10.31037	270	"AWI"	270	8944	11523	10279	0	1	1	0	0	4	2	0	12	0	0	0	0	0	0	0	394	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	109	0	0	0	0	0	72	0	0	0	0	0	6	6	0	1	0	55	0
23867	41399	"Lüderholz"	51.674454	10.31037	280	"AWI"	280	9273	11740	10506	0	0	56	0	0	2	4	0	56	0	0	4	0	1	0	0	2087	10	0	0	0	0	0	2	0	0	0	1	0	0	0	0	124	0	0	0	0	0	95	0	0	0	1	0	2	0	0	1	0	95	1
23867	41399	"Lüderholz"	51.674454	10.31037	285	"AWI"	285	9460	11829	10610	0	0	0	0	0	0	5	0	18	1	0	0	0	0	0	0	866	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	283	0	0	0	0	0	135	0	0	0	0	0	5	0	0	1	0	59	2
23867	41399	"Lüderholz"	51.674454	10.31037	290	"AWI"	290	9613	11908	10718	0	0	0	0	1	0	6	0	94	0	1	0	0	0	0	0	280	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	370	0	0	0	0	0	11	0	0	0	0	0	8	0	0	1	0	17	0
23867	41399	"Lüderholz"	51.674454	10.31037	301	"AWI"	301	9873	12180	10985	0	0	0	0	0	0	5	0	177	0	0	1	0	1	0	0	29	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	1	0	0	0	6	0	10	0	0	0	0	1	2
23867	41399	"Lüderholz"	51.674454	10.31037	320	"AWI"	320	10454	12642	11453	0	0	0	0	3	0	6	0	180	0	0	2	0	0	0	0	13	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	1	0	0	0	1	1	8	0	0	0	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	340	"AWI"	340	10795	13443	11962	0	0	0	0	2	0	3	0	206	0	0	0	0	1	0	0	0	97	0	0	0	0	0	0	0	2	0	0	0	0	0	0	283	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	360	"AWI"	360	11092	14497	12441	0	0	0	0	3	0	9	0	345	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	5	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	380	"AWI"	380	11384	15332	12948	0	0	0	0	4	0	5	0	350	2	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	12	1	0	0	0	0	0	97	0	0	0	0	0	0	3	0	0	44	2	41	0	0	3	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	391	"AWI"	391	11593	15779	13238	0	0	0	0	1	0	18	0	282	5	2	0	0	2	0	2	0	38	0	0	0	1	0	0	0	18	0	0	0	0	0	0	56	0	0	0	0	0	0	16	0	0	9	2	144	0	0	5	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	400	"AWI"	400	11751	16125	13487	0	0	0	0	2	0	40	0	204	2	6	0	0	10	0	4	0	212	0	0	0	0	0	0	2	2	0	0	0	0	0	0	278	0	0	2	0	0	0	4	0	0	10	4	7	0	0	8	0	0	0
23867	41399	"Lüderholz"	51.674454	10.31037	411	"AWI"	411	11898	16626	13767	0	0	0	6	3	0	56	0	250	2	4	0	5	12	0	0	0	228	2	2	0	0	0	0	0	4	0	0	0	0	0	0	216	0	0	2	0	0	0	0	0	15	9	0	30	0	0	12	0	0	0
