"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
3314	4304	"Lake Nero"	57.18333	39.45139	0	"AWI"	0	-143	28	-64	6	3	0	4	0	57	0	0	22	3	0	0	173	123	0	7	0	6	0	0	2	4	1
3314	4304	"Lake Nero"	57.18333	39.45139	10	"AWI"	10	-79	431	89	8	2	0	0	2	34	0	1	3	0	0	0	185	88	1	7	0	4	0	0	1	5	3
3314	4304	"Lake Nero"	57.18333	39.45139	20	"AWI"	20	-55	915	234	23	3	0	3	1	86	0	0	3	3	0	0	66	35	0	12	0	15	0	2	2	6	11
3314	4304	"Lake Nero"	57.18333	39.45139	30	"AWI"	30	-35	1398	378	5	1	0	0	0	31	1	0	3	2	0	1	198	57	1	13	0	8	1	0	0	7	3
3314	4304	"Lake Nero"	57.18333	39.45139	40	"AWI"	40	-17	1880	521	20	0	0	2	0	43	0	0	6	0	0	0	160	50	0	8	2	20	0	0	1	8	8
3314	4304	"Lake Nero"	57.18333	39.45139	50	"AWI"	50	107	2058	721	19	1	0	3	0	25	0	0	9	0	0	0	186	33	0	7	0	17	0	0	0	6	8
3314	4304	"Lake Nero"	57.18333	39.45139	60	"AWI"	60	180	2262	928	4	0	0	0	0	7	0	0	1	0	0	0	416	23	0	1	0	7	0	0	1	1	0
3314	4304	"Lake Nero"	57.18333	39.45139	70	"AWI"	70	238	2586	1119	4	0	0	1	0	8	0	0	1	0	0	0	290	11	0	1	0	4	0	0	0	1	0
3314	4304	"Lake Nero"	57.18333	39.45139	80	"AWI"	80	288	3003	1308	7	0	0	0	0	21	0	0	4	0	0	0	282	31	0	2	0	13	0	0	1	3	4
3314	4304	"Lake Nero"	57.18333	39.45139	90	"AWI"	90	478	3138	1503	22	0	0	1	0	20	0	0	5	1	0	0	179	25	0	3	0	12	0	0	2	9	5
3314	4304	"Lake Nero"	57.18333	39.45139	100	"AWI"	100	591	3303	1702	17	0	1	1	0	19	0	0	8	0	0	1	194	55	0	9	0	21	0	0	2	10	12
3314	4304	"Lake Nero"	57.18333	39.45139	110	"AWI"	110	675	3509	1899	2	0	0	0	0	11	0	0	2	0	1	0	279	31	0	1	0	5	0	0	0	1	1
3314	4304	"Lake Nero"	57.18333	39.45139	120	"AWI"	120	745	3804	2099	9	0	0	3	0	28	1	0	5	0	0	0	270	35	0	3	0	20	0	0	2	2	5
3314	4304	"Lake Nero"	57.18333	39.45139	130	"AWI"	130	942	3936	2288	2	0	0	1	0	7	0	0	3	0	0	1	300	15	0	1	0	3	0	0	0	1	2
3314	4304	"Lake Nero"	57.18333	39.45139	140	"AWI"	140	1075	4092	2482	5	0	0	1	0	16	0	0	2	0	0	0	213	16	0	5	0	6	0	0	1	1	4
3314	4304	"Lake Nero"	57.18333	39.45139	150	"AWI"	150	1195	4289	2686	6	0	0	1	0	18	0	0	6	0	0	1	430	92	0	7	0	6	0	0	0	7	8
3314	4304	"Lake Nero"	57.18333	39.45139	160	"AWI"	160	1281	4526	2883	5	0	0	0	0	17	0	0	4	0	0	0	200	26	0	3	0	10	0	0	0	4	7
3314	4304	"Lake Nero"	57.18333	39.45139	170	"AWI"	170	1553	4634	3075	16	0	0	3	0	22	0	0	1	0	0	2	214	31	0	4	0	5	0	0	1	6	11
3314	4304	"Lake Nero"	57.18333	39.45139	180	"AWI"	180	1771	4777	3282	12	0	0	0	0	17	0	0	3	0	0	0	390	31	0	0	0	3	0	0	0	3	4
