"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	10	"AWI"	10	-58	584	178	0	0	15	40	4	50	0	4	10	0	0	0	4	1	0	2	1	1	0	0	0	0	1	0	0	0	0	64	0	0	0	0	3	7	0	1	3	0	4	0	1	0	1	0	1
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	20	"AWI"	20	71	810	435	0	0	16	37	3	70	0	2	7	0	4	0	3	3	0	0	0	1	0	0	0	0	1	0	0	0	1	68	0	0	0	0	2	8	0	1	3	0	7	0	0	0	1	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	30	"AWI"	30	307	999	718	0	0	11	24	4	53	28	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	77	0	1	5	0	1	3	0	1	0	0	0	2	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	40	"AWI"	40	800	1129	971	0	0	160	69	11	243	0	8	75	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	112	0	0	0	0	16	46	0	6	17	0	19	0	0	0	2	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	50	"AWI"	50	943	1648	1198	0	0	30	14	1	82	19	3	6	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	1	29	0	0	0	0	2	2	0	3	1	0	3	0	1	0	3	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	60	"AWI"	60	1095	1945	1475	0	0	29	28	1	65	0	4	19	0	0	0	3	6	0	1	0	1	0	0	1	0	0	0	0	0	0	117	0	0	0	0	3	8	0	2	2	0	5	0	0	0	3	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	70	"AWI"	70	1291	2130	1749	1	0	18	12	1	53	0	3	12	0	0	0	1	3	0	0	0	1	4	0	0	0	0	0	0	0	1	42	0	0	0	0	1	13	0	3	7	0	4	0	1	0	1	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	90	"AWI"	90	1995	2376	2226	0	0	17	18	0	60	0	2	9	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	188	0	0	0	0	2	7	0	1	4	0	6	0	1	0	1	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	100	"AWI"	100	2206	3220	2565	0	0	17	37	5	56	20	3	4	0	0	0	1	6	0	0	0	0	0	0	2	0	0	0	0	1	0	149	0	0	79	0	2	8	0	1	3	0	14	0	0	0	3	0	0
1403	45320	"Kardashinski Swamp"	46.51667	32.61667	110	"AWI"	110	2424	3661	2974	0	0	19	23	1	67	0	4	4	0	0	0	7	2	0	1	0	1	0	0	0	1	0	0	0	5	1	134	0	0	0	0	14	12	0	1	2	0	5	0	0	0	3	0	0
