"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malus"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16302	25283	"La Grande Basse"	48.04833	6.95139	0.5	"AWI"	0.5	-131	26.5	-50	58	5	77	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	0	0	15	0	0	0	0	42	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	17	13	0	0	0	2	0	0	17	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	5.5	"AWI"	5.5	-88	149.5	8.5	32	4	502	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	32	0	0	73	0	0	0	0	47	0	15	0	0	0	0	0	0	0	0	0	0	0	10	0	74	50	0	0	0	1	0	0	61	0	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	9.5	"AWI"	9.5	-56.5	226	61	26	0	63	3	0	0	2	0	0	0	0	2	0	2	0	0	2	0	0	21	0	0	12	0	0	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	37	46	0	0	0	0	0	0	33	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	13.5	"AWI"	13.5	-20	294	113	17	0	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	13	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	30	19	0	0	0	1	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0
16302	25283	"La Grande Basse"	48.04833	6.95139	17.5	"AWI"	17.5	19	357	165.5	21	2	55	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	12	1	0	17	0	0	0	0	39	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	33	26	0	0	0	1	0	2	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	21.5	"AWI"	21.5	58	422	219	16	1	20	0	0	0	0	0	0	0	0	5	0	3	0	0	0	2	0	9	0	0	52	0	0	0	0	65	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	24	11	0	0	0	1	0	0	24	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	25.5	"AWI"	25.5	97	479	272	31	3	11	0	0	0	1	0	0	0	0	1	0	6	0	0	0	0	0	12	0	0	37	0	0	0	0	51	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	14	13	0	0	0	1	0	0	8	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	29.5	"AWI"	29.5	144.5	530.5	325	30	0	21	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	26	0	0	0	0	61	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	25	11	0	0	0	3	0	0	27	0	0	1	0	1	2	0	0	0	0	0	0	0	3	0	0
16302	25283	"La Grande Basse"	48.04833	6.95139	33.5	"AWI"	33.5	193.5	577.5	379	26	0	22	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	5	0	0	51	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	16	0	0	0	2	0	0	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
16302	25283	"La Grande Basse"	48.04833	6.95139	37.5	"AWI"	37.5	244	628	431	134	5	42	2	0	0	0	0	0	0	0	1	0	13	0	0	2	0	0	16	0	0	31	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	35	19	0	0	0	1	0	0	57	0	0	3	0	2	0	0	0	0	0	0	0	0	54	0	0
