"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Iridaceae"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
3096	4031	"Lake Ermistu"	58.36667	23.96667	149	"AWI"	149	2190	4370	3222	0	16.1490683229814	0	0	1.0351966873706	0	0	28.7784679089027	0	0	0	0	3.93374741200828	0.82815734989648	0	1.24223602484472	0	0	0	0.20703933747412	0.20703933747412	0	0	13.6645962732919	28.5714285714286	0	2.48447204968944	0	0	0	1.0351966873706	0.20703933747412	0	0	0	0.41407867494824	0	0	0.62111801242236	0.62111801242236	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	154	"AWI"	154	2306	4476	3336	0	13.7931034482759	0	0	0.28735632183908	0	0	29.8850574712644	0	0.28735632183908	0	0	0.574712643678161	0	0	0.28735632183908	0	0	0	0	0	0	0	15.2298850574713	34.7701149425287	0.574712643678161	2.01149425287356	0	0.28735632183908	0	1.4367816091954	0	0	0	0	0.28735632183908	0	0	0	0.28735632183908	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	159	"AWI"	159	2393	4596	3441	0	16.3157894736842	0.263157894736842	0.263157894736842	0.263157894736842	0	0	24.4736842105263	0	0	0	0	3.15789473684211	0	0	1.05263157894737	0	0	0	0.789473684210526	0	0	0	13.4210526315789	32.8947368421053	0	2.89473684210526	0	0	0	2.63157894736842	0	0	0	0	0.263157894736842	0	0	0.263157894736842	1.05263157894737	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	164	"AWI"	164	2502	4709	3554	0	22.6086956521739	0	0	0.579710144927536	0.289855072463768	0	22.6086956521739	0	0	0	0	2.89855072463768	0.289855072463768	0	1.15942028985507	0	0	0	0	0	0	0	17.1014492753623	30.1449275362319	0	0	0	0	0	1.44927536231884	0	0	0	0	0	0	0	0	0	0.869565217391304
3096	4031	"Lake Ermistu"	58.36667	23.96667	169	"AWI"	169	2602	4817	3674	0	19.7435897435897	0	0	0.512820512820513	0	0	24.8717948717949	0	0	0	0	2.30769230769231	0	0	1.02564102564103	0	0	0	0	0	0	0.512820512820513	13.3333333333333	32.0512820512821	0	3.07692307692308	0	0	0	1.02564102564103	0	0	0	0	0	0	0	0.769230769230769	0.512820512820513	0.256410256410256
3096	4031	"Lake Ermistu"	58.36667	23.96667	172	"AWI"	172	2673	4892	3740	0	17.6610978520286	0	0	0	0	0	24.1050119331742	0	0.238663484486874	0	0	5.01193317422434	0	0	1.43198090692124	0	0	0	0.477326968973747	0	0	0	13.126491646778	30.7875894988067	0	2.14797136038186	0	0.477326968973747	0	1.19331742243437	0	0	0	0	0	0	0.238663484486874	0.715990453460621	2.38663484486873	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	179	"AWI"	179	2791	5066	3891	0	20.343137254902	0.245098039215686	0	0	0	0	30.1470588235294	0	1.22549019607843	0	0	3.43137254901961	0.245098039215686	0	1.22549019607843	0	0	0	0.490196078431373	0	0	0	14.7058823529412	23.5294117647059	0	0.980392156862745	0	0.490196078431373	0	2.20588235294118	0	0	0	0	0	0	0	0.245098039215686	0.490196078431373	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	184	"AWI"	184	2901	5178	4002	0	19.1441441441441	0.225225225225225	0	0.225225225225225	0	0	30.4054054054054	0	0.900900900900901	0	0	5.18018018018018	0	0	0.45045045045045	0	0	0	0.900900900900901	0	0	0	15.0900900900901	20.9459459459459	0	0	0	0.45045045045045	0	2.25225225225225	0	0	0	0	0.45045045045045	0	0	1.35135135135135	1.57657657657658	0.45045045045045
3096	4031	"Lake Ermistu"	58.36667	23.96667	189	"AWI"	189	2990	5304	4108	0	25.3101736972705	0	0	0.248138957816377	0	0	26.7990074441687	0	0.248138957816377	0	0	5.70719602977668	0	0	1.24069478908189	0	0	0	0.744416873449132	0	0	0	10.6699751861042	19.6029776674938	0	1.24069478908189	0	0.248138957816377	0	4.46650124069479	0.496277915632754	0	0	0	0	0	0	1.48883374689826	1.48883374689826	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	194	"AWI"	194	3121	5413	4224	0	22.5118483412322	0.4739336492891	0	0.4739336492891	0	0	29.3838862559242	0	0.23696682464455	0	0	6.16113744075829	0	0.23696682464455	0.4739336492891	0	0	0	0.710900473933649	0	0	0.23696682464455	15.4028436018957	15.4028436018957	0	2.13270142180095	0	0.4739336492891	0	2.60663507109005	0	0	0	0	0.23696682464455	0	0	0.4739336492891	2.3696682464455	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	199	"AWI"	199	3222	5528	4341	0	22.5888324873096	0	0	0.253807106598985	0	0	30.4568527918782	0	0	0	0	1.52284263959391	0	0	0.761421319796954	0	0	0	0.761421319796954	0	0	0	15.7360406091371	21.3197969543147	0	0	0	1.01522842639594	0	2.79187817258883	0.253807106598985	0	0	0	0.253807106598985	0	0	0.761421319796954	1.52284263959391	0
3096	4031	"Lake Ermistu"	58.36667	23.96667	204	"AWI"	204	3343	5635	4447	0	19.9551569506726	0	0	0	0	0	27.3542600896861	0	0	0	0	3.1390134529148	0	0	1.79372197309417	0	0	0	0.448430493273543	0	0	0.224215246636771	15.2466367713004	21.9730941704036	0	0	0	0.896860986547085	0	4.48430493273543	0	0	0	0	0.224215246636771	0	0	0.896860986547085	3.36322869955157	0
