"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16314	25308	"Sources de l'Yonne"	46.95639	4.01	40	"AWI"	40	402	677	571	0	0	0	13	1	5	0	0	0	13	0	0	0	0	0	0	7	4	14	69	0	0	0	178	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	33	0	0	0	1	0	1	0	0	4	0	0	0	1	0	0	2	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	44	"AWI"	44	517	712	628	0	0	0	10	0	2	0	1	0	36	0	0	0	0	2	0	1	0	30	27	0	0	0	173	0	1	0	0	0	0	1	2	0	0	0	0	3	0	0	2	0	0	0	0	2	0	0	42	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	3	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	48	"AWI"	48	612	805	714	0	0	0	15	1	0	0	0	0	60	1	1	0	0	0	0	0	0	52	55	0	0	0	134	0	2	0	0	0	0	1	2	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	28	0	0	0	4	0	13	0	0	0	0	0	0	0	0	1	2	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	52	"AWI"	52	723	929	815	1	0	0	14	0	2	0	3	0	151	1	0	0	0	0	0	0	0	82	13	0	0	0	96	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	28	0	0	0	4	0	2	0	0	0	0	3	2	0	0	1	1	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	56	"AWI"	56	820	1069	944	0	1	0	15	1	1	0	2	0	269	2	0	0	0	2	0	2	0	104	30	0	0	0	88	0	0	1	0	1	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	2	46	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	1	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	60	"AWI"	60	873	1409	1073	1	0	0	71	1	2	0	3	0	34	0	0	0	0	6	0	1	0	44	56	0	0	0	65	0	5	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	63	0	0	0	12	0	22	0	1	0	0	0	0	1	0	1	6	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	64	"AWI"	64	978	1575	1240	1	0	0	18	0	3	0	2	0	10	1	0	0	0	0	0	3	0	32	58	0	0	0	188	0	4	0	0	0	0	0	0	0	1	0	0	2	4	0	1	0	0	0	0	0	0	0	112	0	0	0	16	0	12	0	1	1	0	0	0	0	0	0	5	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	68	"AWI"	68	1105	1722	1407	0	0	0	32	0	15	1	2	0	17	1	0	0	0	4	0	0	0	49	43	0	0	0	132	0	11	0	0	0	0	1	1	0	0	1	1	4	10	0	2	0	0	0	0	0	0	1	117	0	0	0	28	0	24	0	0	1	0	1	0	0	0	1	2	0	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	72	"AWI"	72	1252	1857	1571	1	1	0	65	2	8	0	0	0	15	1	0	0	0	6	0	1	0	69	30	0	0	0	88	0	4	0	0	0	0	1	2	0	0	1	1	4	0	0	4	0	0	0	0	0	0	1	88	0	0	0	9	0	27	0	0	0	0	0	0	0	0	3	4	1	0
16314	25308	"Sources de l'Yonne"	46.95639	4.01	76	"AWI"	76	1428	1959	1729	0	1	0	81	1	6	0	1	0	36	1	0	0	0	0	0	1	0	98	25	0	0	0	87	0	9	0	0	0	0	0	2	0	0	0	0	7	1	0	6	0	0	0	0	0	0	0	87	14	0	0	14	0	23	0	0	0	0	0	0	0	0	1	1	0	0
