"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"
14458	22630	"Domsjön"	58.30954	12.422036	1119	"AWI"	1119	10195	11811	11120	0	7	1	5	0	125	0	0	0	2	0	0	0	9	1	0	0	0	0	0	7	808	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1126	"AWI"	1126	10564	11993	11366	27	1	2	40	0	970	2	0	0	0	0	0	444	23	1	0	58	0	1	29	0	1078	0	0	0	0	0	1	21	1	0	0	0	32	0	0	0	0	14
14458	22630	"Domsjön"	58.30954	12.422036	1130	"AWI"	1130	10749	12106	11510	1	33	0	187	0	254	0	0	0	12	2	0	6	29	0	0	8	0	0	2	1	1208	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	1
14458	22630	"Domsjön"	58.30954	12.422036	1134	"AWI"	1134	10918	12241	11651	0	9	0	48	0	0	0	0	0	0	2	0	2	13	0	0	4	0	0	0	1	158	0	0	0	0	0	0	0	3	0	0	7	8	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1140	"AWI"	1140	11163	12419	11860	0	11	0	44	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	101	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1148	"AWI"	1148	11484	12654	12151	0	23	1	45	0	0	0	0	0	2	2	0	0	15	0	0	0	0	0	1	0	1193	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1152	"AWI"	1152	11670	12749	12294	0	17	0	105	0	112	0	0	0	3	2	0	0	20	0	0	0	0	0	8	0	725	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1164	"AWI"	1164	12191	13066	12717	3	57	10	268	0	484	0	0	0	5	0	0	2	5	0	0	0	0	0	1	0	237	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1168	"AWI"	1168	12455	13150	12857	1	52	4	240	0	448	0	0	0	6	0	0	0	3	0	0	0	0	0	2	0	223	0	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1172	"AWI"	1172	12723	13240	12987	0	71	2	150	0	183	0	0	0	9	1	9	2	2	0	0	2	0	0	1	1	300	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
14458	22630	"Domsjön"	58.30954	12.422036	1174	"AWI"	1174	12821	13292	13058	4	52	15	228	0	356	0	0	0	5	2	0	2	5	0	0	12	0	0	1	7	1006	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1176	"AWI"	1176	12944	13366	13158	1	5	1	37	0	118	0	0	0	2	0	0	0	4	0	0	0	0	0	1	9	1208	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1178	"AWI"	1178	13006	13499	13260	0	1	1	14	0	135	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1404	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
14458	22630	"Domsjön"	58.30954	12.422036	1180	"AWI"	1180	13113	13612	13357	0	8	2	55	0	230	0	0	0	4	0	0	3	5	0	0	0	0	0	0	0	1343	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2
