"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
23668	40951	"Steerenmoos"	47.805382	8.19972	0	"AWI"	0	-162	19	-55	4	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	8	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	2	"AWI"	2	-135	47	-33	14	0	22	1	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	29	2	0	0	0	0	0	49	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	140	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	4	"AWI"	4	-119	89	-12	3	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	4	0	2	0	0	0	0	9	0	1	0	0	0	0	0	0	0	2	0	55	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	6	"AWI"	6	-107	142	8	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	8	"AWI"	8	-100	198	26	2	0	0	1	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	6	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	79	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	10	"AWI"	10	-89	258	45	19	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	29	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	366	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	12	"AWI"	12	-70	271	66	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	57	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	14	"AWI"	14	-57	291	89	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23668	40951	"Steerenmoos"	47.805382	8.19972	16	"AWI"	16	-45	314	111	21	0	0	1	0	0	0	5	0	0	30	3	0	0	0	0	0	3	0	0	25	6	0	0	30	0	0	20	0	8	0	0	0	0	5	0	3	0	0	0	0	0	0	0	9	0	132	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	22	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0
23668	40951	"Steerenmoos"	47.805382	8.19972	18	"AWI"	18	-34	343	132	10	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	15	4	0	0	145	0	0	34	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	251	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
