"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liriodendron"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13444	20160	"Notsel"	51.55417	4.76944	138	"AWI"	138	12851	13257	13027	0	0	2	0	0	4	0	42	0	0	0	0	0	0	1	144	0	0	0	0	0	1	0	0	0	0	0	0	0	89	0	8	0	0	4	0	0	0	1	0	6	0	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	139	"AWI"	139	12872	13266	13042	0	0	3	1	1	3	0	32	0	0	0	0	0	0	1	121	4	0	0	0	0	1	0	0	0	0	0	1	1	104	0	23	0	0	4	0	0	0	1	0	4	1	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	140	"AWI"	140	12891	13272	13056	0	0	0	2	2	5	0	76	0	0	1	0	0	0	8	140	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	11	0	0	3	0	0	0	2	0	14	2	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	141	"AWI"	141	12909	13280	13070	0	0	0	0	0	3	0	10	0	0	0	0	0	0	1	56	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	142	"AWI"	142	12926	13288	13085	0	0	3	0	0	3	0	38	1	0	0	0	0	0	1	218	0	0	0	0	0	7	0	0	1	0	1	0	0	57	0	14	0	0	2	0	0	0	3	0	3	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	143	"AWI"	143	12939	13299	13098	0	0	0	0	0	5	0	14	0	0	0	0	0	0	0	208	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	19	0	0	2	0	0	0	2	0	13	1	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	144	"AWI"	144	12951	13313	13113	0	0	2	0	2	3	0	34	1	0	1	0	0	0	3	215	3	0	0	0	0	4	0	0	0	0	0	0	1	21	0	36	0	0	2	0	0	0	5	0	14	2	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	145	"AWI"	145	12965	13330	13127	0	0	0	0	2	1	0	7	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	146	"AWI"	146	12976	13346	13141	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	44	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	147	"AWI"	147	12987	13362	13155	0	0	0	1	1	1	0	22	1	0	0	0	0	0	0	343	3	0	0	0	0	1	0	0	0	0	0	0	0	46	0	46	1	0	4	0	1	0	2	0	4	1	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	148	"AWI"	148	12997	13384	13170	0	0	2	0	0	1	0	31	1	0	5	0	0	0	1	371	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	28	0	0	2	0	0	0	3	0	9	1	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	149	"AWI"	149	13007	13409	13183	0	0	1	0	0	2	0	14	0	0	0	0	0	0	0	230	0	0	0	0	0	1	0	0	0	0	0	0	0	13	0	29	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	150	"AWI"	150	13014	13432	13197	0	0	0	0	1	3	0	48	6	0	0	0	0	0	1	426	0	0	0	1	0	5	0	0	1	0	0	0	0	53	0	24	0	1	0	0	1	0	2	0	9	2	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	151	"AWI"	151	13022	13461	13211	0	0	0	0	0	4	0	16	2	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	25	0	0	2	0	0	0	2	0	15	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	152	"AWI"	152	13029	13488	13224	0	0	1	0	0	4	0	35	4	0	4	0	0	0	2	778	3	0	0	0	0	7	0	0	1	0	0	0	0	32	0	41	0	0	4	0	1	0	5	0	19	3	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	153	"AWI"	153	13149	13556	13315	0	0	0	0	0	4	0	30	0	0	0	0	0	0	0	232	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	19	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	154	"AWI"	154	13263	13624	13404	0	0	1	0	1	8	0	54	2	0	0	0	1	0	5	368	0	0	0	0	0	6	0	0	0	0	0	0	0	35	0	24	0	0	1	0	1	0	2	0	10	0	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	155	"AWI"	155	13372	13693	13496	0	0	0	0	1	2	0	43	1	0	0	0	0	0	2	125	0	0	0	0	0	2	0	0	0	0	0	0	0	122	0	6	0	0	1	0	0	0	1	0	3	0	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	156	"AWI"	156	13476	13762	13591	0	0	1	0	0	2	0	47	1	0	0	0	0	0	0	118	0	0	0	0	0	1	0	0	0	0	0	0	0	58	0	8	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	157	"AWI"	157	13573	13833	13688	0	0	0	1	2	11	0	31	5	0	0	0	1	0	7	240	0	0	0	0	0	3	0	0	0	0	0	0	0	23	0	21	0	0	0	0	0	0	3	0	17	3	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	158	"AWI"	158	13662	13919	13777	0	0	0	1	0	20	0	79	0	0	0	0	0	0	0	1118	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	28	0	0	0	2	0	0	0	1	18	0	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	159	"AWI"	159	13743	14020	13868	0	0	0	0	0	15	0	59	2	0	0	0	0	0	2	705	0	0	0	0	0	7	0	0	1	0	0	0	0	7	0	35	0	0	4	3	0	0	2	0	18	2	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	160	"AWI"	160	13818	14138	13960	0	0	0	0	0	2	0	18	0	0	0	0	0	0	2	174	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	161	"AWI"	161	13890	14265	14055	0	0	1	2	0	21	0	59	0	0	5	0	0	0	6	1014	0	0	0	0	0	4	0	0	3	0	0	0	0	3	0	26	0	0	1	0	0	0	5	0	13	0	0	8	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	162	"AWI"	162	13962	14393	14149	0	0	1	1	0	6	0	13	0	0	0	0	1	0	0	239	0	0	0	0	0	1	0	0	0	0	0	0	1	7	0	10	1	0	4	0	0	0	0	0	13	2	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	163	"AWI"	163	14029	14524	14242	0	0	0	0	0	5	0	39	0	0	0	0	1	0	3	515	0	0	0	0	0	11	0	0	0	0	0	0	0	5	0	17	0	0	1	0	0	0	0	2	21	1	0	4	0	0	1
13444	20160	"Notsel"	51.55417	4.76944	164	"AWI"	164	14097	14655	14335	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	4	0	0	0	1	0	10	0	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	165	"AWI"	165	14160	14782	14428	0	0	0	0	0	9	0	19	0	0	0	0	2	0	1	419	0	0	0	0	1	9	0	0	2	0	0	0	0	6	0	23	0	0	0	0	1	0	2	1	27	2	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	166	"AWI"	166	14226	14913	14521	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	167	"AWI"	167	14291	15046	14614	1	0	0	0	0	21	0	34	0	0	2	0	0	0	2	1215	0	0	0	0	0	25	0	0	1	0	0	0	0	2	0	29	0	0	0	2	0	0	3	1	24	1	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	168	"AWI"	168	14327	15069	14644	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	265	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	11	0	0	0	0	0	0	0	0	16	0	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	169	"AWI"	169	14353	15093	14672	0	0	1	1	0	11	0	31	2	0	0	0	0	0	1	387	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	45	0	0	0	3	0	0	5	0	28	0	0	5	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	170	"AWI"	170	14370	15127	14702	0	0	1	0	0	8	0	42	0	0	0	0	1	0	1	325	5	0	0	0	0	1	0	0	0	0	0	0	0	5	0	53	0	0	1	0	2	0	3	1	25	0	0	3	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	171	"AWI"	171	14390	15168	14729	0	0	4	0	0	3	2	28	3	0	0	0	0	0	4	292	8	0	0	0	0	0	0	0	0	0	0	0	0	16	0	46	0	0	1	1	2	0	1	0	29	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	172	"AWI"	172	14407	15204	14757	0	0	2	0	0	2	0	22	1	0	0	0	0	0	2	288	0	0	0	0	0	1	0	0	0	0	0	0	1	30	0	36	0	0	0	1	3	0	1	0	30	2	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	173	"AWI"	173	14426	15251	14784	0	0	12	0	0	1	0	17	0	0	0	0	0	0	1	210	5	0	0	0	0	1	0	0	1	0	0	0	3	47	0	31	0	0	0	1	1	0	0	0	9	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	174	"AWI"	174	14447	15307	14811	1	0	25	0	2	4	4	24	1	0	0	0	0	0	4	99	6	0	0	0	0	1	0	0	0	0	0	0	1	82	0	41	0	0	0	1	1	0	2	0	5	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	175	"AWI"	175	14458	15377	14839	0	0	26	0	0	1	0	30	1	0	0	0	0	0	3	95	0	0	0	0	0	0	0	0	0	0	0	2	4	78	0	41	0	0	1	2	0	0	0	0	5	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	176	"AWI"	176	14467	15441	14866	3	0	25	0	1	3	0	19	0	0	0	0	0	0	3	82	35	0	0	0	0	0	0	1	2	0	0	0	3	95	0	41	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	177	"AWI"	177	14479	15514	14894	1	0	26	2	1	0	0	18	0	0	0	0	0	0	3	92	0	0	0	0	0	0	0	1	0	0	0	1	2	101	0	44	0	0	0	2	1	0	1	0	1	0	0	0	0	1	0
13444	20160	"Notsel"	51.55417	4.76944	178	"AWI"	178	14488	15589	14924	4	0	16	1	2	2	0	14	0	0	0	0	1	0	6	98	25	0	0	0	0	0	0	1	0	0	0	0	4	118	0	37	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	179	"AWI"	179	14502	15669	14953	0	0	17	0	1	2	0	18	0	0	0	0	2	0	4	103	0	0	0	0	0	1	0	0	0	0	0	2	2	99	0	38	0	0	0	2	2	0	0	0	4	0	0	0	1	0	0
13444	20160	"Notsel"	51.55417	4.76944	180	"AWI"	180	14511	15747	14981	1	0	22	0	0	1	4	23	0	0	0	0	0	0	2	103	0	0	0	0	0	0	0	1	0	0	0	0	0	82	0	35	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0
