"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
11582	17344	"Diheen"	52.369384	-8.170892	2	"AWI"	2	-20	-6	-10	0	14.6718146718147	0	0.772200772200772	0.386100386100386	0.772200772200772	0	4.24710424710425	0	1.54440154440154	0	0	0.386100386100386	0	42.0849420849421	5.40540540540541	0	0	0	1.54440154440154	0	0	0	0.386100386100386	0	0.386100386100386	0	0	10.03861003861	4.24710424710425	0	0	8.88030888030888	1.15830115830116	0	1.15830115830116	0	0.386100386100386	0	0	0	0	0	1.54440154440154	0
11582	17344	"Diheen"	52.369384	-8.170892	5	"AWI"	5	1	7	4	0.382409177820268	12.2370936902486	0	0.764818355640535	0	0.382409177820268	0	6.50095602294455	0	1.52963671128107	0	0	0	0	44.359464627151	1.52963671128107	0	0	0.382409177820268	1.52963671128107	0	0	0	0	0	0.382409177820268	0	0.382409177820268	11.2810707456979	4.97131931166348	0	0	5.73613766730401	0.382409177820268	0	4.20650095602294	0	0.382409177820268	0	0	1.1472275334608	0	0	1.52963671128107	0
11582	17344	"Diheen"	52.369384	-8.170892	10	"AWI"	10	48	56	54	0	5.90604026845638	0.268456375838926	0	0	0.268456375838926	0	1.87919463087248	0	0	0	0	0	0	27.6510067114094	1.34228187919463	0	0	0	1.0738255033557	0	0	0.268456375838926	0	0	0	0	0	4.16107382550336	4.29530201342282	43.758389261745	0	4.29530201342282	0.536912751677852	0	2.41610738255034	0	0	0	0	0.268456375838926	0	0	1.61073825503356	0
11582	17344	"Diheen"	52.369384	-8.170892	15	"AWI"	15	131	138	135	0	7.94297352342159	0.203665987780041	0.610997963340122	0	0.203665987780041	0	2.64765784114053	0.814663951120163	0.814663951120163	0	0	0	0	28.7169042769857	2.03665987780041	0	0	0.407331975560081	0.203665987780041	0	0	0.203665987780041	0	0	0.203665987780041	0	0	0.610997963340122	2.44399185336049	41.1405295315682	0	4.88798370672098	0.407331975560081	2.44399185336049	1.62932790224033	0	0	0	0	0.203665987780041	0	0	1.22199592668024	0
11582	17344	"Diheen"	52.369384	-8.170892	18	"AWI"	18	137	177	146	0	6.32603406326034	0	0.72992700729927	0.24330900243309	0	0	1.70316301703163	0	0.48661800486618	0	0	0	0	29.4403892944039	4.8661800486618	0	0	0	0.72992700729927	0	0	0	0	0	0.24330900243309	0	0	1.70316301703163	4.62287104622871	39.6593673965937	0	5.83941605839416	0.72992700729927	0	1.45985401459854	0	0	0	0	0.24330900243309	0	0	0.97323600973236	0
11582	17344	"Diheen"	52.369384	-8.170892	22	"AWI"	22	144	201	163	0	10.1910828025478	0	0	0	0.424628450106157	0	2.54777070063694	0	1.27388535031847	0	0	0	0.424628450106157	50.9554140127389	7.64331210191083	0	0	0	1.69851380042463	0	0	0	0	0	0.424628450106157	0	0	6.58174097664544	7.64331210191083	0	0	4.24628450106157	0.424628450106157	2.12314225053079	1.27388535031847	0	0	0	0	0.424628450106157	0	0.424628450106157	1.27388535031847	0
11582	17344	"Diheen"	52.369384	-8.170892	27	"AWI"	27	156	231	185	0	13.9720558882236	0.399201596806387	0.399201596806387	0	0	0	4.39121756487026	0	2.39520958083832	0	0	0.399201596806387	0	53.0938123752495	2.79441117764471	0	0	0	1.99600798403194	0	0	0	0	0	0.798403193612774	0	0	2.19560878243513	5.98802395209581	0	0	4.79041916167665	0.798403193612774	0	3.59281437125748	0	0	0	0	0.399201596806387	0.399201596806387	0	1.19760479041916	0
11582	17344	"Diheen"	52.369384	-8.170892	32	"AWI"	32	170	259	206	0	16.3793103448276	0.431034482758621	0	0	0.431034482758621	3.01724137931034	3.87931034482759	0	0.862068965517241	0	0	0	0	49.5689655172414	3.01724137931034	0	0	0	0.862068965517241	0	0	0	0	0	0.431034482758621	0	0	1.29310344827586	5.17241379310345	0	0	9.48275862068965	0.431034482758621	0	3.01724137931034	0	0.431034482758621	0	0	0	0	0	1.29310344827586	0
11582	17344	"Diheen"	52.369384	-8.170892	35	"AWI"	35	180	274	219	0	11.7948717948718	0.512820512820513	2.05128205128205	0	0	0	3.58974358974359	0	2.05128205128205	0.512820512820513	1.02564102564103	0	0	42.5641025641026	7.69230769230769	0	0	0	1.53846153846154	0	0	0	0	0	0	0	0	1.53846153846154	8.2051282051282	0	0	4.1025641025641	2.05128205128205	6.15384615384615	2.05128205128205	0	0.512820512820513	0	0	1.02564102564103	0	0	1.02564102564103	0
11582	17344	"Diheen"	52.369384	-8.170892	38	"AWI"	38	189	290	232	0	11.9540229885057	0	2.75862068965517	0	0.459770114942529	0	2.75862068965517	0	2.29885057471264	0	0	0.919540229885057	0	41.3793103448276	6.4367816091954	0	0	0	0.459770114942529	0	0	0	0	0	0	0	0	1.60919540229885	7.35632183908046	0	0	8.73563218390805	0.459770114942529	8.73563218390805	1.83908045977011	0	0.919540229885057	0	0	0.459770114942529	0	0	0.459770114942529	0
