"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14627	22936	"Alsópáhok"	46.77444	17.17028	485	"AWI"	485	12185	14584	13320	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
14627	22936	"Alsópáhok"	46.77444	17.17028	20	"AWI"	20	-68	359	78	8	1	21	10	0	0	6	0	6	1	4	0	2	0	0	0	0	2	0	89	0	0	0	0	0	8	3	0	2	0	1	0	0	0	37	0	0	8	8	31	0	183	0	0	33	0	0	0	13	8	4	0	0	2	0	1	0	0
14627	22936	"Alsópáhok"	46.77444	17.17028	25	"AWI"	25	-61	455	110	6	0	22	12	0	0	7	0	13	0	1	0	3	0	0	0	0	3	0	76	0	0	0	0	0	10	0	0	5	0	3	0	0	0	1	0	0	0	1	34	0	189	0	0	22	18	0	0	54	5	4	0	0	0	0	2	0	0
14627	22936	"Alsópáhok"	46.77444	17.17028	30	"AWI"	30	-54	553	141	1	0	38	13	0	0	19	0	3	1	4	0	20	0	0	0	0	19	0	7	0	0	0	0	0	9	0	0	0	1	1	0	0	0	2	0	0	10	2	10	0	184	0	0	20	0	0	0	120	7	2	0	0	0	1	5	6	1
14627	22936	"Alsópáhok"	46.77444	17.17028	35	"AWI"	35	-26	605	177	7	1	41	2	0	5	28	0	8	0	2	0	0	0	0	0	0	13	0	28	0	0	0	0	0	26	1	1	1	1	3	0	0	0	0	0	0	0	1	19	0	142	0	0	44	19	0	0	25	2	2	0	0	0	1	3	0	1
14627	22936	"Alsópáhok"	46.77444	17.17028	40	"AWI"	40	3	632	218	21	1	81	19	0	0	33	0	17	0	3	0	0	0	6	0	0	20	0	30	0	0	0	0	0	8	1	0	0	0	1	2	0	0	1	0	0	21	3	38	0	220	0	1	55	0	0	0	11	6	4	0	0	0	1	5	0	0
14627	22936	"Alsópáhok"	46.77444	17.17028	45	"AWI"	45	21	675	257	18	2	50	7	0	1	33	0	11	1	7	0	7	0	0	0	0	33	0	37	0	1	1	0	0	43	0	0	3	0	5	0	0	0	0	0	6	0	6	50	0	168	0	1	126	0	5	0	12	6	3	0	0	1	5	7	0	2
14627	22936	"Alsópáhok"	46.77444	17.17028	50	"AWI"	50	36	724	299	17	0	5	1	0	0	3	0	2	0	1	0	0	0	0	0	0	22	0	88	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	7	6	18	0	0	0	0	5	0	0	0	1	0	0	0	0	0	3	2	0	0
14627	22936	"Alsópáhok"	46.77444	17.17028	55	"AWI"	55	50	769	335	76	1	33	9	0	0	36	0	19	0	0	0	0	0	0	0	1	81	0	47	0	0	1	0	1	15	0	0	0	0	0	0	0	0	2	0	0	0	7	25	0	0	0	0	195	0	0	0	0	0	1	0	0	1	18	22	0	5
14627	22936	"Alsópáhok"	46.77444	17.17028	60	"AWI"	60	63	840	369	10	0	27	4	0	0	16	0	3	0	1	0	1	0	0	0	0	52	0	161	0	0	0	0	0	17	0	0	1	0	3	0	0	0	1	0	0	21	8	39	0	85	0	0	70	0	0	0	4	0	0	0	0	1	6	15	0	0
