"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15683	24042	"Windbruch"	49.60793	12.54137	0	"AWI"	0	-116	44	-36	3	0	31	2	4	0	5	0	0	928	2	0	1	0	0	0	0	0	10	7	0	0	2	0	0	1	2	2	0	0	0	2	0	0	0	0	0	1	0	140	174	0	118	0	0	0	0	5	0	0	0	0	18	4	0	0	0	0	0	1	1	1	0	0
15683	24042	"Windbruch"	49.60793	12.54137	2	"AWI"	2	-62	264	63	1	0	6	2	3	0	0	0	0	1025	1	1	0	0	0	0	0	0	7	3	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	88	201	0	57	0	0	0	0	6	0	0	0	0	4	1	0	0	0	0	1	0	1	1	0	0
15683	24042	"Windbruch"	49.60793	12.54137	4	"AWI"	4	-40	541	156	0	0	9	0	0	0	1	0	0	915	2	1	1	0	0	0	0	0	6	20	0	0	4	0	0	1	9	0	0	0	0	3	0	0	0	0	0	1	0	70	189	0	85	0	0	0	0	3	0	0	0	0	13	2	0	0	0	0	0	1	0	2	0	0
15683	24042	"Windbruch"	49.60793	12.54137	6	"AWI"	6	-23	817	249	5	0	30	4	3	0	1	6	0	583	8	0	7	0	0	0	0	1	14	74	0	0	2	0	0	13	8	0	0	0	1	0	3	0	0	0	0	3	0	65	348	0	167	0	0	0	0	10	0	0	0	0	27	2	0	0	0	0	0	0	1	2	0	0
15683	24042	"Windbruch"	49.60793	12.54137	8	"AWI"	8	-7	1101	343	17	0	28	1	3	0	4	10	0	513	6	0	6	0	0	0	0	0	33	130	0	0	0	1	0	30	5	0	0	0	0	1	4	0	0	0	0	4	0	74	318	0	124	0	0	2	0	22	0	0	0	1	19	1	0	0	0	0	0	0	3	4	0	0
15683	24042	"Windbruch"	49.60793	12.54137	10	"AWI"	10	7	1386	437	11	0	28	1	2	0	0	0	0	407	2	0	4	0	0	0	0	0	23	94	0	0	0	0	0	13	2	0	0	0	0	1	1	0	0	0	5	0	0	58	347	0	134	0	0	1	0	17	0	0	0	0	19	3	0	0	0	1	0	0	1	3	0	1
15683	24042	"Windbruch"	49.60793	12.54137	12	"AWI"	12	91	1454	542	7	0	37	0	0	0	2	0	0	402	7	0	2	0	0	0	0	0	16	92	0	0	5	0	0	29	3	0	0	0	0	6	3	0	1	0	3	3	0	53	310	11	106	0	0	0	0	20	0	0	0	1	15	3	0	0	0	0	0	0	1	1	0	0
15683	24042	"Windbruch"	49.60793	12.54137	14	"AWI"	14	148	1540	663	12	0	24	1	2	0	3	0	0	557	2	1	4	0	0	0	0	0	31	122	0	0	0	0	0	29	0	0	0	0	1	2	4	0	0	0	0	1	0	62	322	0	113	0	0	0	0	21	0	0	0	0	20	5	0	0	0	0	0	1	3	2	0	0
15683	24042	"Windbruch"	49.60793	12.54137	16	"AWI"	16	187	1646	781	13	0	28	0	2	0	12	0	0	465	0	0	10	0	0	0	0	0	32	239	0	0	0	1	0	45	1	0	0	1	1	3	1	0	0	0	33	0	0	39	175	0	0	0	0	2	0	23	0	0	0	4	14	3	0	0	0	0	0	1	4	3	0	0
15683	24042	"Windbruch"	49.60793	12.54137	18	"AWI"	18	227	1794	893	12	1	17	1	6	0	5	0	0	511	1	1	4	0	0	1	0	0	37	111	0	0	0	0	0	25	1	0	0	0	0	1	3	0	1	0	0	3	0	45	192	0	103	0	0	6	0	19	0	0	0	1	10	8	0	0	0	0	0	4	4	5	2	0
15683	24042	"Windbruch"	49.60793	12.54137	20	"AWI"	20	261	1951	998	19	0	36	1	3	0	3	0	0	375	0	1	1	0	0	1	0	0	34	45	0	0	2	0	0	54	1	3	0	0	1	2	0	0	1	0	0	6	0	37	143	13	176	1	0	6	0	23	0	0	0	1	12	14	0	0	0	0	0	0	6	2	0	0
15683	24042	"Windbruch"	49.60793	12.54137	22	"AWI"	22	416	2004	1104	82	1	79	3	1	0	2	0	0	90	0	0	1	0	0	0	0	0	42	58	0	0	0	0	0	107	1	1	0	0	2	2	1	0	0	0	0	4	0	38	163	0	127	0	0	1	0	25	0	0	0	0	14	18	0	0	0	0	0	2	5	2	0	0
15683	24042	"Windbruch"	49.60793	12.54137	24	"AWI"	24	515	2073	1216	133	1	149	0	3	0	2	0	0	184	0	0	0	0	0	0	0	0	106	85	0	0	0	1	0	157	0	4	0	0	0	4	0	0	0	0	0	12	0	53	355	0	0	0	0	1	0	41	0	0	0	0	2	7	0	0	0	0	0	11	17	4	1	0
15683	24042	"Windbruch"	49.60793	12.54137	26	"AWI"	26	596	2165	1327	125	0	90	0	0	1	0	0	0	144	0	0	0	0	0	0	0	0	69	54	0	0	0	0	0	125	0	2	0	0	0	0	0	0	0	0	0	3	0	58	410	0	0	0	0	0	0	31	0	0	0	0	3	4	0	0	0	0	0	9	5	1	0	0
15683	24042	"Windbruch"	49.60793	12.54137	28	"AWI"	28	666	2264	1444	93	0	84	0	0	0	1	0	0	163	0	0	0	0	0	0	0	0	55	64	0	0	4	0	0	59	0	5	0	0	0	0	0	0	0	0	0	4	0	51	624	0	0	0	0	0	0	32	0	0	0	1	0	2	0	0	0	0	0	6	8	0	0	0
