"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3396	4401	"Saksunarvatn"	62.24107	-7.15784	0	"AWI"	0	-140	42	-48	16	0	0	0	0	0	20	0	3	0	11	21	169	102	0	0	0	0	0	0	7	10	0	0	0	0	0	10	24	1	0	0	1	13	0	0	0	0	0	0	0	19	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	60	"AWI"	60	-35	316	118	9	0	0	0	0	0	22	1	2	0	17	13	171	88	0	0	0	1	0	0	0	10	0	0	0	0	0	4	2	3	0	0	1	14	0	1	0	4	0	2	0	15	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	101	"AWI"	101	50	429	232	6	0	0	0	0	0	26	0	8	0	6	17	173	83	0	0	0	0	0	0	0	15	0	0	0	0	0	10	0	3	0	0	1	16	0	0	0	5	0	0	0	27	0	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	161	"AWI"	161	204	573	406	5	0	0	0	0	0	6	1	6	0	8	14	96	89	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	1	0	0	3	6	0	0	0	3	0	1	0	12	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	217	"AWI"	217	362	678	555	10	0	0	0	0	0	14	0	2	0	13	14	131	60	0	0	0	0	0	0	0	14	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	247	"AWI"	247	451	760	625	6	0	0	0	0	0	18	0	1	0	3	21	99	48	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	12	0	0	0	2	0	0	0	10	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	277	"AWI"	277	531	831	691	3	0	0	0	0	0	13	0	1	0	15	23	121	39	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	2	0	0	0	14	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	319	"AWI"	319	653	926	778	10	0	0	0	0	0	21	0	5	0	7	15	106	76	0	0	0	0	0	0	0	13	0	0	1	0	0	3	6	0	0	0	0	8	0	0	0	3	0	0	0	10	1	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	359	"AWI"	359	722	1011	853	12	0	0	0	0	0	14	0	2	0	17	24	114	66	0	0	1	0	0	0	2	11	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	1	0	12	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	419	"AWI"	419	820	1125	967	8	0	0	0	0	0	14	0	1	0	7	13	122	69	0	0	0	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	4	0	0	0	21	1	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	469	"AWI"	469	911	1245	1081	8	0	0	0	0	0	9	1	0	0	15	30	109	27	0	0	0	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	519	"AWI"	519	1025	1352	1190	8	0	0	0	0	0	14	1	1	0	12	14	137	51	0	0	0	1	0	0	1	10	0	0	0	0	0	4	0	0	0	0	0	10	0	0	0	2	0	0	0	8	0	3	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	559	"AWI"	559	1132	1435	1276	7	0	0	0	0	0	10	0	1	0	11	13	123	58	0	0	1	0	0	0	0	11	0	0	0	0	0	8	0	0	0	0	2	8	0	0	0	1	0	0	0	9	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	599	"AWI"	599	1254	1517	1370	4	0	0	0	0	0	10	0	2	0	6	14	139	46	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	2	7	0	0	0	3	0	0	0	15	0	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	652	"AWI"	652	1354	1675	1498	6	0	0	0	0	0	14	2	2	0	23	3	154	62	0	0	0	0	0	0	1	28	0	0	0	0	0	6	23	0	0	0	0	7	0	0	0	2	0	0	0	8	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	692	"AWI"	692	1428	1786	1593	3	0	0	0	0	0	10	0	6	0	10	13	148	48	0	0	0	0	0	0	1	12	0	0	0	0	0	3	0	0	0	0	2	17	0	0	0	0	0	0	0	10	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	706	"AWI"	706	1465	1825	1626	5	0	0	0	0	0	17	0	1	0	10	16	113	59	0	0	0	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	2	3	0	0	0	3	0	0	0	10	2	3	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	799	"AWI"	799	1677	2127	1883	9	0	0	0	0	0	27	0	4	0	9	14	125	77	0	0	0	0	0	0	0	25	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	13	0	3	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	852	"AWI"	852	1813	2281	2041	10	0	0	0	0	0	20	2	4	0	13	18	131	57	0	0	1	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	10	0	0	0	3	0	0	0	8	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	892	"AWI"	892	1934	2406	2163	14	0	0	0	1	0	11	0	2	0	9	18	110	42	0	0	0	0	0	0	3	13	0	0	0	0	0	6	0	0	0	0	0	13	0	1	0	0	0	0	0	21	1	5	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	929	"AWI"	929	2067	2514	2281	6	0	0	0	0	0	11	0	2	0	15	17	140	53	0	0	1	0	0	0	0	16	0	0	0	0	0	3	0	0	0	0	3	4	0	0	0	1	0	1	0	11	0	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	969	"AWI"	969	2210	2692	2434	16	0	0	0	0	0	14	0	7	0	14	7	144	0	0	0	1	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	10	19	0	0	3	0	1	0	13	0	5	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1006	"AWI"	1006	2370	2830	2594	9	0	0	0	0	0	21	0	3	0	6	12	110	65	0	0	0	0	0	0	0	22	0	0	0	0	0	4	0	1	0	0	2	6	0	0	0	0	0	0	0	18	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1050	"AWI"	1050	2534	3096	2799	9	0	0	0	0	0	24	0	5	0	18	9	139	63	0	0	0	0	0	0	0	37	0	0	0	0	0	4	0	0	0	0	2	4	0	0	0	4	0	0	0	11	1	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1090	"AWI"	1090	2724	3292	3002	5	0	0	1	0	0	8	0	4	0	17	16	138	0	0	0	0	0	0	1	0	20	0	0	0	0	0	5	0	1	0	0	1	6	0	0	0	2	0	0	0	13	0	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1121	"AWI"	1121	2889	3421	3152	7	0	0	0	0	0	19	2	3	0	8	20	131	0	0	0	1	0	0	0	0	37	0	0	0	0	0	9	0	0	0	0	0	6	0	0	0	2	0	0	0	19	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1161	"AWI"	1161	3127	3649	3390	8	0	0	0	0	0	21	0	9	0	14	6	128	51	0	0	0	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	11	0	0	0	1	0	0	0	11	0	1	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1201	"AWI"	1201	3429	4002	3672	8	0	0	0	0	0	21	1	3	0	8	19	152	60	0	0	0	0	0	0	0	67	0	0	0	0	0	8	0	1	0	0	6	9	0	0	0	2	0	0	0	12	0	3	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1229	"AWI"	1229	3626	4447	3995	3	0	0	0	0	0	17	0	3	0	13	12	148	55	0	0	0	0	0	0	0	27	0	1	0	0	0	4	0	0	0	0	1	9	0	0	0	1	0	0	0	4	0	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1281	"AWI"	1281	4220	5131	4684	5	0	0	0	0	0	12	0	2	0	12	16	134	31	0	0	0	0	0	0	0	46	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	4	0	2	0	16	0	6	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1303	"AWI"	1303	4562	5329	4961	2	0	7	0	0	0	29	0	1	0	24	21	166	18	0	0	0	0	0	0	0	33	0	0	0	0	0	13	0	0	0	0	5	8	0	2	0	4	0	0	0	7	1	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1332	"AWI"	1332	4905	5711	5289	7	0	0	2	0	0	35	1	0	0	17	23	136	25	0	0	0	0	0	0	0	49	0	0	0	0	1	9	0	0	0	0	1	5	0	0	0	3	0	0	0	10	1	2	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1362	"AWI"	1362	5147	6028	5628	4	0	0	0	0	0	25	1	0	0	17	27	129	8	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	0	0	1	10	0	0	0	3	0	0	0	38	0	0	0
3396	4401	"Saksunarvatn"	62.24107	-7.15784	1402	"AWI"	1402	5668	6325	6031	3	0	0	0	0	0	23	0	0	0	15	39	97	0	0	0	0	0	0	0	0	39	0	0	0	0	0	9	0	0	0	0	0	5	0	0	0	1	0	0	0	19	0	3	0
