"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Ulmus"	"Urticaceae"
3072	4004	"Slieve Croob"	54.33333	-5.98333	41	"AWI"	41	154	1381	646	164	0	0	0	36	0	160	32	0	0	0	4	0	0	44	0	0	0	0	4	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	57	"AWI"	57	323	1786	939	24	0	0	0	54	0	186	6	0	2	0	0	0	35	28	0	0	0	2	0	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	73	"AWI"	73	496	2114	1223	28	0	0	0	20	0	150	8	0	6	4	0	0	0	18	2	0	0	2	2	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	89	"AWI"	89	725	2426	1542	52	0	0	0	84	0	374	6	0	10	0	0	0	0	12	0	0	0	0	2	0	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	105	"AWI"	105	1012	2647	1812	45	0	0	0	61	0	242	3	0	0	0	0	0	0	17	0	0	0	0	3	3	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	121	"AWI"	121	1288	2876	2107	64	0	0	0	58	0	190	18	0	14	4	0	0	0	18	2	0	0	0	8	2	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	233	"AWI"	233	4005	4559	4294	100	0	0	0	21	0	419	10	0	6	2	1	0	0	61	1	0	0	0	4	16	2
3072	4004	"Slieve Croob"	54.33333	-5.98333	235	"AWI"	235	4062	4578	4322	112	0	0	0	16	0	164	64	0	8	0	4	0	0	52	0	0	0	0	0	8	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	237	"AWI"	237	4116	4595	4349	61	0	1	0	16	0	208	106	38	10	0	6	0	161	64	0	0	0	0	2	7	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	239	"AWI"	239	4163	4615	4378	87	0	0	0	24	0	184	98	0	4	0	2	0	0	47	0	0	0	0	1	6	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	241	"AWI"	241	4205	4635	4407	70	0	0	0	24	0	224	96	0	0	0	6	0	0	48	8	0	0	0	6	6	1
3072	4004	"Slieve Croob"	54.33333	-5.98333	243	"AWI"	243	4242	4653	4435	78	0	0	0	16	0	290	44	0	6	0	1	10	30	65	0	0	0	0	1	7	3
3072	4004	"Slieve Croob"	54.33333	-5.98333	245	"AWI"	245	4273	4679	4464	60	0	0	0	8	0	332	28	0	4	0	0	0	0	58	0	0	0	0	0	2	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	247	"AWI"	247	4300	4710	4492	89	0	0	0	19	0	310	25	0	6	0	2	0	41	95	4	0	0	0	0	10	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	249	"AWI"	249	4321	4746	4519	121	0	0	0	37	0	244	174	0	6	0	4	0	87	51	1	11	0	1	0	16	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	250	"AWI"	250	4333	4765	4533	58	0	2	0	26	0	351	8	0	1	0	2	0	0	77	0	0	0	0	0	15	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	251	"AWI"	251	4340	4788	4548	90	0	3	0	12	0	292	20	0	10	0	5	0	0	75	4	0	0	0	7	26	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	252	"AWI"	252	4401	4813	4588	98	0	1	0	20	0	328	20	0	11	0	2	0	0	72	0	0	0	1	5	27	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	253	"AWI"	253	4456	4843	4634	69	0	0	0	13	0	237	33	0	13	0	8	0	25	97	0	0	0	0	6	25	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	255	"AWI"	255	4563	4921	4724	46	0	0	0	22	0	152	34	0	4	0	8	0	0	130	2	0	0	2	4	28	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	257	"AWI"	257	4637	5016	4811	73	0	1	0	12	0	246	12	104	6	0	7	0	0	88	1	3	0	0	2	35	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	259	"AWI"	259	4704	5117	4895	82	0	1	0	29	0	233	19	0	6	0	12	0	92	82	2	0	0	0	8	31	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	261	"AWI"	261	4761	5246	4982	99	0	3	0	13	0	239	38	0	6	0	10	0	125	74	2	17	0	2	8	50	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	263	"AWI"	263	4816	5384	5065	75	0	0	0	11	0	252	29	0	7	1	8	0	177	75	0	0	0	0	10	33	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	265	"AWI"	265	4862	5521	5150	106	1	0	0	20	0	248	7	0	1	1	18	0	131	77	0	0	0	0	32	23	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	266	"AWI"	266	4880	5594	5193	94	0	1	0	27	0	183	11	0	2	2	13	0	224	38	1	0	0	0	28	31	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	267	"AWI"	267	4893	5663	5235	78	0	0	0	18	0	184	4	0	0	2	18	0	234	52	0	0	1	0	0	56	0
3072	4004	"Slieve Croob"	54.33333	-5.98333	268	"AWI"	268	4907	5733	5279	67	0	0	0	9	0	214	18	0	6	1	213	0	0	19	0	0	4	0	1	25	3
3072	4004	"Slieve Croob"	54.33333	-5.98333	269	"AWI"	269	4923	5806	5323	22	0	0	0	4	0	172	5	0	0	0	240	0	0	8	1	3	2	1	1	12	0
