"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"
16246	25163	"Lac du Bouchet"	44.91667	3.78333	0	"AWI"	0	-128	38	-47	4	0	4	1	1	0	3	0	3	0	0	0	0	0	0	6	0	0	5	2	0	0	2	0	0	11	0	4	20	0	0	0	0	0	65	0	5	0	0	64	0	35	2	3	0	0	19	0	0	0	0	0	2	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	5	"AWI"	5	-43	482	170	10	0	6	3	1	0	1	0	8	1	0	0	94	0	1	2	0	0	5	6	0	0	7	1	0	24	0	2	16	0	0	1	0	0	96	0	0	1	0	64	0	25	1	3	0	0	9	1	0	0	0	0	3	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	10	"AWI"	10	-12	987	386	5	0	7	1	2	0	6	0	15	2	2	0	14	0	0	2	0	0	6	3	0	0	0	0	1	29	0	4	11	0	0	1	0	0	114	1	0	0	0	108	0	35	3	1	0	1	28	4	0	0	0	0	1	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	15	"AWI"	15	16	1504	602	6	0	10	0	0	0	1	0	11	1	1	0	0	0	0	1	0	0	17	1	0	0	3	2	1	55	2	1	3	0	0	0	3	0	48	0	5	0	0	82	0	37	2	0	0	1	32	3	0	0	1	1	0	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	20	"AWI"	20	156	1836	825	18	0	15	1	2	0	0	0	18	0	0	0	5	0	1	0	0	1	18	8	0	0	7	0	1	64	0	0	0	1	0	1	2	0	66	0	0	0	5	90	0	49	0	0	0	1	26	1	0	0	0	0	4	1
16246	25163	"Lac du Bouchet"	44.91667	3.78333	25	"AWI"	25	345	1948	1081	20	0	6	2	0	0	3	0	9	1	0	0	0	0	1	0	0	1	21	1	0	0	0	0	0	80	22	0	1	0	0	0	3	0	57	1	0	0	0	62	0	37	0	0	0	0	17	1	0	0	0	2	2	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	30	"AWI"	30	463	2085	1354	22	0	17	0	1	0	1	0	3	0	2	0	3	0	0	0	0	0	15	1	0	0	0	0	1	75	3	0	1	1	0	1	3	0	71	0	0	0	0	66	0	57	0	1	0	0	10	1	0	1	0	1	1	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	35	"AWI"	35	563	2313	1600	20	0	19	2	0	0	0	0	23	0	0	0	0	0	0	0	0	0	14	0	0	2	0	0	0	110	4	0	1	0	0	0	2	0	150	0	0	1	0	26	0	46	2	0	0	2	3	1	0	0	1	0	1	0
16246	25163	"Lac du Bouchet"	44.91667	3.78333	40	"AWI"	40	1080	2443	1834	12	0	16	1	0	0	4	0	24	0	0	1	0	0	0	0	0	0	14	1	0	0	4	1	1	150	2	0	2	0	0	0	3	0	39	0	0	0	0	59	0	81	1	1	0	4	25	2	0	0	0	0	1	1
16246	25163	"Lac du Bouchet"	44.91667	3.78333	45	"AWI"	45	1645	2540	2064	20	0	2	1	1	0	2	0	23	1	0	0	1	0	0	0	0	0	11	2	0	0	5	0	1	100	1	0	1	0	0	0	0	0	36	0	0	0	0	39	0	41	0	0	0	2	18	3	0	0	0	0	2	0
