"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	40	"AWI"	40	88	847	395	0	4	32	8	18	0	9	0	20	100	0	11	2	0	9	0	56	3220	0	0	0	2	49	8	0	0	0	0	10	0	10	0	16	39	275	5	0	253	20	0	0	1	9	127	3	0	12	0	0	1	0	7	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	50	"AWI"	50	158	1000	514	0	0	14	17	6	0	4	10	8	47	0	32	1	1	6	0	28	438	0	0	0	0	32	35	0	0	4	0	7	0	5	0	10	0	253	4	0	216	0	0	0	5	17	24	0	0	0	0	0	0	0	4	10	2	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	60	"AWI"	60	216	1154	635	0	1	27	9	6	1	5	0	20	30	0	19	0	0	3	0	67	2383	0	0	0	2	13	6	0	0	1	0	1	0	23	0	10	33	240	0	0	220	11	0	0	6	37	30	3	0	0	0	0	0	0	1	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	70	"AWI"	70	334	1268	758	0	0	16	1	0	0	0	0	0	1	0	2	0	0	1	0	13	592	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	37	0	0	49	0	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	80	"AWI"	80	436	1394	872	0	0	16	2	0	0	1	0	2	5	0	0	0	0	0	0	8	935	0	0	0	0	5	0	0	0	0	0	0	0	3	0	9	0	58	0	1	62	0	0	0	0	4	12	1	0	1	0	0	0	0	1	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	90	"AWI"	90	526	1511	985	0	0	19	2	7	0	3	0	0	10	0	1	0	0	0	0	10	753	0	0	0	1	7	1	0	0	0	0	0	0	5	0	4	11	64	0	1	102	0	0	0	11	6	10	1	0	1	0	0	0	0	1	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	100	"AWI"	100	636	1626	1106	0	0	16	2	19	0	2	0	0	14	0	2	0	3	1	0	5	614	0	0	0	0	15	15	0	0	0	0	0	0	2	1	9	0	100	0	0	84	0	0	0	14	7	8	3	0	2	0	0	0	0	1	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	110	"AWI"	110	737	1727	1225	1	0	32	4	8	0	3	0	4	6	0	4	0	2	0	0	15	644	0	0	0	2	35	5	0	0	0	0	1	0	4	0	6	0	176	0	2	123	1	0	0	2	14	5	0	0	1	0	0	0	1	1	0	0	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	120	"AWI"	120	816	1851	1347	0	2	164	12	9	0	18	0	15	37	0	6	0	0	6	0	59	3054	0	0	0	2	95	17	0	0	1	2	1	0	16	0	18	34	1016	0	0	172	6	0	0	9	48	24	5	0	5	0	0	1	0	3	1	1	0
15897	24467	"Silly-la-Poterie"	49.18333	3.13333	130	"AWI"	130	976	1940	1467	0	0	89	8	4	0	5	0	11	10	0	5	0	1	1	0	61	157	0	3	0	1	44	7	0	0	0	0	0	0	16	0	7	0	178	0	1	165	4	0	0	5	18	8	2	0	1	0	0	0	0	2	1	0	0
