"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15969	24622	"La Grange"	46.08972	-0.77528	92	"AWI"	92	4863	5547	5298	0	1	5	3	12	0	3	0	1	0	5	0	0	0	0	0	0	0	0	29	0	47	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	6	3	0	63	0	2	0	0	81	0	0	0	0	0	1	16	3	0	0	5	0	0	1	1	2	0	0	2
15969	24622	"La Grange"	46.08972	-0.77528	98	"AWI"	98	4937	5603	5357	0	0	2	3	13	0	0	0	3	0	3	0	0	0	0	0	0	0	0	35	1	55	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	3	0	55	0	0	0	0	65	0	1	0	0	0	0	20	0	0	0	3	0	0	1	1	0	0	1	2
15969	24622	"La Grange"	46.08972	-0.77528	102	"AWI"	102	5009	5624	5397	0	1	5	6	35	0	1	0	1	0	6	0	0	0	0	0	1	0	0	32	1	52	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	6	2	0	52	0	0	0	0	69	0	0	1	0	1	1	18	0	0	0	5	2	0	0	2	1	0	1	2
15969	24622	"La Grange"	46.08972	-0.77528	106	"AWI"	106	5063	5649	5436	0	1	6	4	19	1	2	0	1	0	4	0	0	0	0	0	0	0	1	66	0	27	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	0	0	1	0	1	1	0	70	0	1	0	0	69	1	1	1	0	2	1	33	0	0	0	3	0	0	1	4	0	0	3	3
15969	24622	"La Grange"	46.08972	-0.77528	110	"AWI"	110	5109	5681	5477	0	1	2	5	23	0	2	0	1	0	6	0	0	0	0	0	0	0	1	35	1	46	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	1	1	0	0	1	0	9	4	0	62	0	1	0	0	53	1	4	1	0	0	3	18	0	0	0	9	0	0	1	1	3	0	3	1
15969	24622	"La Grange"	46.08972	-0.77528	114	"AWI"	114	5165	5710	5512	0	1	5	4	49	0	1	0	1	0	9	0	0	0	0	0	0	0	0	16	1	90	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	3	4	0	51	0	0	0	0	65	2	1	0	0	2	1	18	0	0	0	3	0	0	1	1	1	0	0	1
15969	24622	"La Grange"	46.08972	-0.77528	121	"AWI"	121	5279	5744	5578	0	1	6	4	20	1	1	0	0	0	7	0	0	0	0	0	0	0	0	35	0	46	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	8	4	0	67	0	0	0	0	88	2	0	0	0	2	2	13	0	0	0	5	0	0	3	1	0	0	1	1
15969	24622	"La Grange"	46.08972	-0.77528	127	"AWI"	127	5336	5795	5625	0	0	5	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	12	0	55	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	61	0	1	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0
15969	24622	"La Grange"	46.08972	-0.77528	133	"AWI"	133	5368	5829	5658	0	1	9	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	20	1	119	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	78	0	1	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0
15969	24622	"La Grange"	46.08972	-0.77528	135	"AWI"	135	5381	5838	5667	0	0	4	1	5	0	0	0	5	0	1	0	0	0	0	0	0	0	0	14	0	57	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	48	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	3	0	0	0
