"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3035	3953	"Brede Bridge"	50.90621	0.67685	648	"AWI"	648	5873	6948	6433	0	60.6017191977077	0	0	0	0.143266475644699	0	0	0	0.286532951289398	0	0	0	0	0	0	11.89111747851	0.143266475644699	1.86246418338109	0	0	0	0	0	0.573065902578797	0	0	0	0	0.143266475644699	0	0.429799426934097	0	0	0	0.143266475644699	0	0.859598853868195	0	0	0	0	0	17.3352435530086	0	0	0	0	0	0.143266475644699	0	0	0	0	0	0	0	1.71919770773639	0	3.72492836676218
3035	3953	"Brede Bridge"	50.90621	0.67685	656	"AWI"	656	5931	6971	6469	0	69.6629213483146	0.0936329588014981	0	0.0936329588014981	0.280898876404494	0	0	0	0.280898876404494	0	0	0	0	0	0	10.7677902621723	0	0.561797752808989	0	0	0	0	0	0.374531835205993	0	0	0	0	0.187265917602996	0	0.280898876404494	0	0	0	0	0	0.187265917602996	0	0	0	0	0	12.9213483146067	0	0	0	0.0936329588014981	0	0	0	0	0	0	0	0	0	2.05992509363296	0	2.15355805243446
3035	3953	"Brede Bridge"	50.90621	0.67685	664	"AWI"	664	5980	6991	6504	0	68.1818181818182	0.103305785123967	0	0	0.309917355371901	0.206611570247934	0	0	0.413223140495868	0	0	0	0	0	0	9.91735537190083	0.103305785123967	4.13223140495868	0	0	0	0	0	0.413223140495868	0	0	0	0	0.309917355371901	0	0	0	0	0	0	0	0.103305785123967	0	0	0	0	0	12.0867768595041	0	0	0	0	0	0.206611570247934	0	0.103305785123967	0	0	0	0	0	1.44628099173554	0.103305785123967	1.8595041322314
3035	3953	"Brede Bridge"	50.90621	0.67685	672	"AWI"	672	6023	7019	6542	0	60.8917197452229	0.127388535031847	0	0	0.509554140127389	0	0	0	1.65605095541401	0	0	0	0	0	0	12.2292993630573	0	0.764331210191083	0	0	0	0.127388535031847	0	0.382165605095541	0	0	0	0	0.382165605095541	0	0.127388535031847	0	0	0	0	0.254777070063694	0.89171974522293	0	0	0	0	0.127388535031847	15.2866242038217	0	0	0	0.127388535031847	0	0.764331210191083	0	0	0	0	0	0	0	1.27388535031847	0	4.07643312101911
3035	3953	"Brede Bridge"	50.90621	0.67685	680	"AWI"	680	6065	7055	6581	0	61.7250673854447	0.269541778975741	0	0.134770889487871	0.269541778975741	0	0	0	0.539083557951483	0	0	0	0	0	0	11.7250673854447	0	3.90835579514825	0	0	0	0	0	0.673854447439353	0	0	0	0	0.134770889487871	0	0.539083557951483	0	0	0	0	0	0.269541778975741	0	0	0	0	0	13.6118598382749	0	0	0	0.134770889487871	0	0	0	0.134770889487871	0	0	0	0	0	3.23450134770889	0	2.69541778975741
3035	3953	"Brede Bridge"	50.90621	0.67685	688	"AWI"	688	6108	7098	6618	0	64.5371577574967	0.521512385919166	0	0	0.782268578878748	0	0	0	0.91264667535854	0	0	3.12907431551499	0	0	0	13.1681877444589	0	0.260756192959583	0	0	0	0	0	0	0	0	0	0	0.260756192959583	0	0	0	0	0	0	0	0.260756192959583	0	0	0	0	0	13.0378096479791	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12907431551499	0	0
3035	3953	"Brede Bridge"	50.90621	0.67685	696	"AWI"	696	6175	7117	6654	0	58.2362728785358	0.166389351081531	0	0	0.998336106489185	0	0	0	0.665557404326123	0	0	0	0	0	0	14.4758735440932	0	2.32945091514143	0	0	0	0	0	0.332778702163062	0	0	0	0	0	0	0.166389351081531	0	0	0	0	0	0.831946755407654	0	0	0	0	0	14.4758735440932	0	0.166389351081531	0	0.166389351081531	0	0	0	0	0	0	0	0	0	1.66389351081531	0	5.32445923460898
3035	3953	"Brede Bridge"	50.90621	0.67685	704	"AWI"	704	6240	7141	6691	0	67.4711437565582	0.209863588667366	0	0.104931794333683	0.314795383001049	0	0	0	0.944386149003148	0	0	0	0	0	0	6.40083945435467	0	1.15424973767051	0	0	0	0	0	0.209863588667366	0	0	0	0	0.104931794333683	0	0	0	0	0	0	0	0.944386149003148	0	0	0	0	0	18.1532004197272	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8887722980063	0	2.09863588667366
3035	3953	"Brede Bridge"	50.90621	0.67685	712	"AWI"	712	6292	7177	6729	0	59.4294770206022	0	0	0.158478605388273	0.158478605388273	0.316957210776545	0	0	0.63391442155309	0	0	0	0	0	0	12.6782884310618	0	1.58478605388273	0	0	0	0	0	1.10935023771791	0	0	0	0	0	0	0	0	0	0	0	0	0.475435816164818	0	0	0	0	0	17.2741679873217	0	0	0	0	0	0.158478605388273	0	0	0	0	0	0	0	3.80348652931854	0	2.21870047543582
3035	3953	"Brede Bridge"	50.90621	0.67685	720	"AWI"	720	6331	7210	6767	0	53.6127167630058	0	0	0	0.289017341040462	0	0	0	0.433526011560694	0	0	0	0	0	0	6.9364161849711	0.144508670520231	1.73410404624277	0	0	0	0	0	1.58959537572254	0	0	0	0	0.144508670520231	0	0.144508670520231	0	0	0	0	0	0.433526011560694	0	0	0	0	0	27.7456647398844	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73410404624277	0	5.05780346820809
3035	3953	"Brede Bridge"	50.90621	0.67685	728	"AWI"	728	6364	7256	6804	0	50.0990099009901	0.792079207920792	0	0	1.38613861386139	0	0	0	2.17821782178218	0	0	0	0	0	0	13.6633663366337	0	0	0	0	0	0	0	0.198019801980198	0	0	0	0	0	0	0	0	0	0	0	0	2.17821782178218	0	0	0	0	0	21.7821782178218	0	0.198019801980198	0	0	0	0.99009900990099	0	0	0	0	0	0	0	4.55445544554455	0	1.98019801980198
3035	3953	"Brede Bridge"	50.90621	0.67685	736	"AWI"	736	6403	7309	6845	0	7.69230769230769	10.3550295857988	0	0	0	0.29585798816568	0	0	3.25443786982249	0	0	0	0	0	0	18.6390532544379	0	10.9467455621302	0	0	0	0	0	0.591715976331361	0	0.29585798816568	0	0	0	0	0	0	0	0	0	2.66272189349112	12.4260355029586	0	0	0	0	0	30.4733727810651	0	0	0	0	0	0.591715976331361	0	0	0	0	0	0	0	1.4792899408284	0	0.29585798816568
