"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14266	22322	"Teplické údolí"	50.585	16.13167	0	"AWI"	0	-131	34	-49	0	0	16	3	0	0	1	0	0	323	1	0	0	0	0	1	4	1	0	0	2	0	0	0	0	0	0	1	28	33	0	30	0	0	4	0	0	1	10	2	0	0	0	4	0	0	1	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	5	"AWI"	5	-84	217	28	24	0	8	0	0	0	1	0	0	20	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	74	76	0	17	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	10	"AWI"	10	-63	476	95	122	0	62	1	0	0	8	0	0	66	0	0	0	0	0	0	17	0	0	0	177	0	1	0	0	0	0	63	72	56	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	3	4	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	20	"AWI"	20	23	778	279	154	1	47	0	0	0	2	0	0	86	1	0	0	0	0	0	9	1	0	0	135	0	5	0	0	0	0	23	33	45	0	0	0	0	34	0	0	0	0	3	0	0	0	1	0	2	3	2	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	30	"AWI"	30	130	1018	481	170	0	45	0	0	0	8	0	0	37	0	0	2	0	0	0	3	8	0	0	166	0	3	0	0	0	0	16	45	38	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	3	1	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	45	"AWI"	45	346	1302	782	232	2	12	0	0	0	3	0	0	34	0	0	0	0	0	0	8	4	0	0	121	0	0	0	0	0	0	12	59	38	0	0	0	0	13	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	50	"AWI"	50	407	1411	885	77	1	45	0	0	0	3	0	0	49	0	0	0	0	0	0	19	1	0	0	211	0	0	0	0	0	0	13	28	53	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	60	"AWI"	60	557	1622	1070	100	1	21	0	0	0	2	0	0	39	1	0	0	0	0	0	2	3	0	0	159	0	1	0	0	0	0	17	63	120	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	75	"AWI"	75	838	1877	1353	156	0	20	0	0	0	0	0	0	26	0	0	0	0	0	0	1	2	0	0	159	0	1	0	0	0	0	6	73	25	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	80	"AWI"	80	907	1983	1443	99	0	16	0	0	0	7	0	0	21	0	0	0	0	0	0	8	3	0	0	129	0	3	0	0	0	0	17	58	53	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	95	"AWI"	95	1188	2180	1728	94	1	75	0	0	0	4	0	0	55	0	0	0	0	0	0	16	5	0	0	195	0	4	0	0	0	0	17	19	77	0	0	0	0	38	0	0	0	0	0	1	0	0	0	0	4	7	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	100	"AWI"	100	1266	2272	1819	79	0	38	1	0	0	13	0	0	49	0	0	0	0	0	0	23	3	0	0	222	0	2	0	0	0	0	26	22	86	0	0	0	0	41	0	0	0	0	1	0	0	0	0	0	1	5	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	110	"AWI"	110	1452	2407	2003	237	4	25	1	0	0	3	0	0	31	0	0	0	0	0	0	9	2	0	0	156	0	2	0	0	0	0	32	74	79	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	3	2	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	120	"AWI"	120	1677	2535	2203	104	4	36	1	0	0	3	0	0	64	0	0	0	0	0	0	3	7	0	0	222	0	1	0	0	0	0	20	43	53	0	0	0	0	25	0	0	1	0	0	0	0	0	0	0	2	3	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	125	"AWI"	125	1858	2576	2294	122	7	39	0	0	0	4	0	0	36	0	0	0	0	0	0	13	2	0	0	165	0	6	0	0	0	0	37	72	46	0	0	0	0	28	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	135	"AWI"	135	2228	2683	2475	79	2	59	0	0	0	2	0	0	44	0	0	0	0	0	0	6	5	0	0	182	0	4	0	0	0	0	20	89	72	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	5	4	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	140	"AWI"	140	2374	2727	2555	60	5	35	0	0	0	0	0	0	30	0	0	0	0	0	0	16	4	0	0	240	0	1	0	0	0	0	0	23	78	0	0	0	0	15	0	0	1	0	0	0	0	0	1	0	4	3	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	150	"AWI"	150	2466	2972	2681	41	5	27	0	0	0	7	0	0	28	2	0	0	0	0	0	15	5	0	0	292	0	3	0	0	0	0	23	21	38	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	160	"AWI"	160	2546	3142	2808	214	1	11	0	0	0	1	0	0	30	0	0	0	0	0	0	9	2	0	0	108	0	1	0	0	0	0	19	33	63	0	0	0	0	19	0	0	0	0	1	0	0	0	0	0	2	4	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	165	"AWI"	165	2604	3203	2867	214	5	30	0	0	0	1	0	0	26	0	0	0	0	0	0	7	0	0	0	131	0	3	0	0	0	0	16	49	68	0	0	0	0	15	0	0	0	0	1	0	0	0	0	0	2	14	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	170	"AWI"	170	2641	3287	2921	208	2	38	2	0	0	4	0	0	20	1	0	0	0	0	0	21	2	0	0	129	0	3	0	0	0	0	13	49	46	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	1	13	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	180	"AWI"	180	2722	3445	3043	145	7	37	1	0	0	6	0	0	79	0	0	0	1	0	0	14	2	0	0	122	0	12	0	0	0	0	36	34	52	0	0	0	0	26	0	0	0	0	1	0	0	0	1	0	0	9	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	190	"AWI"	190	2832	3597	3170	240	3	41	0	0	0	4	0	0	43	0	0	0	0	0	0	10	2	0	0	71	0	2	0	0	0	0	28	64	72	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	200	"AWI"	200	2945	3716	3292	136	4	23	4	0	0	4	0	0	30	0	0	0	0	0	0	30	4	0	0	70	0	5	0	0	0	0	9	57	61	0	0	0	0	36	0	0	0	0	7	0	0	0	0	0	3	13	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	210	"AWI"	210	3053	3836	3418	177	4	35	0	0	0	5	0	0	19	0	0	0	0	0	0	22	6	0	0	104	0	2	0	0	0	0	11	53	51	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	220	"AWI"	220	3157	3949	3541	134	0	29	0	0	0	10	0	0	24	0	0	0	0	0	0	24	1	0	0	113	0	5	0	0	0	0	16	85	57	0	0	0	0	20	0	0	0	0	4	0	0	0	0	0	2	15	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	230	"AWI"	230	3274	4071	3670	117	8	38	0	0	0	0	0	0	50	0	0	0	0	0	0	23	2	0	0	151	0	8	0	0	0	0	27	80	45	0	0	0	0	35	0	0	0	0	1	0	0	0	0	0	2	16	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	240	"AWI"	240	3395	4189	3790	134	8	32	0	0	0	3	0	0	16	0	0	0	0	0	0	28	2	0	0	121	0	9	0	0	0	0	27	78	65	0	0	0	0	21	0	0	1	0	3	0	0	0	0	0	3	16	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	250	"AWI"	250	3520	4291	3920	80	6	36	0	0	0	3	0	0	25	0	0	0	0	0	0	30	3	0	0	121	0	8	0	0	1	0	59	38	50	0	0	0	0	22	0	0	0	0	5	0	0	0	0	0	6	39	1	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	260	"AWI"	260	3655	4390	4045	101	3	26	0	0	0	3	1	0	18	0	0	0	0	0	0	33	4	0	0	124	0	5	0	0	0	0	57	50	53	0	0	0	0	15	0	0	0	0	4	0	0	0	0	0	7	17	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	270	"AWI"	270	3780	4486	4177	98	4	57	0	0	0	5	0	0	29	0	0	0	0	0	0	43	2	0	0	108	0	14	0	0	0	0	62	48	45	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	280	"AWI"	280	3917	4562	4291	3	5	33	0	0	1	0	0	0	57	0	0	0	0	0	0	74	0	0	0	34	0	8	0	0	0	0	39	65	52	0	0	0	0	23	0	0	0	0	14	0	0	0	0	0	13	48	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	290	"AWI"	290	4104	4638	4411	19	1	43	0	0	1	4	0	0	27	0	0	0	0	0	0	56	8	0	0	25	0	6	0	0	0	0	29	199	38	0	0	0	0	44	0	0	0	0	3	0	0	0	0	0	5	42	0	0	0
14266	22322	"Teplické údolí"	50.585	16.13167	300	"AWI"	300	4246	4722	4515	1	1	32	0	0	0	0	0	0	24	0	0	0	0	0	0	44	5	0	0	36	0	3	0	0	0	0	23	145	50	0	0	0	0	32	0	0	0	0	6	0	0	0	0	0	16	51	0	0	0
