"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26577	46479	"Klukva peatland"	53.83472	36.2525	1	"AWI"	1	-114	53	-31	0	11	7	3	23	0	267	0	0	0	0	1	0	4	4	0	5	0	0	0	0	1	0	0	77	88	0	18	0	0	34	2	0	0	0	1	1	0	0	0	6	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	8	"AWI"	8	-46	401	149	0	7	4	0	4	0	159	0	0	0	0	0	0	3	1	0	9	0	0	0	0	0	0	0	32	57	0	12	0	0	23	0	0	1	0	0	0	0	0	0	1	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	11	"AWI"	11	-30	566	225	0	3	1	0	2	0	41	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	0	1	22	0	6	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	15	"AWI"	15	-13	791	328	0	24	3	0	10	0	200	0	0	0	0	0	0	21	7	0	5	0	0	0	0	0	0	0	2	103	0	13	0	0	75	0	0	1	0	1	1	0	1	0	30	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	21	"AWI"	21	209	861	496	0	28	4	1	13	0	239	1	0	0	0	2	0	25	0	0	0	0	0	0	3	0	0	0	1	8	0	8	0	0	147	0	0	2	0	0	1	0	3	0	37	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	26	"AWI"	26	337	939	649	0	40	2	1	11	0	225	0	0	0	0	0	0	3	0	0	0	0	0	0	4	2	1	0	1	7	0	0	0	0	130	0	0	1	0	0	1	0	0	0	75	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	30	"AWI"	30	415	1062	761	0	14	1	1	10	0	324	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	101	0	0	4	1	0	0	1	1	0	40	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	35	"AWI"	35	785	1214	971	1	38	2	2	15	0	231	0	0	0	1	1	1	14	0	0	0	0	0	0	2	0	0	0	0	8	0	2	0	0	142	0	0	1	0	0	2	0	1	0	35	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	40	"AWI"	40	891	1543	1192	1	21	2	2	13	0	220	0	0	0	0	0	0	17	1	0	0	0	0	0	1	0	0	0	2	36	0	5	0	0	165	0	0	4	0	0	1	0	1	60	52	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	45	"AWI"	45	953	2013	1402	0	38	6	0	13	0	272	0	0	0	0	1	0	21	2	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0	108	0	0	0	1	0	0	0	0	76	44	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	50	"AWI"	50	1316	2123	1671	1	16	1	3	17	0	293	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	1	17	0	0	0	0	86	0	0	2	0	0	1	1	2	93	33	0	0
26577	46479	"Klukva peatland"	53.83472	36.2525	56	"AWI"	56	1596	2329	2007	0	16	3	1	15	0	350	0	0	0	0	0	0	7	2	1	0	1	0	0	0	1	0	0	2	31	0	0	0	0	88	0	0	2	0	0	0	0	2	76	28	0	0
