"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Tilia"	"Ulmus"
14463	22640	"Teanga"	57.31917	-7.28472	0.5	"AWI"	0.5	-33.5	56	12.5	13	0	0	0	0	0	11	0	1	2	18	0	173	0	0	2	0	3	0	0	22	0	91	1	0	0	0	2	1	1	0	3
14463	22640	"Teanga"	57.31917	-7.28472	8.5	"AWI"	8.5	42.5	87.5	68.5	8	0	0	0	0	0	10	0	0	0	90	0	293	0	0	1	0	9	0	1	13	0	0	0	1	0	0	2	1	1	1	0
14463	22640	"Teanga"	57.31917	-7.28472	16.5	"AWI"	16.5	73.5	162.5	123	19	0	0	0	1	0	8	0	0	0	105	0	274	0	0	0	0	4	0	0	17	0	0	0	3	0	0	3	2	2	0	3
14463	22640	"Teanga"	57.31917	-7.28472	24.5	"AWI"	24.5	110.5	173	141	10	0	0	0	0	0	4	1	1	0	44	0	152	0	0	0	1	7	0	0	6	0	0	0	3	0	0	1	0	0	0	0
14463	22640	"Teanga"	57.31917	-7.28472	32.5	"AWI"	32.5	136.5	206	167.5	11	0	0	0	0	0	2	0	0	0	60	0	188	0	0	0	1	6	0	0	9	0	0	0	5	0	0	2	0	0	0	0
14463	22640	"Teanga"	57.31917	-7.28472	40.5	"AWI"	40.5	171	560	294.5	7	0	0	0	0	0	2	0	0	0	60	0	199	0	0	1	0	1	0	0	9	0	0	0	2	0	1	0	1	0	0	0
14463	22640	"Teanga"	57.31917	-7.28472	48.5	"AWI"	48.5	195.5	916.5	422	12	0	0	0	0	0	4	0	1	0	62	0	192	0	0	0	0	2	0	0	5	0	0	0	3	0	1	0	0	0	0	0
14463	22640	"Teanga"	57.31917	-7.28472	56.5	"AWI"	56.5	300	1051	599.5	3	1	0	0	0	0	4	0	0	0	38	0	274	0	0	0	0	13	1	0	6	0	0	0	1	0	0	0	0	0	0	0
14463	22640	"Teanga"	57.31917	-7.28472	64.5	"AWI"	64.5	371.5	1283.5	769.5	20	0	0	0	2	0	9	0	1	0	62	0	242	0	0	0	0	13	0	0	7	0	0	0	15	0	0	1	0	0	0	1
14463	22640	"Teanga"	57.31917	-7.28472	72.5	"AWI"	72.5	564.5	1390.5	914.5	14	0	0	0	0	0	10	0	0	0	100	0	251	0	0	0	0	25	0	0	8	0	0	0	16	0	0	1	0	0	0	2
