"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3083	4017	"Dlinnoe"	62.31667	33.85	25	"AWI"	25	-61	460	112	0	0	2	2	1	1	0	0	0	0	13	0	1	0	0	0	0	38	105	1	4	0	0	0	1	0	2	3	0	0	1	0
3083	4017	"Dlinnoe"	62.31667	33.85	50	"AWI"	50	40	683	317	1	0	3	0	2	1	0	0	0	0	14	0	1	1	0	0	0	22	83	1	7	0	0	0	0	1	0	0	0	0	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	75	"AWI"	75	188	858	519	2	0	1	0	1	0	0	0	0	4	22	0	5	1	0	0	0	42	122	0	3	1	1	0	0	0	2	1	0	0	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	100	"AWI"	100	399	1011	722	0	0	0	0	1	0	0	0	0	1	16	0	2	1	0	0	0	41	80	0	9	0	2	0	0	0	0	1	0	0	0	2
3083	4017	"Dlinnoe"	62.31667	33.85	125	"AWI"	125	658	1154	922	1	0	2	0	3	1	0	0	0	4	7	0	3	0	0	0	0	53	90	0	11	0	1	2	0	0	0	1	0	0	1	1
3083	4017	"Dlinnoe"	62.31667	33.85	150	"AWI"	150	915	1449	1137	0	0	0	0	1	0	0	0	0	8	10	0	1	0	0	0	0	71	115	0	7	0	1	0	0	1	0	0	0	0	2	1
3083	4017	"Dlinnoe"	62.31667	33.85	175	"AWI"	175	1053	2053	1412	2	0	1	0	4	0	0	0	0	5	16	0	2	0	0	0	0	82	145	0	9	0	2	0	1	0	0	1	0	0	0	0
3083	4017	"Dlinnoe"	62.31667	33.85	200	"AWI"	200	1228	2478	1716	1	0	1	0	3	1	0	0	0	2	14	0	0	0	0	0	0	50	84	0	3	1	1	0	0	1	0	1	0	0	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	225	"AWI"	225	1413	2872	2023	0	0	0	0	1	0	0	0	0	1	26	0	1	0	0	0	0	44	84	0	3	0	1	0	0	0	0	1	0	0	0	3
3083	4017	"Dlinnoe"	62.31667	33.85	250	"AWI"	250	1640	3191	2333	1	0	1	1	0	1	0	0	0	1	19	0	0	1	0	0	0	49	74	0	3	0	2	1	2	0	0	0	0	0	1	0
3083	4017	"Dlinnoe"	62.31667	33.85	275	"AWI"	275	1870	3534	2640	0	0	0	1	0	0	0	0	0	1	70	0	0	0	1	0	0	55	82	0	3	0	2	1	2	0	0	0	0	0	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	300	"AWI"	300	2098	3841	2951	2	23	0	11	1	0	0	0	0	2	51	0	0	0	0	1	0	35	70	0	9	0	2	0	1	0	0	0	0	0	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	325	"AWI"	325	2403	4054	3252	3	0	1	0	0	0	0	0	0	3	25	0	2	1	0	1	0	0	129	0	6	0	3	1	1	0	0	2	0	0	0	2
3083	4017	"Dlinnoe"	62.31667	33.85	350	"AWI"	350	2706	4256	3555	1	0	0	0	2	0	0	0	0	4	20	0	1	0	0	1	0	107	118	0	0	0	0	0	0	0	2	0	0	0	0	6
3083	4017	"Dlinnoe"	62.31667	33.85	375	"AWI"	375	3065	4467	3853	1	30	1	0	1	0	162	0	0	9	12	0	0	0	0	0	0	100	67	0	1	0	4	0	0	0	0	2	0	1	1	2
3083	4017	"Dlinnoe"	62.31667	33.85	400	"AWI"	400	3472	4643	4151	1	36	1	0	3	0	0	0	0	7	14	0	1	0	0	0	0	72	100	0	3	0	5	0	0	0	0	2	0	0	0	2
3083	4017	"Dlinnoe"	62.31667	33.85	425	"AWI"	425	3977	4810	4462	3	54	0	0	3	0	0	0	0	14	11	0	0	0	1	0	0	95	87	0	7	0	6	0	0	0	0	0	0	0	0	3
3083	4017	"Dlinnoe"	62.31667	33.85	450	"AWI"	450	4447	5332	4816	0	37	0	0	2	0	0	0	0	5	12	0	0	1	0	0	0	73	66	0	3	0	0	0	0	0	0	2	0	0	2	9
3083	4017	"Dlinnoe"	62.31667	33.85	475	"AWI"	475	4705	6425	5342	2	51	1	0	2	0	0	0	0	8	11	0	0	0	1	1	0	92	135	0	2	0	3	0	0	0	0	1	1	0	1	11
3083	4017	"Dlinnoe"	62.31667	33.85	500	"AWI"	500	5032	7106	5954	0	50	1	0	2	0	0	0	0	9	13	0	0	0	1	0	0	53	68	0	5	0	1	0	0	0	0	3	1	0	0	12
3083	4017	"Dlinnoe"	62.31667	33.85	525	"AWI"	525	5475	7684	6586	0	0	0	0	3	0	0	0	0	11	14	0	3	0	0	0	0	65	79	0	7	0	0	0	2	0	0	1	1	0	2	12
3083	4017	"Dlinnoe"	62.31667	33.85	550	"AWI"	550	6066	8209	7224	0	0	1	0	2	0	470	1	0	10	22	0	0	2	0	0	0	19	69	0	10	0	1	0	0	0	0	7	2	0	1	17
3083	4017	"Dlinnoe"	62.31667	33.85	575	"AWI"	575	6731	8594	7854	0	0	1	0	2	0	0	0	0	3	10	0	0	2	0	0	0	9	72	0	12	0	0	0	0	0	0	1	3	0	0	8
3083	4017	"Dlinnoe"	62.31667	33.85	600	"AWI"	600	7759	8885	8408	0	0	1	0	4	1	0	0	0	4	11	0	0	2	0	0	0	3	128	0	12	0	2	0	1	0	0	1	0	0	0	10
3083	4017	"Dlinnoe"	62.31667	33.85	625	"AWI"	625	8520	9588	8951	0	0	2	0	1	0	0	0	0	1	29	0	0	0	1	0	0	5	137	0	12	0	1	1	2	0	0	4	2	0	0	6
3083	4017	"Dlinnoe"	62.31667	33.85	650	"AWI"	650	8825	10360	9500	1	0	1	0	2	0	0	0	0	5	8	0	0	0	0	0	0	1	115	0	9	0	1	0	0	0	0	4	0	0	1	2
3083	4017	"Dlinnoe"	62.31667	33.85	675	"AWI"	675	9220	10978	10063	0	0	0	0	4	0	0	0	0	3	17	0	1	1	0	0	0	0	91	0	115	1	1	0	4	1	0	10	3	0	0	6
3083	4017	"Dlinnoe"	62.31667	33.85	700	"AWI"	700	9808	11423	10636	1	0	0	0	2	0	0	0	0	1	21	0	0	0	0	0	0	1	181	0	35	0	0	1	1	0	1	4	1	1	0	3
3083	4017	"Dlinnoe"	62.31667	33.85	725	"AWI"	725	10343	11788	11173	0	0	7	0	14	0	0	0	0	2	7	0	1	4	0	0	0	0	15	0	95	1	0	4	0	0	1	5	4	1	0	0
3083	4017	"Dlinnoe"	62.31667	33.85	750	"AWI"	750	10668	12335	11522	0	0	8	0	15	1	0	0	0	2	2	1	3	1	0	0	0	0	20	0	54	0	0	1	0	0	0	2	2	3	0	2
3083	4017	"Dlinnoe"	62.31667	33.85	775	"AWI"	775	10940	12760	11816	1	0	12	1	42	2	0	0	0	3	10	1	5	0	0	0	0	1	31	0	19	0	0	3	1	0	0	6	0	4	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	800	"AWI"	800	11218	13152	12093	0	0	9	0	60	0	0	1	2	5	10	2	5	1	0	0	1	2	24	0	13	0	0	5	1	1	0	1	0	0	0	2
3083	4017	"Dlinnoe"	62.31667	33.85	825	"AWI"	825	11462	13549	12379	0	25	9	2	40	0	0	0	0	2	9	3	3	1	0	0	0	2	24	0	11	0	0	3	0	2	1	3	0	1	0	0
3083	4017	"Dlinnoe"	62.31667	33.85	850	"AWI"	850	11735	13927	12664	0	0	18	2	58	0	0	0	0	5	17	1	2	1	0	0	0	1	18	0	9	0	1	4	0	0	0	3	0	1	0	1
3083	4017	"Dlinnoe"	62.31667	33.85	875	"AWI"	875	12011	14355	12952	0	0	18	1	40	1	0	0	1	2	7	0	1	0	0	0	0	0	105	0	8	0	1	1	0	0	0	1	0	1	0	0
3083	4017	"Dlinnoe"	62.31667	33.85	900	"AWI"	900	12285	14762	13248	0	0	12	0	3	0	0	0	1	0	2	0	1	0	0	0	0	0	17	0	5	0	0	0	0	0	1	0	0	2	0	1
