"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Tilia"	"Ulmus"
3338	4332	"Påidre"	58.27592	25.50484	150	"AWI"	150	1373	2720	2035	26	0	0	2	61	6	6	0	20	86	6	3	0	2	0	2	2
3338	4332	"Påidre"	58.27592	25.50484	160	"AWI"	160	1506	2852	2176	23	1	1	0	76	6	5	0	22	80	6	2	0	1	1	1	4
3338	4332	"Påidre"	58.27592	25.50484	170	"AWI"	170	1647	3001	2318	31	0	1	1	73	12	6	0	47	62	5	4	5	1	1	2	2
3338	4332	"Påidre"	58.27592	25.50484	180	"AWI"	180	1770	3127	2455	37	0	2	1	53	8	6	1	60	57	3	3	0	1	0	2	3
3338	4332	"Påidre"	58.27592	25.50484	190	"AWI"	190	1929	3244	2601	34	0	1	1	51	8	6	1	78	62	7	4	5	1	1	3	5
3338	4332	"Påidre"	58.27592	25.50484	200	"AWI"	200	2075	3356	2742	39	1	0	2	57	8	8	2	86	54	6	3	0	0	0	2	7
3338	4332	"Påidre"	58.27592	25.50484	210	"AWI"	210	2215	3479	2884	38	1	0	2	72	4	8	1	54	54	4	3	0	0	0	1	1
3338	4332	"Påidre"	58.27592	25.50484	220	"AWI"	220	2358	3583	3029	39	0	0	2	53	6	8	1	41	46	5	12	0	0	0	2	4
3338	4332	"Påidre"	58.27592	25.50484	230	"AWI"	230	2519	3680	3168	41	0	0	0	54	7	7	1	53	49	4	4	6	2	1	1	5
3338	4332	"Påidre"	58.27592	25.50484	240	"AWI"	240	2701	3778	3313	42	1	0	2	59	15	6	1	39	48	5	1	8	0	0	2	5
3338	4332	"Påidre"	58.27592	25.50484	250	"AWI"	250	2874	3870	3456	41	0	0	0	53	15	7	0	50	52	6	1	0	0	0	1	4
3338	4332	"Påidre"	58.27592	25.50484	260	"AWI"	260	3064	3977	3597	38	0	0	1	61	10	9	1	67	51	5	9	5	0	0	3	7
3338	4332	"Påidre"	58.27592	25.50484	270	"AWI"	270	3246	4072	3736	41	0	0	3	63	6	9	0	71	52	7	8	0	0	0	1	7
3338	4332	"Påidre"	58.27592	25.50484	280	"AWI"	280	3481	4157	3875	25	0	1	2	42	12	4	1	76	51	6	10	3	0	0	6	5
3338	4332	"Påidre"	58.27592	25.50484	290	"AWI"	290	3759	4252	3999	28	0	0	0	43	7	7	1	57	41	4	3	4	1	0	0	9
3338	4332	"Påidre"	58.27592	25.50484	300	"AWI"	300	3927	4381	4134	26	0	0	1	53	10	5	0	66	48	6	3	6	0	0	2	5
3338	4332	"Påidre"	58.27592	25.50484	310	"AWI"	310	3994	4617	4253	31	1	0	0	57	24	7	0	67	53	4	6	4	0	0	1	8
3338	4332	"Påidre"	58.27592	25.50484	320	"AWI"	320	4099	4769	4390	31	1	1	1	43	19	7	0	71	51	4	2	0	1	0	6	9
3338	4332	"Påidre"	58.27592	25.50484	330	"AWI"	330	4197	4909	4528	23	0	1	0	39	8	5	0	54	32	4	5	0	1	0	3	6
3338	4332	"Påidre"	58.27592	25.50484	340	"AWI"	340	4308	5043	4664	25	0	0	1	34	19	6	0	59	46	5	3	5	0	0	3	6
3338	4332	"Påidre"	58.27592	25.50484	350	"AWI"	350	4411	5165	4803	33	0	1	1	33	13	6	0	64	41	4	3	0	0	0	2	8
3338	4332	"Påidre"	58.27592	25.50484	360	"AWI"	360	4531	5279	4945	25	1	0	1	44	23	7	0	68	51	4	4	0	0	0	8	16
3338	4332	"Påidre"	58.27592	25.50484	370	"AWI"	370	4693	5363	5084	33	0	0	0	45	17	7	0	69	45	3	4	0	0	0	6	7
3338	4332	"Påidre"	58.27592	25.50484	380	"AWI"	380	4900	5450	5216	39	0	0	0	48	12	7	0	53	40	7	7	0	0	0	3	7
3338	4332	"Påidre"	58.27592	25.50484	390	"AWI"	390	5042	5533	5340	48	0	1	1	70	24	7	0	59	55	5	15	0	0	0	6	4
3338	4332	"Påidre"	58.27592	25.50484	400	"AWI"	400	5149	5653	5456	59	0	1	1	47	19	6	0	80	55	6	15	0	0	0	6	12
3338	4332	"Påidre"	58.27592	25.50484	410	"AWI"	410	5233	5792	5543	71	0	0	2	75	26	9	0	80	84	7	17	7	1	0	13	12
3338	4332	"Påidre"	58.27592	25.50484	420	"AWI"	420	5320	5912	5629	66	0	1	1	82	56	13	0	65	83	11	22	10	0	0	14	18
3338	4332	"Påidre"	58.27592	25.50484	430	"AWI"	430	5407	6037	5715	59	0	1	1	72	36	16	0	23	73	9	10	0	2	0	8	30
3338	4332	"Påidre"	58.27592	25.50484	440	"AWI"	440	5484	6145	5801	61	1	1	0	62	32	14	0	47	82	5	9	0	2	0	6	25
3338	4332	"Påidre"	58.27592	25.50484	450	"AWI"	450	5550	6249	5889	106	0	1	1	124	71	13	0	46	93	7	15	0	0	0	16	33
3338	4332	"Påidre"	58.27592	25.50484	460	"AWI"	460	5630	6340	5978	85	0	1	0	77	33	19	0	38	65	11	11	12	0	0	18	28
3338	4332	"Påidre"	58.27592	25.50484	470	"AWI"	470	5716	6431	6070	78	0	0	0	83	43	15	0	64	69	8	8	6	0	0	12	33
3338	4332	"Påidre"	58.27592	25.50484	480	"AWI"	480	5797	6526	6158	126	0	1	1	104	58	17	0	50	61	15	9	11	1	0	16	43
3338	4332	"Påidre"	58.27592	25.50484	490	"AWI"	490	5867	6625	6246	134	2	1	0	116	91	14	0	39	74	15	11	9	0	0	28	51
3338	4332	"Påidre"	58.27592	25.50484	500	"AWI"	500	5958	6705	6341	110	1	0	2	106	82	15	0	52	87	20	9	6	1	0	27	57
3338	4332	"Påidre"	58.27592	25.50484	505	"AWI"	505	5998	6756	6387	86	0	1	1	84	68	25	0	37	76	17	8	9	0	0	24	43
3338	4332	"Påidre"	58.27592	25.50484	510	"AWI"	510	6040	6788	6432	76	0	0	1	76	76	18	0	25	52	15	7	7	2	0	22	47
3338	4332	"Påidre"	58.27592	25.50484	515	"AWI"	515	6077	6834	6478	118	1	2	2	141	96	17	0	35	63	17	10	7	1	0	31	60
3338	4332	"Påidre"	58.27592	25.50484	520	"AWI"	520	6138	6862	6523	115	1	1	2	130	88	16	0	26	89	14	5	14	2	0	32	49
3338	4332	"Påidre"	58.27592	25.50484	525	"AWI"	525	6178	6904	6568	124	1	1	3	144	72	16	0	38	84	13	10	6	1	0	39	49
3338	4332	"Påidre"	58.27592	25.50484	530	"AWI"	530	6227	6948	6610	132	2	2	2	153	72	21	0	25	81	18	2	8	1	0	30	54
3338	4332	"Påidre"	58.27592	25.50484	535	"AWI"	535	6277	6979	6658	103	2	1	2	109	63	15	0	22	73	15	2	7	2	0	25	41
3338	4332	"Påidre"	58.27592	25.50484	540	"AWI"	540	6317	7024	6704	145	1	1	1	150	92	14	0	17	81	16	6	7	1	0	20	52
