"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Violaceae"
23793	41220	"Hornchurch marshes"	51.52028	0.17694	145	"AWI"	145	2982	3784	3455	29	5	0	0	2	0	5	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	3	0	0	0	0	1	0	1	0	2	0	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	149	"AWI"	149	3090	3813	3507	86	8	1	0	1	0	2	0	0	0	0	26	29	0	1	0	0	4	0	1	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	13	0	6	0	1	9	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	153	"AWI"	153	3172	3844	3565	92	1	3	3	0	0	2	1	0	0	0	6	1	0	0	0	0	1	0	0	0	0	1	0	9	0	0	0	0	1	14	0	0	0	0	0	0	3	0	5	1	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	157	"AWI"	157	3254	3879	3614	57	3	0	0	0	0	8	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	24	0	0	8	1	0	0	0	3	0	2	1	0	0	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	161	"AWI"	161	3337	3907	3663	75	8	1	2	1	0	5	1	2	0	0	9	4	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	9	0	0	1	0	1	2	0	0	3	4	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	165	"AWI"	165	3396	3945	3715	131	9	1	0	4	0	1	0	0	0	0	11	20	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	10	0	0	1	0	13	0	0	0	4	4	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	169	"AWI"	169	3528	3975	3761	72	2	1	1	0	0	4	0	0	0	0	7	6	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	14	0	0	0	0	0	0	1	2	2	7	0	2	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	173	"AWI"	173	3619	4011	3812	52	5	1	0	0	0	5	1	0	0	0	4	2	0	0	0	0	4	0	0	0	0	0	0	1	0	1	7	0	0	17	0	0	0	0	1	0	8	0	5	5	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	177	"AWI"	177	3691	4057	3867	169	0	2	0	1	0	5	0	0	0	0	22	5	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	45	7	0	0	0	5	0	15	0	7	1	0	0	0
23793	41220	"Hornchurch marshes"	51.52028	0.17694	181	"AWI"	181	3743	4123	3925	64	0	0	1	0	0	4	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	14	0	2	1	0	0	0
