"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13390	20042	"Trettetjørn"	60.71667	7	0.2	"AWI"	0.2	-121.4	44	-42.4	5	0	0	0	0	0	0	0	0	0	3	3	31	0	0	0	0	1	4	3	0	0	1	0	1	65	0	37	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
13390	20042	"Trettetjørn"	60.71667	7	4	"AWI"	4	-55	294	84	5	1	2	0	0	78	0	0	1	0	1	0	101	0	0	0	0	1	4	14	0	0	0	0	3	84	0	68	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	0
13390	20042	"Trettetjørn"	60.71667	7	8	"AWI"	8	-25	604	210	9	0	3	2	0	74	0	0	0	0	1	0	35	0	0	0	0	4	2	20	0	0	2	0	2	87	0	80	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1
13390	20042	"Trettetjørn"	60.71667	7	12	"AWI"	12	87	800	368	8	0	5	0	0	0	0	0	0	0	1	3	73	0	0	0	0	4	1	16	0	4	2	0	1	79	0	55	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0
13390	20042	"Trettetjørn"	60.71667	7	16	"AWI"	16	204	884	557	17	0	5	0	0	65	1	0	1	0	1	2	34	0	0	0	0	4	3	14	0	1	2	0	2	77	0	110	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
13390	20042	"Trettetjørn"	60.71667	7	20	"AWI"	20	276	1057	731	8	0	14	5	0	0	1	0	2	0	3	1	32	0	0	0	0	2	3	6	0	5	0	0	0	64	0	100	0	0	0	3	38	0	0	0	0	0	1	0	1	0	0	2
13390	20042	"Trettetjørn"	60.71667	7	24	"AWI"	24	599	1094	863	5	0	11	2	0	54	0	0	1	0	2	5	33	0	0	0	0	4	4	12	0	6	1	0	0	59	0	129	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
13390	20042	"Trettetjørn"	60.71667	7	28	"AWI"	28	823	1152	991	16	0	14	1	0	64	0	0	0	5	3	0	15	0	0	0	0	3	8	4	0	1	4	0	2	73	0	114	2	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
13390	20042	"Trettetjørn"	60.71667	7	32	"AWI"	32	944	1238	1094	8	0	6	1	0	0	0	0	0	0	5	3	30	0	0	0	0	4	2	5	0	2	1	0	4	76	0	88	0	0	0	0	22	0	0	0	0	0	0	2	1	1	0	0
13390	20042	"Trettetjørn"	60.71667	7	36.5	"AWI"	36.5	1006	1305.5	1160.5	8	0	10	2	0	45	0	0	0	0	1	1	0	0	0	0	0	4	8	3	0	9	0	1	2	42	0	110	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1
