"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
2964	40627	"Aegelsee"	46.64583	7.54333	0	"AWI"	0	-149	13	-67	69	2	5	0	3	0	1	0	20	1	2	0	0	1	0	13	14	1	0	23	0	28	0	1	0	1	2	0	0	0	0	0	0	0	116	133	0	172	0	0	7	1	0	1	7	1	0	0	0	0	0	1	1
2964	40627	"Aegelsee"	46.64583	7.54333	20	"AWI"	20	-41	1382	371	173	1	34	0	1	0	2	0	12	0	0	0	0	0	0	21	17	0	0	9	0	131	0	3	0	0	0	0	0	1	1	0	0	1	116	35	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	3	0
2964	40627	"Aegelsee"	46.64583	7.54333	40	"AWI"	40	205	2151	884	214	0	27	1	0	0	2	0	21	0	0	0	0	0	0	17	16	0	0	5	0	115	0	0	0	0	0	0	0	0	0	0	0	1	207	19	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1
2964	40627	"Aegelsee"	46.64583	7.54333	60	"AWI"	60	550	2630	1443	167	0	61	1	0	0	1	0	35	0	0	0	0	0	0	10	27	0	0	1	0	84	0	6	0	0	0	0	0	0	0	0	0	0	162	20	0	0	0	0	27	0	0	0	5	1	0	0	0	0	1	2	1
2964	40627	"Aegelsee"	46.64583	7.54333	80	"AWI"	80	1281	2838	2103	246	0	59	1	1	1	6	0	16	1	1	0	0	1	0	24	46	0	0	0	0	164	1	6	0	0	0	0	0	0	0	0	0	0	133	15	0	0	0	0	22	0	0	0	3	1	0	0	0	0	0	1	1
2964	40627	"Aegelsee"	46.64583	7.54333	90	"AWI"	90	1648	2996	2419	214	2	72	0	1	0	3	0	18	0	0	0	0	0	0	33	29	0	0	0	0	49	0	7	0	0	2	0	0	0	0	0	0	0	125	24	0	0	0	0	20	3	0	0	0	0	0	0	0	0	0	1	0
2964	40627	"Aegelsee"	46.64583	7.54333	100	"AWI"	100	2202	3053	2671	238	1	94	0	0	0	1	0	22	0	0	0	0	1	0	34	44	0	0	1	0	79	0	12	0	0	2	0	0	0	0	0	0	0	138	35	0	0	0	0	13	1	0	0	4	0	0	0	0	0	0	9	0
2964	40627	"Aegelsee"	46.64583	7.54333	110	"AWI"	110	2694	3161	2938	200	0	142	0	1	0	0	0	13	0	0	0	0	0	0	59	35	0	0	0	0	105	0	28	0	0	3	0	0	0	0	0	0	1	177	21	0	0	0	1	13	1	0	0	0	1	0	0	0	1	0	4	0
2964	40627	"Aegelsee"	46.64583	7.54333	120	"AWI"	120	2909	3277	3102	104	1	92	1	1	0	1	0	18	0	0	0	0	0	0	55	17	0	0	0	0	71	1	4	0	0	0	0	0	0	0	0	0	1	165	24	0	0	0	0	26	0	0	0	1	3	0	0	0	0	2	3	0
2964	40627	"Aegelsee"	46.64583	7.54333	130	"AWI"	130	3048	3314	3190	171	1	91	1	0	0	5	0	23	0	0	0	0	0	0	49	337	0	0	0	4	41	1	5	0	0	5	2	0	0	1	0	0	0	113	33	0	0	0	0	46	2	0	1	5	2	0	0	0	0	0	3	1
2964	40627	"Aegelsee"	46.64583	7.54333	140	"AWI"	140	3122	3374	3280	248	1	85	1	2	0	2	0	12	1	0	0	0	0	0	50	60	0	0	0	0	38	0	4	0	0	0	0	0	0	0	0	0	0	152	31	0	0	0	0	21	0	0	0	3	1	0	0	0	0	0	3	0
