"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	116.5	"AWI"	116.5	2018	2486.5	2221.5	0	36	0	0	0	0	7	0	0	0	130	10	28	0	2	0	0	0	0	0	0	0	0	0	6	0	0	40	0	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	120.5	"AWI"	120.5	2072.5	2589.5	2308	0	13	0	0	0	0	8	0	0	0	107	17	0	1	3	0	1	0	0	0	0	0	0	2	4	0	0	47	0	0	0	0	0	0	0	0	0	2	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	124.5	"AWI"	124.5	2144	2670	2403.5	0	23	0	1	0	0	4	0	0	0	144	10	42	1	7	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	3	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	128.5	"AWI"	128.5	2235.5	2738	2493.5	0	47	0	0	1	0	10	0	0	0	93	36	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	43	3	0	0	1	2	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	132.5	"AWI"	132.5	2327	2799.5	2579	0	37	1	0	1	0	9	0	0	0	137	34	22	3	1	0	0	0	0	0	0	0	0	0	5	0	0	37	0	0	0	0	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	136.5	"AWI"	136.5	2418	2864.5	2661.5	0	35	0	0	0	0	4	0	0	0	142	41	18	0	5	0	0	7	0	0	0	0	0	0	2	0	0	45	0	0	0	1	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	140.5	"AWI"	140.5	2508.5	2935	2751.5	0	38	0	1	0	0	12	0	0	0	137	11	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	42	0	0	0	0	0	0	0	1	0	5	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	144.5	"AWI"	144.5	2625	2995	2839	0	40	0	0	1	0	7	0	0	0	69	24	0	1	2	0	0	7	0	0	0	0	0	0	5	0	0	47	5	0	0	1	2	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	148.5	"AWI"	148.5	2807.5	3049	2915	0	47	1	0	0	0	13	0	0	0	102	21	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	48	0	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	152.5	"AWI"	152.5	2900.5	3160.5	3004	0	43	0	2	1	0	5	0	0	0	69	84	0	0	1	0	0	7	0	0	0	0	0	0	11	0	0	55	0	0	0	0	2	0	0	0	0	0	0
