"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Myrica"	"Nartheciaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3403	4410	"Sérent"	47.80944	-2.46806	5	"AWI"	5	-52	472	118	0	2.42718446601942	0.970873786407767	0.485436893203883	0	0	0	0	0	0	0	0	0	0.485436893203883	0.485436893203883	24.7572815533981	0	0	0	0	0	0	0	0	0	0	0	0	4.36893203883495	0	0.485436893203883	0	31.0679611650485	2.9126213592233	16.9902912621359	0	0	0	0.485436893203883	7.76699029126214	0	0	0	0	0.485436893203883	0	0.485436893203883	0	5.33980582524272	0	0	0	0	0	0
3403	4410	"Sérent"	47.80944	-2.46806	10	"AWI"	10	40	767	308	0	0.78125	1.30208333333333	0	0	0	0	0.520833333333333	0.520833333333333	0	0	0.260416666666667	0.520833333333333	0.520833333333333	0.78125	18.2291666666667	0	0	0.78125	0	0	0	0	0	0	0	0.260416666666667	0	3.64583333333333	0	0	0	23.1770833333333	13.0208333333333	28.3854166666667	0	0	0	0	4.42708333333333	0	0	0	0	1.5625	0	0.260416666666667	0	0.78125	0.260416666666667	0	0	0	0	0
3403	4410	"Sérent"	47.80944	-2.46806	15	"AWI"	15	142	1019	499	0	3.1413612565445	0.523560209424084	0.523560209424084	0	0	0	2.09424083769634	0.523560209424084	0	0	0.261780104712042	1.83246073298429	1.04712041884817	1.04712041884817	13.3507853403141	0	3.66492146596859	0.261780104712042	0	0	0	0	0	0	1.83246073298429	0	0	4.45026178010471	0	0	0	31.151832460733	5.75916230366492	15.9685863874346	0	0	0	0.261780104712042	7.06806282722513	0	0	0	0	2.09424083769634	0	2.09424083769634	0	0.261780104712042	0.523560209424084	0	0	0.261780104712042	0	0
3403	4410	"Sérent"	47.80944	-2.46806	20	"AWI"	20	263	1213	678	0	2.40963855421687	0.301204819277108	0	0	0.301204819277108	0	1.80722891566265	0.903614457831325	0	0	0	1.80722891566265	3.6144578313253	6.62650602409639	14.7590361445783	0	0	1.80722891566265	0	0	0.301204819277108	0	0	0.602409638554217	0.301204819277108	0.301204819277108	0	3.01204819277108	0	0	0.602409638554217	11.144578313253	4.21686746987952	27.1084337349398	0.602409638554217	0	0	0	14.7590361445783	0.301204819277108	0	0	0	0.602409638554217	0.903614457831325	0	0.301204819277108	0.301204819277108	0	0	0	0.301204819277108	0	0
3403	4410	"Sérent"	47.80944	-2.46806	25	"AWI"	25	396	1415	860	0	1.93905817174515	0.554016620498615	0.277008310249307	0	0	0	0.831024930747922	0	0	0	0	1.93905817174515	0.277008310249307	17.4515235457064	6.37119113573407	0	0	1.66204986149584	0	0	0.554016620498615	0	0	0.277008310249307	0	0	0.277008310249307	2.49307479224377	0	0	0	0.554016620498615	2.21606648199446	45.7063711911357	0	3.8781163434903	0	0	8.86426592797784	0	0.277008310249307	0	0.277008310249307	1.38504155124654	0	0	0	0.831024930747922	0	0.554016620498615	0.277008310249307	0.277008310249307	0	0
3403	4410	"Sérent"	47.80944	-2.46806	30	"AWI"	30	538	1616	1043	0.543478260869565	3.26086956521739	0	2.71739130434783	0.543478260869565	0	0	6.52173913043478	0	0	0	0.543478260869565	2.71739130434783	12.5	0.543478260869565	0	0	0	7.60869565217391	0	0	0.543478260869565	0	0	0.543478260869565	0.543478260869565	0	0	14.1304347826087	0	0	0	0	0	14.1304347826087	0	0	0	0	30.9782608695652	0	0.543478260869565	0	0	0	0	0	0	1.08695652173913	0	0	0	0	0	0
3403	4410	"Sérent"	47.80944	-2.46806	35	"AWI"	35	693	1789	1220	0	4.1025641025641	0.512820512820513	0.512820512820513	0.512820512820513	0.512820512820513	0	2.56410256410256	0	0	0	0.512820512820513	1.02564102564103	6.66666666666667	12.8205128205128	13.8461538461538	0	0	3.07692307692308	0	0	0.512820512820513	0	0.512820512820513	0.512820512820513	1.02564102564103	0	0	1.02564102564103	0	0	0.512820512820513	0	0	29.2307692307692	0	0	0	0	15.3846153846154	0	0	0	0	4.1025641025641	0	0	0	0	0	0	0	0	0.512820512820513	0
3403	4410	"Sérent"	47.80944	-2.46806	40	"AWI"	40	851	1982	1408	0	2.0066889632107	0.668896321070234	0.334448160535117	0	0.334448160535117	0	0.334448160535117	0	0	0	0	0	0	27.4247491638796	12.7090301003344	0	0	1.33779264214047	0	0	0.334448160535117	0.334448160535117	0	0.334448160535117	0.334448160535117	0	0	21.4046822742475	0.668896321070234	0	0.334448160535117	0	0	20.4013377926421	0.334448160535117	0	0	0.334448160535117	5.68561872909699	0	0	0	0	3.67892976588629	0	0	0	0.334448160535117	0	0	0	0	0.334448160535117	0
3403	4410	"Sérent"	47.80944	-2.46806	45	"AWI"	45	1002	2148	1596	0	0.917431192660551	0.611620795107034	0.305810397553517	0	0.305810397553517	0	1.22324159021407	0	0	0	0	0	0.305810397553517	26.605504587156	11.3149847094801	0	0	2.44648318042813	0	0	0.917431192660551	0	0	0	0	0.305810397553517	0	6.72782874617737	0	0	0	0.305810397553517	1.52905198776758	36.085626911315	0	0	0	0.305810397553517	5.5045871559633	0.305810397553517	0	0	0	3.6697247706422	0.305810397553517	0	0	0	0	0	0	0	0	0
3403	4410	"Sérent"	47.80944	-2.46806	50	"AWI"	50	1187	2311	1783	0	3.88888888888889	0	0	0	0.555555555555556	0	0.277777777777778	0	0	0	0.277777777777778	0.277777777777778	0.833333333333333	3.33333333333333	0	0	0	1.38888888888889	0	0	0	0	0	0	0	0	0	25	0	0	0	0.277777777777778	0	52.2222222222222	0	0	0	0.277777777777778	6.94444444444444	0	0	0	0.277777777777778	3.88888888888889	0.277777777777778	0	0	0	0	0	0	0	0	0
